window_id,run_slug,role,arm,method,selected_feature_index,raw_frame_index,timestamp_ns,raw_candidate_observations,raw_candidate_distinct_ids,candidate_survived_observations,candidate_eligible_observations,promoted_observations,promoted_distinct_ids,promoted_ids_json,promoted_source_codes_json,promoted_sources_json,promoted_raw_processed_frame_age,promoted_output_visible_age_json,promoted_output_visible_full_streak_json,promoted_output_visible_future_frames_json,deleted_track_count,deleted_track_ids_json,deleted_track_source_codes_json,deleted_track_sources_json,deleted_track_raw_age_max,deleted_track_per_id_raw_age,deleted_track_output_visible_age_json,deleted_track_klt_counterfactual_full_streak_json,deleted_track_klt_counterfactual_future_frames_json,donor_cells_json,candidate_cells_json,donor_cell_occupancy_before_json,donor_cell_occupancy_after_json,candidate_cell_occupancy_before_json,candidate_cell_occupancy_after_json,raw_grid_cells_before_reconstructed,raw_grid_cells_after_reconstructed,raw_grid_cell_delta_reconstructed,raw_grid_cells_before_metric,raw_grid_cells_after_metric,donor_cell_min_remaining_metric,output_visible_age2_cells_before,output_visible_age2_cells_after,output_visible_age2_cell_delta,output_visible_age3_cells_before,output_visible_age3_cells_after,output_visible_age3_cell_delta,output_visible_age5_cells_before,output_visible_age5_cells_after,output_visible_age5_cell_delta,feature_count_before,feature_count_after,feature_cap,published_to_feature_bag,actually_visible_to_vins_if_replayed,backend_replayed_in_v2,profile,runner_schema,run_dir,notes
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_xfeat,hybrid_xfeat,2,5,1542889046271565680,4,Not available,0,1,1,1,[10000000],[20],"[""xfeat""]",5.0,[1],[3],[2],1,[944],[2],"[""gftt""]",1,Not available,[1],[1],[0],"[[2,5]]","[[2,5]]",[4],[4],[4],[4],18,18,0,18,18,4,18,18,0,17,17,0,0,0,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_gmrv2_a09_6000_6800_router_xfeat,
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_xfeat,hybrid_xfeat,3,7,1542889046371444368,2,Not available,3,1,1,1,[10000000],[20],"[""xfeat""]",7.0,[2],[3],[1],1,[1086],[2],"[""gftt""]",1,Not available,[1],[1],[0],"[[2,3]]","[[2,5]]",[47],[46],[1],[2],19,19,0,19,19,46,18,18,0,18,18,0,0,0,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_gmrv2_a09_6000_6800_router_xfeat,
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_xfeat,hybrid_xfeat,4,9,1542889046471564144,4,Not available,0,1,1,1,[10000000],[20],"[""xfeat""]",9.0,[3],[3],[0],1,[1320],[2],"[""gftt""]",1,Not available,[1],[1],[0],"[[3,3]]","[[2,5]]",[48],[47],[2],[3],18,18,0,18,18,47,16,16,0,16,16,0,15,15,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_gmrv2_a09_6000_6800_router_xfeat,
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_splg,hybrid_superpoint_lightglue,-1,,,13,Not available,5,3,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,350,False,False,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_gmrv2_a09_6000_6800_router_splg,zero-action arm-window summary sentinel
aqualoc_archaeology:A02:0000,a02_0_900,rescue_control,router_xfeat,hybrid_xfeat,2,5,1542828791986278080,0,Not available,0,3,3,3,"[10000000,10000001,10000002]","[20,20,20]","[""xfeat"",""xfeat"",""xfeat""]",4.0,"[1,1,1]","[3,2,3]","[2,1,2]",3,"[362,363,365]","[2,2,2]","[""gftt"",""gftt"",""gftt""]",1,Not available,"[1,1,1]","[1,83,1]","[0,82,0]","[[3,4],[2,3],[3,4]]","[[1,1],[1,1],[0,2]]","[28,43,28]","[26,42,26]","[2,2,2]","[4,4,3]",19,19,0,19,19,26,19,19,0,19,19,0,0,0,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_gmrv2_a02_0_900_router_xfeat,
aqualoc_archaeology:A02:0000,a02_0_900,rescue_control,router_xfeat,hybrid_xfeat,3,7,1542828792085880800,0,Not available,0,15,3,3,"[10000000,10000001,10000002]","[20,20,20]","[""xfeat"",""xfeat"",""xfeat""]",6.0,"[2,2,2]","[3,2,3]","[1,0,1]",3,"[371,372,373]","[2,2,2]","[""gftt"",""gftt"",""gftt""]",1,Not available,"[1,1,1]","[1,82,1]","[0,81,0]","[[3,4],[2,3],[3,1]]","[[1,1],[1,1],[0,2]]","[28,44,10]","[27,43,9]","[2,2,2]","[4,4,3]",19,19,0,19,19,9,19,19,0,19,19,0,0,0,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_gmrv2_a02_0_900_router_xfeat,
aqualoc_archaeology:A02:0000,a02_0_900,rescue_control,router_xfeat,hybrid_xfeat,4,9,1542828792185715008,0,Not available,0,15,2,2,"[10000000,10000002]","[20,20]","[""xfeat"",""xfeat""]",8.0,"[3,3]","[3,3]","[0,0]",2,"[376,377]","[2,2]","[""gftt"",""gftt""]",1,Not available,"[1,1]","[1,105]","[0,104]","[[3,2],[1,4]]","[[1,1],[0,2]]","[23,37]","[22,36]","[2,2]","[3,3]",19,19,0,19,19,22,19,19,0,19,19,0,19,19,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_gmrv2_a02_0_900_router_xfeat,
aqualoc_archaeology:A02:0000,a02_0_900,rescue_control,router_splg,hybrid_superpoint_lightglue,2,5,1542828791986278080,0,Not available,12,27,5,5,"[10000015,10000016,10000017,10000018,10000021]","[10,10,10,10,10]","[""superpoint_lightglue"",""superpoint_lightglue"",""superpoint_lightglue"",""superpoint_lightglue"",""superpoint_lightglue""]",3.0,"[1,1,1,1,1]","[1,1,1,1,1]","[0,0,0,0,0]",5,"[361,362,363,364,365]","[2,2,2,2,2]","[""gftt"",""gftt"",""gftt"",""gftt"",""gftt""]",1,Not available,"[1,1,1,1,1]","[1,1,83,1,1]","[0,0,82,0,0]","[[3,1],[3,4],[2,3],[3,3],[3,4]]","[[3,0],[0,2],[0,2],[0,2],[0,2]]","[10,28,43,22,28]","[9,26,42,21,26]","[0,2,2,2,2]","[1,6,6,6,6]",19,20,1,19,20,9,19,19,0,19,19,0,0,0,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_gmrv2_a02_0_900_router_splg,
aqualoc_archaeology:A02:0000,a02_0_900,rescue_control,router_splg,hybrid_superpoint_lightglue,3,7,1542828792085880800,0,Not available,0,23,3,3,"[10000000,10000004,10000007]","[10,10,10]","[""superpoint_lightglue"",""superpoint_lightglue"",""superpoint_lightglue""]",6.0,"[1,1,1]","[1,1,1]","[0,0,0]",3,"[371,372,373]","[2,2,2]","[""gftt"",""gftt"",""gftt""]",1,Not available,"[1,1,1]","[1,82,1]","[0,81,0]","[[3,4],[2,3],[3,1]]","[[3,0],[1,1],[3,5]]","[28,44,10]","[27,43,9]","[0,2,4]","[1,3,5]",19,20,1,19,20,9,19,19,0,19,19,0,0,0,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_gmrv2_a02_0_900_router_splg,
afrl:bus_outside:0004,afrl_bus_s180_d045,opportunity_control,router_xfeat,hybrid_xfeat,2,4,1494876660116016699,0,Not available,0,2,2,2,"[10000000,10000001]","[20,20]","[""xfeat"",""xfeat""]",4.0,"[1,1]","[1,1]","[0,0]",2,"[487,500]","[2,2]","[""gftt"",""gftt""]",1,Not available,"[1,1]","[2,4]","[1,3]","[[3,1],[3,1]]","[[1,5],[1,5]]","[42,42]","[40,40]","[3,3]","[5,5]",18,18,0,18,18,40,18,18,0,17,17,0,0,0,0,350,350,350,True,True,False,lineage_early_seed_coverage_monotone_v2,aqua-fe-coverage-monotone-router-v2-cell-v1,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_gmrv2_afrl_bus_s180_d045_router_xfeat,
