window_id,run_slug,cell_id,repeat,feature_bag_identity_pass,backend_config_identity_pass,camera_config_identity_pass,receipt_identity_pass,vio_receipt_identity_pass,repeat_runability_pass,frozen_execution_lock_checks,completion_status
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,3,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,3,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,matched_gftt_for_router_xfeat,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,matched_gftt_for_router_xfeat,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,matched_gftt_for_router_xfeat,3,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,klt,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,klt,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,klt,3,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,3,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_xfeat,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_xfeat,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_xfeat,3,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,3,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,3,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,1,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,2,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,3,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,1,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,2,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,3,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,matched_gftt_for_router_xfeat,1,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,matched_gftt_for_router_xfeat,2,True,True,True,True,True,True,17/17,PASS
afrl:bus_outside:0004,afrl_bus_s180_d045,matched_gftt_for_router_xfeat,3,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,1,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,2,True,True,True,True,True,True,17/17,PASS
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,3,True,True,True,True,True,True,17/17,PASS
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,1,True,True,True,True,True,True,17/17,PASS
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,2,True,True,True,True,True,True,17/17,PASS
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,3,True,True,True,True,True,True,17/17,PASS
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,1,True,True,True,True,True,True,17/17,PASS
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,2,True,True,True,True,True,True,17/17,PASS
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,3,True,True,True,True,True,True,17/17,PASS
