role,cell_id,repeat,execution,receipt_identity_pass,init,pose_count,trajectory_span_s,reference_pose_count,reference_span_s,coverage,repeat_status,failure_class,feature_bag_sha256,canonical_config_sha256,vio_csv_sha256
klt,klt,1,REUSED_FROZEN_V2_REPLAY,True,PASS,421,41.994505882,46,44.99283528327942,0.933359848,PASS,,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,0463c775ac29909595270d9d1be6d72b8e9bd970c847687129e43e01c4ad3a2c
klt,klt,2,REUSED_FROZEN_V2_REPLAY,True,PASS,421,41.994505882,46,44.99283528327942,0.933359848,PASS,,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,77675fe4e2bab290308e7594cd20249d3c16947554b4a1f25e61b50b80a55d32
klt,klt,3,REUSED_FROZEN_V2_REPLAY,True,PASS,421,41.994505882,46,44.99283528327942,0.933359848,PASS,,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,e16d2ea5a2119b14f80fb098ec57bcd7e50706bdd335a458c3b4f116efa80462
learned,router_xfeat,1,REUSED_FROZEN_V2_REPLAY,True,PASS,430,42.892948627,46,44.99283528327942,0.953328421,PASS,,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1db331a00f94b5ac5a710bec32bb7d9625e3489ebc3a1aad4a977d22bc954732
learned,router_xfeat,2,REUSED_FROZEN_V2_REPLAY,True,PASS,430,42.892948627,46,44.99283528327942,0.953328421,PASS,,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,b6122db319f85f2c447f45053b053a695e555ac9925e5896ac62c17fb6a192b3
learned,router_xfeat,3,REUSED_FROZEN_V2_REPLAY,True,PASS,430,42.892948627,46,44.99283528327942,0.953328421,PASS,,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,515efd5ae1fe1acabe9a3465ff0706fe18336e1e1e41aa210ffc40a3a0bdf056
matched,matched_gftt_for_router_xfeat,1,REUSED_FROZEN_V2_REPLAY,True,PASS,430,42.892948627,46,44.99283528327942,0.953328421,PASS,,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,edc92be74c7d22bd38c28cbca3f7a3624997ccebac713ab56e62b0c052a0626a
matched,matched_gftt_for_router_xfeat,2,REUSED_FROZEN_V2_REPLAY,True,PASS,430,42.892948627,46,44.99283528327942,0.953328421,PASS,,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,b8c5122a334e150a202db2ad0eb4e68765bbc4abcb7a38d5d004cbd7d4eab45f
matched,matched_gftt_for_router_xfeat,3,REUSED_FROZEN_V2_REPLAY,True,PASS,430,42.892948627,46,44.99283528327942,0.953328421,PASS,,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,d3d5ea358f914cce4b800987651727ac6f7adeb4d5c87baa790149181fcf4b30
donor_delete,donor_delete_only,1,NEW_ROUTE_D_REPLAY,True,PASS,430,42.892948627471924,46,44.99283528327942,0.9533284212344832,PASS,,f0efea06f922f0515464be068c9678b358060c899021355f89e6532822034fcb,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,5668628002e21b5ea364fd2ec70def0298437e1bdbfdd728a2d2354ffb30b00d
donor_delete,donor_delete_only,2,NEW_ROUTE_D_REPLAY,True,PASS,430,42.892948627471924,46,44.99283528327942,0.9533284212344832,PASS,,f0efea06f922f0515464be068c9678b358060c899021355f89e6532822034fcb,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,087f416c11bbcaa6b3255244e6980af03febdad960ad49ed2f98a8a249d6359e
donor_delete,donor_delete_only,3,NEW_ROUTE_D_REPLAY,True,PASS,430,42.892948627471924,46,44.99283528327942,0.9533284212344832,PASS,,f0efea06f922f0515464be068c9678b358060c899021355f89e6532822034fcb,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,c471563e3502e0f1469bad4f050914f19c489fa84fdb70b4c5a383d5c1d63a64
