window_id,run_slug,role,repeat,initialization_timestamp_s,initialization_timestamp_ns,vins_log,role_median_initialization_timestamp_s,role_median_delta_vs_B_s
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,1,1542889047.4172232,1542889047417223168,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat1/vins.log,1542889047.4196007,0.0
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,2,1542889047.4196007,1542889047419600640,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat2/vins.log,1542889047.4196007,0.0
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,3,1542889047.4273586,1542889047427358720,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat3/vins.log,1542889047.4196007,0.0
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,1,1542889047.41729,1542889047417289984,${AQUA_FE_OFFLOAD}/frontend_v2_positive_delete_diagnostic/backend_replays/a09_6000_6800/donor_delete_only/repeat1/vins.log,1542889047.41729,-0.0023107528686523438
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,2,1542889047.4273844,1542889047427384320,${AQUA_FE_OFFLOAD}/frontend_v2_positive_delete_diagnostic/backend_replays/a09_6000_6800/donor_delete_only/repeat2/vins.log,1542889047.41729,-0.0023107528686523438
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,3,1542889047.417254,1542889047417253888,${AQUA_FE_OFFLOAD}/frontend_v2_positive_delete_diagnostic/backend_replays/a09_6000_6800/donor_delete_only/repeat3/vins.log,1542889047.41729,-0.0023107528686523438
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,1,1542889047.4173717,1542889047417371648,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/router_xfeat/repeat1/vins.log,1542889047.4171083,-0.0024924278259277344
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,2,1542889047.4171083,1542889047417108224,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/router_xfeat/repeat2/vins.log,1542889047.4171083,-0.0024924278259277344
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,3,1542889047.4081848,1542889047408184832,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/router_xfeat/repeat3/vins.log,1542889047.4171083,-0.0024924278259277344
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,1,1542889047.427306,1542889047427305984,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/matched_gftt_for_router_xfeat/repeat1/vins.log,1542889047.427306,0.007705211639404297
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,2,1542889047.4270737,1542889047427073792,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/matched_gftt_for_router_xfeat/repeat2/vins.log,1542889047.427306,0.007705211639404297
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,3,1542889047.4277778,1542889047427777792,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/matched_gftt_for_router_xfeat/repeat3/vins.log,1542889047.427306,0.007705211639404297
afrl:bus_outside:0004,afrl_bus_s180_d045,B,1,1494876662.490302,1494876662490302208,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat1/vins.log,1494876662.4802575,0.0
afrl:bus_outside:0004,afrl_bus_s180_d045,B,2,1494876662.4801264,1494876662480126464,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat2/vins.log,1494876662.4802575,0.0
afrl:bus_outside:0004,afrl_bus_s180_d045,B,3,1494876662.4802575,1494876662480257536,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat3/vins.log,1494876662.4802575,0.0
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,1,1494876662.5001366,1494876662500136704,${AQUA_FE_OFFLOAD}/frontend_v2_positive_delete_diagnostic/backend_replays/afrl_bus_s180_d045/donor_delete_only/repeat1/vins.log,1494876664.2857091,1.8054516315460205
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,2,1494876664.2857091,1494876664285709056,${AQUA_FE_OFFLOAD}/frontend_v2_positive_delete_diagnostic/backend_replays/afrl_bus_s180_d045/donor_delete_only/repeat2/vins.log,1494876664.2857091,1.8054516315460205
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,3,1494876664.3170588,1494876664317058816,${AQUA_FE_OFFLOAD}/frontend_v2_positive_delete_diagnostic/backend_replays/afrl_bus_s180_d045/donor_delete_only/repeat3/vins.log,1494876664.2857091,1.8054516315460205
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,1,1494876662.5001376,1494876662500137472,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/router_xfeat/repeat1/vins.log,1494876662.5001376,0.019880056381225586
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,2,1494876662.489821,1494876662489820928,${AQUA_FE_OFFLOAD}/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/router_xfeat/repeat2/vins.log,1494876662.5001376,0.019880056381225586
