index,timestamp,event,reference_index,keypoints,octave0,nmatches,disp_q10_px,disp_median_px,disp_q90_px,H_inliers,F_inliers,E_inliers,recover_pose_inliers,initializer_success,triangulated,official_SH,official_SF,official_RH,official_H_inliers,official_F_inliers,official_H_reconstruct,official_F_reconstruct,official_H_relaxed00,official_F_relaxed00,H_best_good,H_second_good,H_best_parallax_deg,H_d1_d2,H_d2_d3,H_svd_ok,H_ambiguity_ok,H_parallax_ok,H_min_good_ok,H_fraction_ok
0,1542829016.7004354,set_reference,0,609,79,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
1,1542829016.7512712,reset_too_few_matches,0,583,74,53,1.4837522894351436,2.269470194325248,2.9177936692098241,53,51,53,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
2,1542829016.8024397,set_reference,2,633,76,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
3,1542829016.8543098,reset_too_few_matches,2,599,72,54,1.5648618546852435,2.2632918215613334,2.9197189998800934,51,50,52,3,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
4,1542829016.8995593,set_reference,4,578,60,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
5,1542829016.9497368,reset_too_few_matches,4,599,65,39,2.0083985339535571,2.2673792174760399,3.0735734167220823,37,35,37,37,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
6,1542829016.9991241,set_reference,6,585,65,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
7,1542829017.0492642,reset_too_few_matches,6,595,59,43,1.4283473048258049,2.2576592586827169,2.9896617885925947,40,36,41,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
8,1542829017.0999393,set_reference,8,619,70,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
9,1542829017.1495199,reset_too_few_matches,8,612,72,37,1.4375377666315523,2.135264416923274,2.8833687541536919,34,34,36,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
10,1542829017.199913,set_reference,10,614,72,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
11,1542829017.2500739,reset_too_few_matches,10,619,65,49,1.1505738924589071,2.0628331458996385,2.3351733666695629,44,43,46,3,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
12,1542829017.3018978,set_reference,12,625,61,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
13,1542829017.3491328,reset_too_few_matches,12,619,73,38,1.4265558643469083,2.0748653349551938,2.3317379658023301,35,33,37,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
14,1542829017.4004672,set_reference,14,621,71,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
15,1542829017.4502184,reset_too_few_matches,14,601,65,43,1.0211688651848285,1.7419995230032606,2.266430624488402,42,40,41,4,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
16,1542829017.5002844,set_reference,16,616,65,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
17,1542829017.5490537,reset_too_few_matches,16,639,70,44,1.0251724698140237,1.4799189470051033,2.3073864423182635,39,38,42,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
18,1542829017.5988002,set_reference,18,622,69,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
19,1542829017.6490269,reset_too_few_matches,18,668,67,43,1.014015186962709,1.9749478364665844,2.2778511590135171,38,36,43,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
20,1542829017.6990292,set_reference,20,691,74,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
21,1542829017.7494562,reset_too_few_matches,20,656,75,44,1.0168546315988294,1.4301268575220201,2.2492300930930753,42,36,44,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
22,1542829017.7994888,set_reference,22,699,76,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
23,1542829017.8501575,reset_too_few_matches,22,695,73,49,1.0159350731231995,1.4343835674733332,2.2679536222255141,47,44,47,2,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
24,1542829017.8993416,set_reference,24,687,78,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
25,1542829017.950798,reset_too_few_matches,24,726,74,50,1.0170584374114076,1.4418013250994151,2.2637304913672311,45,44,49,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
26,1542829017.9993265,set_reference,26,744,89,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
27,1542829018.0499742,reset_too_few_matches,26,779,92,57,1.0068253573059336,1.4199355900691089,2.2704600240283339,56,51,55,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
28,1542829018.100631,set_reference,28,775,93,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
29,1542829018.1500623,reset_too_few_matches,28,761,77,60,1.008583880334635,1.419417321852783,2.2417722954753994,55,57,59,3,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
30,1542829018.1989706,set_reference,30,771,87,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
31,1542829018.2490706,reset_too_few_matches,30,807,88,59,1.0084964635148503,1.039337387149901,2.0707295524420601,59,54,58,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
32,1542829018.2987115,set_reference,32,827,100,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
33,1542829018.350395,reset_too_few_matches,32,838,91,71,1.0129399238708534,1.4148311702504994,2.0737253309832493,71,62,71,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
34,1542829018.3990157,set_reference,34,842,106,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
35,1542829018.4508669,reset_too_few_matches,34,894,98,73,1.0038103115207579,1.0290253573358736,1.9082534816756831,73,70,72,2,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
36,1542829018.4995191,set_reference,36,877,90,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
37,1542829018.5500772,reset_too_few_matches,36,898,112,70,1.0046023247130464,1.0263698200256495,2.0366186176635717,65,67,70,2,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
38,1542829018.5989537,set_reference,38,886,113,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
