index,timestamp,event,reference_index,keypoints,octave0,nmatches,disp_q10_px,disp_median_px,disp_q90_px,H_inliers,F_inliers,E_inliers,recover_pose_inliers,initializer_success,triangulated,official_SH,official_SF,official_RH,official_H_inliers,official_F_inliers,official_H_reconstruct,official_F_reconstruct,official_H_relaxed00,official_F_relaxed00,H_best_good,H_second_good,H_best_parallax_deg,H_d1_d2,H_d2_d3,H_svd_ok,H_ambiguity_ok,H_parallax_ok,H_min_good_ok,H_fraction_ok
0,1542829016.7004354,set_reference,0,4000,4000,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
1,1542829016.7512712,initializer_geometry_reject,0,4000,4000,3034,1.5234642805471221,2.4384822801114518,3.6879422617615178,2861,2305,2657,32,0,0,26397.953125,31004.548828125,0.45987462997436523,2796,2852,0,0,0,0,2796,2796,0.4092610776424408,1.0025871992111206,1.0028471946716309,1,0,0,1,1
2,1542829016.8024397,initializer_geometry_reject,0,4000,4000,2891,3.4814034319013127,4.6263652081190818,6.1276917160606814,2081,2126,2421,2,0,0,25392.8671875,29145.55859375,0.46559590101242065,2638,2656,0,0,0,0,2638,2638,0.5248866081237793,1.0041522979736328,1.0033845901489258,1,0,0,1,1
3,1542829016.8543098,initializer_geometry_reject,0,4000,4000,2823,5.4577361821326118,6.8291502026489921,8.7227968406297762,2493,2031,2360,1,0,0,24003.943359375,28136.236328125,0.46037325263023376,2530,2593,0,0,0,0,2530,2530,0.70137131214141846,1.0081079006195068,1.0030540227890015,1,0,0,1,1
4,1542829016.8995593,initializer_geometry_reject,0,4000,4000,2771,7.5594859871265498,9.0499986238982402,11.377299015206328,2417,2022,2289,2,0,0,24058.296875,27982.205078125,0.46229949593544006,2517,2575,0,0,0,0,2517,2517,0.93690842390060425,1.0095988512039185,1.0057554244995117,1,0,0,1,1
5,1542829016.9497368,initializer_geometry_reject,0,4000,4000,2785,9.4067554529303674,11.027515422371206,13.824803478734491,2256,1975,2327,47,0,0,22974.5625,27321.78515625,0.45678392052650452,2481,2539,0,0,0,1,2481,2480,1.3125388622283936,1.0120676755905151,1.0097588300704956,1,0,1,1,1
6,1542829016.9991241,initializer_geometry_reject,0,4000,4000,2761,11.261863680379106,13.123773575608464,16.403835153536921,2400,1976,2264,4,0,0,23262.91015625,27360.4375,0.45952928066253662,2468,2546,0,0,0,1,2468,2467,1.3963371515274048,1.0148465633392334,1.0086972713470459,1,0,1,1,1
7,1542829017.0492642,initializer_geometry_reject,0,4000,4000,2743,12.981005167555747,15.124605835290032,18.863970015729961,2540,1933,2206,232,0,0,22323.017578125,26472.859375,0.45747756958007812,2411,2475,0,0,0,0,2411,2396,1.3062621355056763,1.0157562494277954,1.007016658782959,1,0,1,1,1
8,1542829017.0999393,initializer_geometry_reject,0,4000,4000,2733,14.94068881725039,17.13342274059255,21.455241660305237,2513,1922,2247,54,0,0,22451.2578125,26451.787109375,0.45909732580184937,2429,2490,0,0,0,0,2429,2429,1.2730317115783691,1.0144102573394775,1.0068546533584595,1,0,1,1,1
9,1542829017.1495199,initializer_geometry_reject,0,4000,4000,2685,16.669418971663973,19.075670244111333,23.705937338722013,2317,1914,2286,106,0,0,22191.80859375,25993.751953125,0.46054890751838684,2399,2430,0,0,0,0,2399,2390,1.7600306272506714,1.0185608863830566,1.0113847255706787,1,0,1,1,1
10,1542829017.199913,initializer_geometry_reject,0,4000,4000,2707,18.294321538735772,21.069811691203899,26.275890612232498,1976,1903,2164,344,0,0,22404.201171875,26181.53515625,0.46112716197967529,2391,2437,0,0,0,0,2391,2390,2.050518274307251,1.0194196701049805,1.0153845548629761,1,0,1,1,1
11,1542829017.2500739,initializer_geometry_reject,0,4000,4000,2648,20.057242529505583,22.754284792259341,28.28910499609502,2291,1901,2105,158,0,0,21968.1171875,26293.263671875,0.45519039034843445,2383,2419,0,0,0,0,2383,2358,1.9992924928665161,1.0209476947784424,1.0131638050079346,1,0,1,1,1
12,1542829017.3018978,initializer_geometry_reject,0,4000,4000,2649,21.52491743773577,24.488899828375352,30.258993515606701,2245,1814,2058,452,0,0,21710.615234375,25565.123046875,0.45923376083374023,2356,2394,0,0,0,1,2356,2341,2.6271131038665771,1.0248100757598877,1.0205714702606201,1,0,1,1,1
13,1542829017.3491328,initializer_geometry_reject,0,4000,4000,2633,22.992315806218862,26.229246540684695,32.670960848224205,2188,1840,1924,321,0,0,21686.77734375,25615.54296875,0.45847174525260925,2345,2415,0,0,0,0,2345,2322,2.4897074699401855,1.0268723964691162,1.0163812637329102,1,0,1,1,1
14,1542829017.4004672,initializer_geometry_reject,0,4000,4000,2645,24.308621710155364,27.898468199112543,34.649137879747144,2030,1866,2203,2202,0,0,21303.443359375,25795.37109375,0.45231381058692932,2332,2406,0,0,0,0,2332,2313,2.7432389259338379,1.0290011167526245,1.019254207611084,1,0,1,1,1
15,1542829017.4502184,initializer_geometry_reject,0,4000,4000,2651,25.838334986917026,29.5382484530315,36.485927103843729,2333,1844,2009,715,0,0,21684.32421875,25922.619140625,0.45548656582832336,2361,2411,0,0,0,0,2361,2324,2.8553335666656494,1.031119704246521,1.0185530185699463,1,0,1,1,1
16,1542829017.5002844,initializer_geometry_reject,0,4000,4000,2640,27.110339130787732,31.023242269676928,38.562375479252765,1913,1852,2046,341,0,0,20653.228515625,25445.9296875,0.44801750779151917,2316,2399,0,0,0,0,2316,2278,3.1017930507659912,1.0307700634002686,1.0224939584732056,1,0,1,1,1
17,1542829017.5490537,initializer_geometry_reject,0,4000,4000,2622,28.399516318470404,32.639229397825062,40.505444414660573,1866,1870,2077,2075,0,0,20596.498046875,25008.326171875,0.45162981748580933,2267,2342,0,0,0,0,2267,2242,3.1177198886871338,1.0345486402511597,1.0202988386154175,1,0,1,1,1
18,1542829017.5988002,initializer_geometry_reject,0,4000,4000,2588,29.591193662540839,34.022933898230292,42.115352471778358,1921,1811,2141,600,0,0,20278.375,25136.1328125,0.44651755690574646,2243,2340,0,0,0,0,2243,2219,2.9648451805114746,1.0324312448501587,1.0193042755126953,1,0,1,1,1
19,1542829017.6490269,initializer_geometry_reject,0,4000,4000,2569,30.734150201164187,35.584639593749053,44.265804157967601,2017,1756,1929,715,0,0,20036.88671875,25021.85546875,0.44468367099761963,2216,2333,0,0,0,0,2216,2171,3.295743465423584,1.0369032621383667,1.0210716724395752,1,0,1,1,1
20,1542829017.6990292,initializer_geometry_reject,0,4000,4000,2576,31.937590597647201,36.861510615988976,45.857418877024301,2282,1791,2026,670,0,0,20250.001953125,24647.85546875,0.45102378726005554,2234,2289,0,1,0,1,2234,2190,3.6362578868865967,1.035417914390564,1.0278899669647217,1,0,1,1,1
21,1542829017.7494562,initializer_geometry_reject,0,4000,4000,2525,32.989535395935313,38.364165055186014,47.225396400562673,2004,1713,2011,2009,0,0,19771.943359375,24569.26171875,0.44590452313423157,2195,2301,0,0,0,0,2195,2129,3.9167666435241699,1.0401515960693359,1.0282814502716064,1,0,1,1,1
