assignment_rank,window_id,dataset_family,sequence,window_index,selection_tier,p06_score,texture_stratum,b1_run_dir,m_run_dir,b1_return_code,b1_classification,b1_vio_path,b1_vio_size_bytes,b1_trajectory_rows,b1_ape_path,b1_vins_log_path,b1_initialization_finish_count,m_return_code,m_classification,m_vio_path,m_vio_size_bytes,m_trajectory_rows,m_ape_path,m_vins_log_path,m_initialization_finish_count,m_not_enough_features_or_parallax_mentions,m_imu_excitation_not_enough_mentions,b1_only_summary_path,b1_only_summary_sha256,b1_only_metrics_scope,b1_ape_valid,b1_rpe_valid,b1_grid_count,b1_matched_count,b1_common_coverage,b1_common_span_s,b1_segment_count,b1_rpe_pairs,b1_window_duration_s,b1_ape_rmse_m,b1_rpe_rmse_m,m_ape_rmse_m,m_rpe_rmse_m,pair_ape_valid,pair_rpe_valid,comparison_status,failure_reason,result_scope_note
1,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,5,RELATIVE_Q80_FALLBACK,0.14448408239114113,low,logs/aqualoc_archaeo_vins/external_klt_every2_a02_4500_5400,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a02_0005_m_r1,0,SUCCESS,logs/aqualoc_archaeo_vins/external_klt_every2_a02_4500_5400/vins_output/vio.csv,46533,438,logs/aqualoc_archaeo_vins/external_klt_every2_a02_4500_5400/ape.txt,logs/aqualoc_archaeo_vins/external_klt_every2_a02_4500_5400/vins.log,1,1,INITIALIZATION_FAILURE,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a02_0005_m_r1/vins_output/vio.csv,0,0,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a02_0005_m_r1/ape.txt,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a02_0005_m_r1/vins.log,0,262,262,papers/p07_b1_vs_m_common_support/aqualoc_archaeology_A02_0005_b1_only/common_support_summary.json,b0f37796da21454681ec56926c407759b66912797f80121b31c8619a54b3d449,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,45,43,0.9555555555555556,42.0,1,42,44.992251135990955,0.4625640900801491,0.04728050098526404,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
2,aqualoc_archaeology:A01:0018,aqualoc_archaeology,A01,18,RELATIVE_Q80_FALLBACK,0.16758689123190262,low,logs/aqualoc_archaeo_vins/external_klt_every2_p07_b1m_aqualoc_archaeology_a01_0018_b1_r1,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a01_0018_m_r1,0,SUCCESS,logs/aqualoc_archaeo_vins/external_klt_every2_p07_b1m_aqualoc_archaeology_a01_0018_b1_r1/vins_output/vio.csv,45415,439,logs/aqualoc_archaeo_vins/external_klt_every2_p07_b1m_aqualoc_archaeology_a01_0018_b1_r1/ape.txt,logs/aqualoc_archaeo_vins/external_klt_every2_p07_b1m_aqualoc_archaeology_a01_0018_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a01_0018_m_r1/vins_output/vio.csv,0,0,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a01_0018_m_r1/ape.txt,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a01_0018_m_r1/vins.log,0,262,262,papers/p07_b1_vs_m_common_support/aqualoc_archaeology_A01_0018_b1_only/common_support_summary.json,b1bfa7cd58e3321d04fcf56bb0ec4442e747b7868b76ff7d5d54e19341021474,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,45,43,0.9555555555555556,42.0,1,42,44.99152070400305,1.075509940341906,0.08804518219619822,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
3,aqualoc_harbor:H05:0002,aqualoc_harbor,H05,2,STRICT_NORMAL,0.08957317388974163,normal,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h05_0002_b1_r1,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h05_0002_m_r1,0,SUCCESS,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h05_0002_b1_r1/vins_output/vio.csv,47219,440,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h05_0002_b1_r1/ape.txt,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h05_0002_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h05_0002_m_r1/vins_output/vio.csv,0,0,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h05_0002_m_r1/ape.txt,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h05_0002_m_r1/vins.log,0,254,180,papers/p07_b1_vs_m_common_support/aqualoc_harbor_H05_0002_b1_only/common_support_summary.json,a630588e281b67cec0edf2546756caf583c0b025e963547644113137f0e6d2b9,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,91,87,0.9560439560439561,43.0,1,85,45.01829385000747,0.18063338176916974,0.02226283851680686,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
4,ntnu:fjord_6:0001,ntnu,fjord_6,1,STRICT_NORMAL,0.08882066995368795,normal,logs/ntnu_vins/external_klt_every2_p07_b1m_normal_ntnu_fjord_6_0001_b1_r1,logs/ntnu_vins/external_xfeat_every2_p07_b1m_normal_ntnu_fjord_6_0001_m_r1,0,SUCCESS,logs/ntnu_vins/external_klt_every2_p07_b1m_normal_ntnu_fjord_6_0001_b1_r1/vins_output/vio.csv,45964,440,logs/ntnu_vins/external_klt_every2_p07_b1m_normal_ntnu_fjord_6_0001_b1_r1/ape.txt,logs/ntnu_vins/external_klt_every2_p07_b1m_normal_ntnu_fjord_6_0001_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/ntnu_vins/external_xfeat_every2_p07_b1m_normal_ntnu_fjord_6_0001_m_r1/vins_output/vio.csv,0,0,logs/ntnu_vins/external_xfeat_every2_p07_b1m_normal_ntnu_fjord_6_0001_m_r1/ape.txt,logs/ntnu_vins/external_xfeat_every2_p07_b1m_normal_ntnu_fjord_6_0001_m_r1/vins.log,0,200,66,papers/p07_b1_vs_m_common_support/ntnu_fjord_6_0001_b1_only/common_support_summary.json,9754d6a552ad79962d461a4c78898bf34497c2478e0ea2ad234f1bc7bf620469,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,451,439,0.9733924611973392,43.800000000046566,1,429,45.0,0.1353122787598714,0.03954703253056605,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
5,aqualoc_harbor:H06:0000,aqualoc_harbor,H06,0,STRICT_NORMAL,0.05379094338993705,normal,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h06_0000_b1_r1,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h06_0000_m_r1,0,SUCCESS,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h06_0000_b1_r1/vins_output/vio.csv,45427,433,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h06_0000_b1_r1/ape.txt,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h06_0000_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h06_0000_m_r1/vins_output/vio.csv,0,0,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h06_0000_m_r1/ape.txt,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h06_0000_m_r1/vins.log,0,265,213,papers/p07_b1_vs_m_common_support/aqualoc_harbor_H06_0000_b1_only/common_support_summary.json,9fe47df3a121bdad7a7344d127bcebf12e7448ba26422ad398b1473d04c4bb8e,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,91,86,0.945054945054945,42.5,1,84,45.01851855998393,0.1046699444684437,0.013047564866002602,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
6,ntnu:fjord_6:0002,ntnu,fjord_6,2,ABSOLUTE_LOW,0.24110685081064592,low,logs/ntnu_vins/external_klt_every2_p07_b1m_ntnu_fjord_6_0002_b1_r1,logs/ntnu_vins/external_xfeat_every2_p07_b1m_ntnu_fjord_6_0002_m_r1,0,SUCCESS,logs/ntnu_vins/external_klt_every2_p07_b1m_ntnu_fjord_6_0002_b1_r1/vins_output/vio.csv,44797,428,logs/ntnu_vins/external_klt_every2_p07_b1m_ntnu_fjord_6_0002_b1_r1/ape.txt,logs/ntnu_vins/external_klt_every2_p07_b1m_ntnu_fjord_6_0002_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/ntnu_vins/external_xfeat_every2_p07_b1m_ntnu_fjord_6_0002_m_r1/vins_output/vio.csv,0,0,logs/ntnu_vins/external_xfeat_every2_p07_b1m_ntnu_fjord_6_0002_m_r1/ape.txt,logs/ntnu_vins/external_xfeat_every2_p07_b1m_ntnu_fjord_6_0002_m_r1/vins.log,0,212,96,papers/p07_b1_vs_m_common_support/ntnu_fjord_6_0002_b1_only/common_support_summary.json,8adacc6cea88f34e791bec2b1918dbcde19fc0575ee12e70d191555cc65dc6b6,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,451,427,0.9467849223946785,42.59999999997672,1,417,45.0,0.24069665820248068,0.04995115642291669,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
7,aqualoc_archaeology:A03:0001,aqualoc_archaeology,A03,1,RELATIVE_Q80_FALLBACK,0.13789911641351624,low,logs/aqualoc_archaeo_vins/external_klt_every2_p07_b1m_aqualoc_archaeology_a03_0001_b1_r1,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a03_0001_m_r1,0,SUCCESS,logs/aqualoc_archaeo_vins/external_klt_every2_p07_b1m_aqualoc_archaeology_a03_0001_b1_r1/vins_output/vio.csv,46240,438,logs/aqualoc_archaeo_vins/external_klt_every2_p07_b1m_aqualoc_archaeology_a03_0001_b1_r1/ape.txt,logs/aqualoc_archaeo_vins/external_klt_every2_p07_b1m_aqualoc_archaeology_a03_0001_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a03_0001_m_r1/vins_output/vio.csv,0,0,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a03_0001_m_r1/ape.txt,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_b1m_aqualoc_archaeology_a03_0001_m_r1/vins.log,0,265,258,papers/p07_b1_vs_m_common_support/aqualoc_archaeology_A03_0001_b1_only/common_support_summary.json,9c19b5ddc59cc3f140bbdd4a73c55d128f6876ad7be7d12c93ecefc82f294931,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,45,43,0.9555555555555556,42.0,1,42,44.99267907207832,0.2692929765322812,0.03631397342198302,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
8,ntnu:fjord_6:0003,ntnu,fjord_6,3,ABSOLUTE_LOW,0.2589118025475741,low,logs/ntnu_vins/external_klt_every2_p07_b1m_ntnu_fjord_6_0003_b1_r1,logs/ntnu_vins/external_xfeat_every2_p07_b1m_ntnu_fjord_6_0003_m_r1,0,SUCCESS,logs/ntnu_vins/external_klt_every2_p07_b1m_ntnu_fjord_6_0003_b1_r1/vins_output/vio.csv,46214,440,logs/ntnu_vins/external_klt_every2_p07_b1m_ntnu_fjord_6_0003_b1_r1/ape.txt,logs/ntnu_vins/external_klt_every2_p07_b1m_ntnu_fjord_6_0003_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/ntnu_vins/external_xfeat_every2_p07_b1m_ntnu_fjord_6_0003_m_r1/vins_output/vio.csv,0,0,logs/ntnu_vins/external_xfeat_every2_p07_b1m_ntnu_fjord_6_0003_m_r1/ape.txt,logs/ntnu_vins/external_xfeat_every2_p07_b1m_ntnu_fjord_6_0003_m_r1/vins.log,0,202,63,papers/p07_b1_vs_m_common_support/ntnu_fjord_6_0003_b1_only/common_support_summary.json,da5b731612b483e4896ee35ab4595ace921eb2ad87098553a816e9a93f77f714,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,451,439,0.9733924611973392,43.800000000046566,1,429,45.0,0.2902282601248853,0.08541569991515228,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
9,aqualoc_harbor:H01:0000,aqualoc_harbor,H01,0,STRICT_NORMAL,0.055595308082379044,normal,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h01_0000_b1_r1,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h01_0000_m_r1,0,SUCCESS,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h01_0000_b1_r1/vins_output/vio.csv,45929,426,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h01_0000_b1_r1/ape.txt,logs/aqualoc_real_vins/external_klt_every2_p07_b1m_normal_aqualoc_harbor_h01_0000_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h01_0000_m_r1/vins_output/vio.csv,0,0,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h01_0000_m_r1/ape.txt,logs/aqualoc_real_vins/external_xfeat_every2_p07_b1m_normal_aqualoc_harbor_h01_0000_m_r1/vins.log,0,268,208,papers/p07_b1_vs_m_common_support/aqualoc_harbor_H01_0000_b1_only/common_support_summary.json,afbfd49c5dd82664533fda8d4d8634d4048ec4bd467d8c0c5edd5756e9939f7f,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,91,85,0.9340659340659341,42.0,1,83,45.017963143996894,0.07154529892744546,0.011644760562181528,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
10,afrl:bus_outside:0001,afrl,bus_outside,1,ABSOLUTE_LOW,0.1853703015292732,low,logs/afrl_cave_v31/external_klt_every2_p07_b1m_afrl_bus_outside_0001_b1_r1,logs/afrl_cave_v31/external_xfeat_every2_p07_b1m_afrl_bus_outside_0001_m_r1,0,SUCCESS,logs/afrl_cave_v31/external_klt_every2_p07_b1m_afrl_bus_outside_0001_b1_r1/vins_output/vio.csv,28409,271,logs/afrl_cave_v31/external_klt_every2_p07_b1m_afrl_bus_outside_0001_b1_r1/ape.txt,logs/afrl_cave_v31/external_klt_every2_p07_b1m_afrl_bus_outside_0001_b1_r1/vins.log,1,1,INITIALIZATION_FAILURE,logs/afrl_cave_v31/external_xfeat_every2_p07_b1m_afrl_bus_outside_0001_m_r1/vins_output/vio.csv,0,0,logs/afrl_cave_v31/external_xfeat_every2_p07_b1m_afrl_bus_outside_0001_m_r1/ape.txt,logs/afrl_cave_v31/external_xfeat_every2_p07_b1m_afrl_bus_outside_0001_m_r1/vins.log,0,253,182,papers/p07_b1_vs_m_common_support/afrl_bus_outside_0001_b1_only/common_support_summary.json,f69a1cfdbc7fc93b8a8ea867b87d527e8b891eea9a759b345d150a9be0931a84,B1_ONLY_NOT_PAIRWISE_COMMON_SUPPORT,true,true,225,215,0.9555555555555556,42.800000000046566,1,210,44.93328099895734,0.16990232761066545,0.017712608437298195,,,false,false,M_INITIALIZATION_FAILURE,ZERO_BYTE_VIO;NO_INITIALIZATION_FINISH;NOT_ENOUGH_FEATURES_OR_PARALLAX;IMU_EXCITATION_NOT_ENOUGH,B1 G0 metrics are single-arm B1-only support and are not pairwise B1-vs-M common-support results.
