family,run_dir,feature_id,lineage_observations,seed_observations,first_frame,confirmation_frame,last_frame,post_confirmation_observations,median_nearest_classical_px,median_motion_ratio_to_classical,passes_same_rule,causal_selected,feature_frames,metrics_exported_source_total
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun28_seedchain_afrl_cave_gennie_0_20_export,405,24,3,8,37,56,20,112.40615391044443,0.9646168963857451,1,1,197,50
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun27_seedchain_fr110_130_probe_oldcontract,539,22,8,8,12,47,18,91.39041977477792,0.1877870053707796,1,0,189,50
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun27_seedchain_fr110_130_mirror_probe,538,20,7,4,8,23,16,44.50860216007261,0.16044107590401777,1,0,189,50
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun28_seedchain_afrl_cave_gennie_0_20_export,407,19,3,8,37,51,15,61.674028234342984,0.9955627013585161,1,0,197,50
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun28_seedchain_afrl_cave_gennie_0_20_export,416,18,3,8,37,50,14,67.75689139010701,1.2426091931267902,1,0,197,50
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_active_v5_afrl_fr80_110_probe,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,479
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v10_adaptive_budget_fr80_110_export,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v6_fr80_110_export,10000117,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,239
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v7_hold40_fr80_110_export,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,479
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v9_fr80_budget360_fr80_110_export,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr80_110_export,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_budget_v1_fr80_110_export,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_v1_fr80_110_export,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_motion2_v1_fr80_110_export,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_v1_fr80_110_export,10000147,11,11,131,135,141,7,177.14167502150178,0.8804539355562068,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_motion2_v1_fr90_120_export,10000141,11,11,172,176,182,7,135.24806341288448,0.2651616074779388,1,0,268,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_formal_v3_positive_windows_fr80_110_export,10000101,11,11,131,135,141,7,131.12350576798863,0.8768277951918134,1,0,243,293
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_formal_v3_positive_windows_fr110_140_export,10000101,11,11,91,95,101,7,103.9104285280703,0.10637580486875793,1,0,265,305
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fl380_xfeat_q035_temporal_probe,5290,11,5,40,44,57,7,101.47502391947322,0.728687048078065,1,1,150,40
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_formal_v3_positive_windows_fr120_150_export,10000040,11,11,36,40,46,7,97.22159787423732,0.7347123817314926,1,0,243,342
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr60_90_export,10000041,11,11,55,59,65,7,93.01575427679018,0.18748045565177407,1,0,224,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recenthealth_v1_fr60_90_export,10000041,11,11,55,59,65,7,93.01575427679018,0.18748045565177407,1,0,224,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recenthealth_v2_fr60_90_export,10000041,11,11,55,59,65,7,93.01575427679018,0.18748045565177407,1,0,224,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun01_xfeat_covseed_formal_v2_more_fr40_70_export,10000019,11,11,24,28,34,7,87.43036634194475,0.22381195728804654,1,0,245,72
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun01_xfeat_expand_v1_fr40_70_export,10000019,11,11,24,28,34,7,87.43036634194475,0.22381195728804654,1,0,245,80
