family,run_dir,feature_id,lineage_observations,seed_observations,first_frame,last_frame,post_confirmation_observations,median_nearest_classical_px,median_motion_ratio_to_classical,passes_same_rule,feature_frames
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_1_s0_d30_probe,1348,56,4,9,90,52,42.742701,0.682375,1,298
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_1_s0_d30_probe,1344,45,3,9,80,41,41.586402,1.290676,1,298
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_1_s0_d30_probe,1407,40,1,11,80,36,47.472734,0.892284,1,298
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe2_ntnu_mclab2_s60_d10,940,39,3,4,99,35,55.647797,0.663257,1,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1700,33,33,16,48,29,70.075040,0.664898,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1703,33,33,16,48,29,78.600742,0.669919,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1748,32,32,17,48,28,65.646202,0.648275,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1699,30,30,16,45,26,50.900413,0.658046,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,12911,29,29,51,79,25,50.709995,1.233772,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1729,29,29,21,49,25,46.324394,0.574859,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1749,28,28,22,49,24,61.127231,0.645836,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1752,28,28,22,49,24,44.391761,0.658596,1,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_scan_fjord_3_s80_d10_probe_oldcontract_densecap,4421,23,3,20,99,19,70.096655,1.028789,1,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,14431,22,22,58,79,18,47.821781,1.246559,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,15212,20,20,60,79,16,40.391081,1.436740,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,2049,19,19,29,47,15,48.993292,0.799902,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1742,17,17,17,33,13,47.382536,0.691372,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,12909,15,15,51,65,11,55.105650,1.274462,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,3667,15,15,65,79,11,71.932762,0.532645,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,3669,15,15,65,79,11,51.061362,0.643732,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,3671,15,15,65,79,11,49.992076,0.554014,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,3919,14,14,56,69,10,51.264722,1.031373,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,3921,13,13,56,68,9,42.843247,1.053780,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1701,12,12,16,27,8,44.033754,0.696562,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,3796,12,12,54,65,8,64.012539,1.109648,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,3920,10,10,56,65,6,44.062473,1.126060,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,4259,10,10,62,71,6,84.432998,0.489100,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1320_1480,437,10,10,1,10,6,64.128051,1.495530,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen14_h04_800_1200_probe,49419,9,9,188,196,5,45.525328,1.403024,1,200
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1320_1480,436,9,9,1,9,5,51.312775,1.142853,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1320_1480,7095,8,8,71,78,4,60.728237,0.937266,1,80
