family,run_dir,feature_frames,xfeat_observations,xfeat_active_frames,xfeat_first_frame,xfeat_last_frame,xfeat_max_per_frame
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,80,1247,79,1,79,34
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,80,971,45,35,79,38
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,80,940,74,6,79,25
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,80,633,76,4,79,21
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,145,524,100,1,141,18
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1820,80,381,58,1,79,18
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1660_1740,40,283,37,1,37,18
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst12_probe_h07_1660_1740,40,244,31,2,33,14
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1320_1480,80,176,40,1,79,9
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_may23_probe_fjord1_0_30_xfeat_mirrorconfig_init20_weakcell,298,117,72,20,265,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_may23_probe_fjord1_0_30_xfeat_init20_weakcell,298,106,68,20,104,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_may23_probe_fjord1_0_30_xfeat_warmupconfig_init20_weakcell,298,106,68,20,104,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_may23_probe_fjord1_0_30_xfeat_weakcell_restored,298,106,68,20,104,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_may26_probe_ntnu_fjord1_0_30_hybrid_xfeat,298,58,26,25,105,3
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul03_guarded_scan_h07_900_1240_probe_oldcontract_densecap,170,50,5,1,5,22
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_bandmotion_probe_h07_1480_1640,80,50,7,6,12,8
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_cross1_s900_d30_probe_oldcontract_densecap,150,50,11,8,19,10
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_threeway_probe_s900_d30_probe_oldcontract_densecap,150,50,11,8,19,10
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_trial_s900_d30_probe_oldcontract_densecap,150,50,11,8,19,10
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun26_rerun_cirs_threeway_s900_d30_probe_oldcontract_densecap,150,50,11,8,19,10
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun27_current_cirs_s900_d30_probe_oldcontract_densecap,150,50,11,8,19,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul01_probe_initsafe_ntnu_fjord1_s90_d10,100,50,20,20,39,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_initsafe_ntnu_fjord1_s85_d10_probe_oldcontract_densecap,100,50,7,8,35,16
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s81_d10_probe_oldcontract_densecap,100,50,4,1,4,16
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s82_d10_probe_oldcontract_densecap,100,50,4,1,4,18
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s90_d10_probe_oldcontract_densecap,100,50,6,1,6,11
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_guarded_v2_scan_ntnu_fjord1_s82_d10_probe_oldcontract_densecap,100,50,4,1,4,18
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_neighbor2_ntnu_fjord1_s85p8_d10_probe_oldcontract_densecap,100,50,9,1,9,12
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_neighbor_ntnu_fjord1_s84p2_d10_probe_oldcontract_densecap,100,50,5,44,48,12
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord3_s36_d10_probe_oldcontract_densecap,100,50,6,20,25,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord3_s37_d10_probe_oldcontract_densecap,100,50,8,1,8,12
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord4_s33_d10_probe_oldcontract_densecap,100,50,7,2,8,9
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord4_s34_d10_probe_oldcontract_densecap,100,50,6,72,77,16
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul05_localsweep_f3_s90p60_probe_oldcontract_densecap,100,50,7,4,10,12
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul06_more_ntnu_f3_s89_d10_probe_oldcontract_densecap,100,50,4,2,5,18
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe2_ntnu_mclab2_s60_d10,100,50,5,2,6,12
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe3_ntnu_mclab2_s50_d10,100,50,6,91,96,14
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe_ntnu_fjord4_s30_d10,100,50,12,30,41,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_scan_fjord_4_s30_d10_probe_oldcontract_densecap,100,50,12,30,41,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_gatefix2_probe_ntnu_fjord4_s120_d10,100,50,4,2,5,19
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_gatefix_probe_ntnu_fjord4_s120_d10,100,50,4,2,5,19
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_gatefix_probe_ntnu_mclab2_s110_d10,100,50,10,40,49,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_fjord4_s10_d10,100,50,11,23,33,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_mclab1_s0_d10,90,50,6,14,19,15
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_mclab2_s110_d10,100,50,10,40,49,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_mclab2_s120_d10,100,50,6,1,6,13
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_probe_more3_ntnu_fjord_4_s120_d10,100,50,4,2,5,19
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_bandmotion_probe_ntnu_mclab2_s110_d10,100,50,10,40,49,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_normmotion3_probe_ntnu_mclab2_s110_d10,100,50,10,40,49,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_normmotion_probe_ntnu_mclab2_s110_d10,100,50,10,40,49,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_refill_probe_ntnu_fjord4_s120_d10,100,50,4,2,5,19
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_startgftt_probe_ntnu_mclab2_s110_d10,100,50,10,40,49,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul10_scan_ntnu_fjord1_s96_d10_probe_oldcontract_densecap,100,50,4,30,33,19
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul14_latedense_ntnu_mclab2_s110_d10_probe_oldcontract_densecap,100,50,10,40,49,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_mclab2_s110_d10_probe_oldcontract_densecap,100,50,10,40,49,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen20_ntnu_fjord1_s140_d10_probe,100,50,7,15,21,11
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen28_ntnu_fjord2_s530_d10_probe,100,50,3,3,5,25
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen34_ntnu_fjord2_s340_d10_probe,100,50,5,1,5,16
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_1_s0_d30_probe,298,50,5,8,12,24
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_3_s30_d20_probe,200,50,11,61,71,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_4_s30_d20_probe,200,50,12,30,41,7
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul02_xfeat_arbitrated_cirs_s900_d30_smoke_probe_oldcontract_densecap,150,49,11,8,19,10
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul13_arbvg2_cirs_s900_d30_probe_oldcontract_densecap,150,49,11,8,19,10
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s900_d30_probe_oldcontract_densecap,150,49,11,8,19,10
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun28_lineagesafe_dense_start_s900_d30_probe_oldcontract_densecap,150,49,11,8,19,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_neighbor2_ntnu_fjord1_s85p5_d10_probe_oldcontract_densecap,100,44,12,1,12,10
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_latefixfine_ntnu_fjord1_s83p45_d10_probe_oldcontract_densecap,100,42,12,1,12,11
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul12_cirs_s120_d30_lineage_separate12_probe,150,41,15,10,47,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe_ntnu_fjord4_s35_d10,100,38,12,70,81,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_scan_fjord_4_s35_d10_probe_oldcontract_densecap,100,38,12,70,81,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_neighbor_ntnu_fjord1_s82p5_d10_probe_oldcontract_densecap,100,36,9,2,10,8
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul07_nonoverlap_onlineprobe5_cirs_s690_d30,150,34,8,106,113,9
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s690_d30_probe,150,34,8,106,113,9
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_cross1_s690_d30_probe_oldcontract_densecap,150,34,8,106,113,9
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_threeway_probe_s690_d30_probe_oldcontract_densecap,150,34,8,106,113,9
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen20_ntnu_fjord1_s240_d10_probe,100,31,10,3,82,7
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain3_h04_2000_2360_probe,180,30,30,144,173,1
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_lineage_tail_ntnu_fjord1_s85_d10_probe_oldcontract_densecap,100,26,10,2,34,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s90_d10_probe,100,24,9,23,31,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen16_ntnu_mclab2_s280_d10_probe,100,23,9,17,51,4
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun24_s900_d30_age5_noformal_mirror_cap20_probe,150,20,6,10,15,4
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun24_s900_d30_age5_noformal_mirror_nosafesel_cap20_probe,150,20,6,10,15,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s92_d10_probe_oldcontract_densecap,100,19,3,2,4,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_more_ntnu_fjord5_s73_d10_probe_oldcontract_densecap,100,19,3,50,52,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_neighbor3_ntnu_fjord1_s83p4_d10_probe_oldcontract_densecap,100,19,3,1,3,9
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_scan_fjord_3_s80_d10_probe_oldcontract_densecap,100,19,3,20,22,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen17_ntnu_fjord4_s260_d10_probe,100,19,9,48,56,3
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen13_h01_3200_3600_probe,200,18,9,13,21,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_guarded_scan_ntnu_fjord5_s72_d10_probe_oldcontract_densecap,100,18,3,5,7,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s500_d10_probe,100,18,9,4,12,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain2_fjord_1_s30_d30_probe,300,18,3,31,33,7
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul03_guarded_earlyseed_h07_1660_1740_probe_oldcontract_densecap,40,17,3,2,4,8
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul06_motiondiag_h07_1660_1740_probe_oldcontract_densecap,40,17,3,2,4,8
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1660_1740,40,17,3,2,4,8
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen14_h04_800_1200_probe,200,17,9,188,196,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul05_probe_shift_ntnu_fjord3_s90p5_d10_probe_oldcontract_densecap,100,17,3,3,5,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe3_ntnu_mclab2_s70_d10,100,17,3,10,12,8
