case_id,cohort,official_fresh_20,independent_cluster,dataset_family,sequence,window,arm,run_dir,ape_rmse_m,rpe_rmse_m,ape_valid,rpe_valid,common_grid_count,common_matched_count,common_span_s,common_coverage,common_rpe_pairs,threshold_divergence,both_metrics_invalid,divergent_or_invalid,solver_risk,learned_track_ids,g0_summary,metric_contract
a02_2800_3200,main,1,AQUALOC_A02_2800,aqualoc_archaeo,A02,A02_2800-3200,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a02_2800_3200_full,35.55673010799455,10.283631248648225,0,1,20,17,16.0,0.85,16,1,0,1,1,0,papers/e3_g0_common_support/a02_2800_3200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a02_2800_3200,main,1,AQUALOC_A02_2800,aqualoc_archaeo,A02,A02_2800-3200,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a02_2800_3200_drop_lineage,35.55673010799455,10.283631248648225,0,1,20,17,16.0,0.85,16,1,0,1,1,0,papers/e3_g0_common_support/a02_2800_3200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a02_2800_3200,main,1,AQUALOC_A02_2800,aqualoc_archaeo,A02,A02_2800-3200,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a02_2800_3200_klt,35.55673010799455,10.283631248648225,0,1,20,17,16.0,0.85,16,1,0,1,1,0,papers/e3_g0_common_support/a02_2800_3200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a05_3300_3700,main,1,AQUALOC_A05_3300,aqualoc_archaeo,A05,A05_3300-3700,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a05_3300_3700_full,0.33184197260401954,0.06499689956018417,0,1,20,18,17.0,0.9,17,0,0,0,0,8,papers/e3_g0_common_support/a05_3300_3700/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a05_3300_3700,main,1,AQUALOC_A05_3300,aqualoc_archaeo,A05,A05_3300-3700,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a05_3300_3700_drop_lineage,0.5748111623205718,0.11169777948976667,0,1,20,18,17.0,0.9,17,0,0,0,0,8,papers/e3_g0_common_support/a05_3300_3700/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a05_3300_3700,main,1,AQUALOC_A05_3300,aqualoc_archaeo,A05,A05_3300-3700,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a05_3300_3700_klt,0.3456042857303969,0.06757300723003368,0,1,20,18,17.0,0.9,17,0,0,0,0,8,papers/e3_g0_common_support/a05_3300_3700/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a07_10800_11200,main,1,AQUALOC_A07_10800,aqualoc_archaeo,A07,A07_10800-11200,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a07_10800_11200_full,0.10510019322524519,0.0468723428735741,0,1,20,15,14.0,0.75,14,0,0,0,1,10,papers/e3_g0_common_support/a07_10800_11200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a07_10800_11200,main,1,AQUALOC_A07_10800,aqualoc_archaeo,A07,A07_10800-11200,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a07_10800_11200_drop_lineage,0.3496752081112931,0.10615670885559585,0,1,20,15,14.0,0.75,14,0,0,0,1,10,papers/e3_g0_common_support/a07_10800_11200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a07_10800_11200,main,1,AQUALOC_A07_10800,aqualoc_archaeo,A07,A07_10800-11200,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a07_10800_11200_klt,0.4266957992915882,0.12438463509624435,0,1,20,15,14.0,0.75,14,0,0,0,1,10,papers/e3_g0_common_support/a07_10800_11200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a08_4500_4660,main,1,AQUALOC_A08_4500,aqualoc_archaeo,A08,A08_4500-4660,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a08_4500_4660_full,0.1372782794823025,0.09929404293464647,0,0,8,6,5.0,0.75,5,0,1,1,0,2,papers/e3_g0_common_support/a08_4500_4660/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a08_4500_4660,main,1,AQUALOC_A08_4500,aqualoc_archaeo,A08,A08_4500-4660,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a08_4500_4660_drop_lineage,0.18595427159880912,0.13209776201116594,0,0,8,6,5.0,0.75,5,0,1,1,0,2,papers/e3_g0_common_support/a08_4500_4660/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a08_4500_4660,main,1,AQUALOC_A08_4500,aqualoc_archaeo,A08,A08_4500-4660,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a08_4500_4660_klt,0.17688253846821944,0.12555323227385984,0,0,8,6,5.0,0.75,5,0,1,1,0,2,papers/e3_g0_common_support/a08_4500_4660/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_6000_6200,main,1,AQUALOC_A09_6000,aqualoc_archaeo,A09,A09_6000-6200,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a09_6000_6200_full,0.06734956891928243,0.032345696482348425,0,0,10,8,7.0,0.8,7,0,1,1,0,1,papers/e3_g0_common_support/a09_6000_6200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_6000_6200,main,1,AQUALOC_A09_6000,aqualoc_archaeo,A09,A09_6000-6200,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a09_6000_6200_drop_lineage,24.715960248766354,10.893396335979814,0,0,10,8,7.0,0.8,7,0,1,1,0,1,papers/e3_g0_common_support/a09_6000_6200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_6000_6200,main,1,AQUALOC_A09_6000,aqualoc_archaeo,A09,A09_6000-6200,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a09_6000_6200_klt,3.3351164018953576,2.4627663172281813,0,0,10,8,7.0,0.8,7,0,1,1,0,1,papers/e3_g0_common_support/a09_6000_6200/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
fjord1_s83_d10,main,1,NTNU_fjord1_s83,ntnu,fjord_1,fjord_1_s83_d10,full,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_fjord1_s83_d10_full,0.07917945430051859,0.08031020689967514,0,1,3122,85,8.399999856948853,0.027226137091607944,75,0,0,0,0,3,papers/e3_g0_common_support/fjord1_s83_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
fjord1_s83_d10,main,1,NTNU_fjord1_s83,ntnu,fjord_1,fjord_1_s83_d10,drop,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_fjord1_s83_d10_drop_lineage,1.0008501992024104,0.8274810019202045,0,1,3122,85,8.399999856948853,0.027226137091607944,75,0,0,0,0,3,papers/e3_g0_common_support/fjord1_s83_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
fjord1_s83_d10,main,1,NTNU_fjord1_s83,ntnu,fjord_1,fjord_1_s83_d10,klt,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_jul14frozen3way_fjord1_s83_d10_klt,0.1812776201988145,0.1319396110894335,0,1,3122,85,8.399999856948853,0.027226137091607944,75,0,0,0,0,3,papers/e3_g0_common_support/fjord1_s83_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
mclab1_s60_d15,main,1,NTNU_mclab1_s60,ntnu,mclab1,mclab1_s60_d15,full,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_mclab1_s60_d15_full,0.43727461512130367,0.1495004240790723,0,1,3902,139,13.800000190734863,0.035622757560225524,129,0,0,0,0,8,papers/e3_g0_common_support/mclab1_s60_d15/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
