timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1542888996.0299263,1,0,0,0,0,-1
1542888997.0299263,1,0,0,0,0,-1
1542888998.0299263,1,0,0,0,0,-1
1542888999.0299263,1,1,1,1,1,0
1542889000.0299263,1,1,1,1,1,0
1542889001.0299263,0,1,1,1,0,-1
1542889002.0299263,0,1,1,1,0,-1
1542889003.0299263,0,1,1,1,0,-1
1542889004.0299263,0,1,1,1,0,-1
1542889005.0299263,1,1,1,1,1,1
1542889006.0299263,1,1,1,1,1,1
1542889007.0299263,1,1,1,1,1,1
1542889008.0299263,1,1,1,1,1,1
1542889009.0299263,1,1,1,1,1,1
1542889010.0299263,1,1,1,1,1,1
1542889011.0299263,1,1,1,1,1,1
1542889012.0299263,1,1,1,1,1,1
1542889013.0299263,1,1,1,1,1,1
1542889014.0299263,1,1,1,1,1,1
1542889015.0299263,1,1,1,1,1,1
