timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1535224932.0878847,1,0,0,0,0,-1
1535224932.1878846,1,0,0,0,0,-1
1535224932.2878847,1,0,0,0,0,-1
1535224932.3878846,1,0,0,0,0,-1
1535224932.4878848,1,0,0,0,0,-1
1535224932.5878847,1,0,0,0,0,-1
1535224932.6878846,1,0,0,0,0,-1
1535224932.7878847,1,0,0,0,0,-1
1535224932.8878846,1,0,0,0,0,-1
1535224932.9878848,1,0,0,0,0,-1
1535224933.0878847,1,0,0,0,0,-1
1535224933.1878846,1,0,0,0,0,-1
1535224933.2878847,1,0,0,0,0,-1
1535224933.3878846,1,0,0,0,0,-1
1535224933.4878848,1,0,0,0,0,-1
1535224933.5878847,1,0,0,0,0,-1
1535224933.6878846,1,0,0,0,0,-1
1535224933.7878847,1,0,0,0,0,-1
1535224933.8878846,1,0,0,0,0,-1
1535224933.9878848,1,0,0,0,0,-1
1535224934.0878847,1,0,0,0,0,-1
1535224934.1878846,1,0,0,0,0,-1
1535224934.2878847,1,0,0,0,0,-1
1535224934.3878846,1,0,0,0,0,-1
1535224934.4878848,1,0,0,0,0,-1
1535224934.5878847,1,1,1,1,1,0
1535224934.6878846,1,1,1,1,1,0
1535224934.7878847,1,1,1,1,1,0
1535224934.8878846,1,1,1,1,1,0
1535224934.9878848,1,1,1,1,1,0
1535224935.0878847,1,1,1,1,1,0
1535224935.1878846,1,1,1,1,1,0
1535224935.2878847,1,1,1,1,1,0
1535224935.3878846,1,1,1,1,1,0
1535224935.4878848,1,1,1,1,1,0
1535224935.5878847,1,1,1,1,1,0
1535224935.6878846,1,1,1,1,1,0
1535224935.7878847,1,1,1,1,1,0
1535224935.8878846,1,1,1,1,1,0
1535224935.9878848,1,1,1,1,1,0
1535224936.0878847,1,1,1,1,1,0
1535224936.1878846,1,1,1,1,1,0
1535224936.2878847,1,1,1,1,1,0
1535224936.3878846,1,1,1,1,1,0
1535224936.4878848,1,1,1,1,1,0
1535224936.5878847,1,1,1,1,1,0
1535224936.6878846,1,1,1,1,1,0
1535224936.7878847,1,1,1,1,1,0
1535224936.8878846,1,1,1,1,1,0
1535224936.9878848,1,1,1,1,1,0
1535224937.0878847,1,1,1,1,1,0
1535224937.1878846,1,1,1,1,1,0
1535224937.2878847,1,1,1,1,1,0
1535224937.3878846,1,1,1,1,1,0
1535224937.4878848,1,1,1,1,1,0
1535224937.5878847,1,1,1,1,1,0
1535224937.6878846,1,1,1,1,1,0
1535224937.7878847,1,1,1,1,1,0
1535224937.8878846,1,1,1,1,1,0
1535224937.9878848,1,1,1,1,1,0
1535224938.0878847,1,1,1,1,1,0
1535224938.1878846,1,1,1,1,1,0
1535224938.2878847,1,1,1,1,1,0
1535224938.3878846,1,1,1,1,1,0
1535224938.4878848,1,1,1,1,1,0
1535224938.5878847,1,1,1,1,1,0
1535224938.6878846,1,1,1,1,1,0
1535224938.7878847,1,1,1,1,1,0
1535224938.8878846,1,1,1,1,1,0
1535224938.9878848,1,1,1,1,1,0
1535224939.0878847,1,1,1,1,1,0
1535224939.1878846,1,1,1,1,1,0
1535224939.2878847,1,1,1,1,1,0
1535224939.3878846,1,1,1,1,1,0
1535224939.4878848,1,1,1,1,1,0
1535224939.5878847,1,1,1,1,1,0
1535224939.6878846,1,1,1,1,1,0
