timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1523958706.9506695,1,0,0,0,0,-1
1523958707.4506695,1,0,0,0,0,-1
1523958707.9506695,1,0,0,0,0,-1
1523958708.4506695,1,0,0,0,0,-1
1523958708.9506695,1,0,0,0,0,-1
1523958709.4506695,1,1,1,1,1,0
1523958709.9506695,1,1,1,1,1,0
1523958710.4506695,1,1,1,1,1,0
1523958710.9506695,1,1,1,1,1,0
1523958711.4506695,1,1,1,1,1,0
1523958711.9506695,1,1,1,1,1,0
1523958712.4506695,1,1,1,1,1,0
1523958712.9506695,1,1,1,1,1,0
1523958713.4506695,1,1,1,1,1,0
1523958713.9506695,1,1,1,1,1,0
1523958714.4506695,1,1,1,1,1,0
1523958714.9506695,1,1,1,1,1,0
1523958715.4506695,1,1,1,1,1,0
1523958715.9506695,1,1,1,1,1,0
1523958716.4506695,1,1,1,1,1,0
1523958716.9506695,1,1,1,1,1,0
1523958717.4506695,1,1,1,1,1,0
1523958717.9506695,1,1,1,1,1,0
1523958718.4506695,1,1,1,1,1,0
1523958718.9506695,1,1,1,1,1,0
1523958719.4506695,1,1,1,1,1,0
1523958719.9506695,1,1,1,1,1,0
1523958720.4506695,1,1,1,1,1,0
1523958720.9506695,1,1,1,1,1,0
1523958721.4506695,1,1,1,1,1,0
1523958721.9506695,1,1,1,1,1,0
1523958722.4506695,1,1,1,1,1,0
1523958722.9506695,1,1,1,1,1,0
1523958723.4506695,1,1,1,1,1,0
1523958723.9506695,1,1,1,1,1,0
1523958724.4506695,1,1,1,1,1,0
1523958724.9506695,1,1,1,1,1,0
1523958725.4506695,1,1,1,1,1,0
1523958725.9506695,1,1,1,1,1,0
1523958726.4506695,1,1,1,1,1,0
1523958726.9506695,1,0,0,0,0,-1
