timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1725640001.1289287,1,0,0,0,0,-1
1725640001.2289286,1,0,0,0,0,-1
1725640001.3289287,1,0,0,0,0,-1
1725640001.4289286,1,0,0,0,0,-1
1725640001.5289288,1,0,0,0,0,-1
1725640001.6289287,1,0,0,0,0,-1
1725640001.7289286,1,0,0,0,0,-1
1725640001.8289287,1,0,0,0,0,-1
1725640001.9289286,1,0,0,0,0,-1
1725640002.0289288,1,0,0,0,0,-1
1725640002.1289287,1,0,0,0,0,-1
1725640002.2289286,1,0,0,0,0,-1
1725640002.3289287,1,0,0,0,0,-1
1725640002.4289286,1,0,0,0,0,-1
1725640002.5289288,1,0,0,0,0,-1
1725640002.6289287,1,0,0,0,0,-1
1725640002.7289286,1,0,0,0,0,-1
1725640002.8289287,1,0,0,0,0,-1
1725640002.9289286,1,0,0,0,0,-1
1725640003.0289288,1,0,0,0,0,-1
1725640003.1289287,1,0,0,0,0,-1
1725640003.2289286,1,0,0,0,0,-1
1725640003.3289287,1,0,0,0,0,-1
1725640003.4289286,1,0,0,0,0,-1
1725640003.5289288,1,0,0,0,0,-1
1725640003.6289287,1,0,0,0,0,-1
1725640003.7289286,1,0,0,0,0,-1
1725640003.8289287,1,0,0,0,0,-1
1725640003.9289286,1,0,0,0,0,-1
1725640004.0289288,1,0,0,0,0,-1
1725640004.1289287,1,0,0,0,0,-1
1725640004.2289286,1,0,0,0,0,-1
1725640004.3289287,1,0,0,0,0,-1
1725640004.4289286,1,0,0,0,0,-1
1725640004.5289288,1,0,0,0,0,-1
1725640004.6289287,1,0,0,0,0,-1
1725640004.7289286,1,0,0,0,0,-1
1725640004.8289287,1,0,0,0,0,-1
1725640004.9289286,1,0,0,0,0,-1
1725640005.0289288,1,0,0,0,0,-1
1725640005.1289287,1,0,0,0,0,-1
1725640005.2289286,1,0,0,0,0,-1
1725640005.3289287,1,0,0,0,0,-1
1725640005.4289286,1,0,0,0,0,-1
1725640005.5289288,1,0,0,0,0,-1
1725640005.6289287,1,0,0,0,0,-1
1725640005.7289286,1,0,0,0,0,-1
1725640005.8289287,1,0,0,0,0,-1
1725640005.9289286,1,0,0,0,0,-1
1725640006.0289288,1,0,0,0,0,-1
1725640006.1289287,1,0,0,0,0,-1
1725640006.2289286,1,0,0,0,0,-1
1725640006.3289287,1,0,0,0,0,-1
1725640006.4289286,1,0,0,0,0,-1
1725640006.5289288,1,0,0,0,0,-1
1725640006.6289287,1,0,0,0,0,-1
1725640006.7289286,1,0,0,0,0,-1
1725640006.8289287,1,0,0,0,0,-1
1725640006.9289286,1,0,0,0,0,-1
1725640007.0289288,1,0,0,0,0,-1
1725640007.1289287,1,0,0,0,0,-1
1725640007.2289286,1,0,0,0,0,-1
1725640007.3289287,1,0,0,0,0,-1
1725640007.4289286,1,0,0,0,0,-1
1725640007.5289288,1,0,0,0,0,-1
1725640007.6289287,1,0,0,0,0,-1
1725640007.7289286,1,0,0,0,0,-1
1725640007.8289287,1,0,0,0,0,-1
1725640007.9289286,1,0,0,0,0,-1
1725640008.0289288,1,0,0,0,0,-1
1725640008.1289287,1,0,0,0,0,-1
1725640008.2289286,1,0,0,0,0,-1
1725640008.3289287,1,0,0,0,0,-1
1725640008.4289286,1,0,0,0,0,-1
1725640008.5289288,1,0,0,0,0,-1
1725640008.6289287,1,0,0,0,0,-1
1725640008.7289286,1,0,0,0,0,-1
1725640008.8289287,1,0,0,0,0,-1
1725640008.9289286,1,0,0,0,0,-1
1725640009.0289288,1,0,0,0,0,-1
1725640009.1289287,1,0,0,0,0,-1
1725640009.2289286,1,0,0,0,0,-1
1725640009.3289287,1,0,0,0,0,-1
1725640009.4289286,1,0,0,0,0,-1
1725640009.5289288,1,0,0,0,0,-1
1725640009.6289287,1,0,0,0,0,-1
1725640009.7289286,1,0,0,0,0,-1
1725640009.8289287,1,0,0,0,0,-1
1725640009.9289286,1,0,0,0,0,-1
1725640010.0289288,1,0,0,0,0,-1
1725640010.1289287,1,0,0,0,0,-1
1725640010.2289286,1,0,0,0,0,-1
1725640010.3289287,1,0,0,0,0,-1
1725640010.4289286,1,0,0,0,0,-1
1725640010.5289288,1,0,0,0,0,-1
1725640010.6289287,1,0,0,0,0,-1
1725640010.7289286,1,0,0,0,0,-1
1725640010.8289287,1,0,0,0,0,-1
1725640010.9289286,1,0,0,0,0,-1
1725640011.0289288,1,0,0,0,0,-1
1725640011.1289287,1,0,0,0,0,-1
1725640011.2289286,1,0,0,0,0,-1
1725640011.3289287,1,0,0,0,0,-1
1725640011.4289286,1,0,0,0,0,-1
1725640011.5289288,1,0,0,0,0,-1
1725640011.6289287,1,0,0,0,0,-1
1725640011.7289286,1,0,0,0,0,-1
1725640011.8289287,1,0,0,0,0,-1
1725640011.9289286,1,0,0,0,0,-1
1725640012.0289288,1,0,0,0,0,-1
1725640012.1289287,1,0,0,0,0,-1
1725640012.2289286,1,0,0,0,0,-1
1725640012.3289287,1,0,0,0,0,-1
1725640012.4289286,1,0,0,0,0,-1
1725640012.5289288,1,0,0,0,0,-1
1725640012.6289287,1,0,0,0,0,-1
1725640012.7289286,1,0,0,0,0,-1
1725640012.8289287,1,0,0,0,0,-1
1725640012.9289286,1,0,0,0,0,-1
1725640013.0289288,1,0,0,0,0,-1
1725640013.1289287,1,0,0,0,0,-1
1725640013.2289286,1,0,0,0,0,-1
1725640013.3289287,1,0,0,0,0,-1
1725640013.4289286,1,0,0,0,0,-1
1725640013.5289288,1,0,0,0,0,-1
1725640013.6289287,1,0,0,0,0,-1
1725640013.7289286,1,0,0,0,0,-1
1725640013.8289287,1,0,0,0,0,-1
1725640013.9289286,1,0,0,0,0,-1
1725640014.0289288,1,0,0,0,0,-1
1725640014.1289287,1,0,0,0,0,-1
1725640014.2289286,1,0,0,0,0,-1
1725640014.3289287,1,0,0,0,0,-1
1725640014.4289286,1,0,0,0,0,-1
1725640014.5289288,1,0,0,0,0,-1
1725640014.6289287,1,0,0,0,0,-1
1725640014.7289286,1,0,0,0,0,-1
1725640014.8289287,1,0,0,0,0,-1
1725640014.9289286,1,0,0,0,0,-1
1725640015.0289288,1,0,0,0,0,-1
1725640015.1289287,1,0,0,0,0,-1
1725640015.2289286,1,0,0,0,0,-1
1725640015.3289287,1,0,0,0,0,-1
1725640015.4289286,1,0,0,0,0,-1
1725640015.5289288,1,0,0,0,0,-1
1725640015.6289287,1,0,0,0,0,-1
1725640015.7289286,1,0,0,0,0,-1
1725640015.8289287,1,0,0,0,0,-1
1725640015.9289286,1,0,0,0,0,-1
1725640016.0289288,1,0,0,0,0,-1
1725640016.1289287,1,0,0,0,0,-1
1725640016.2289286,1,0,0,0,0,-1
1725640016.3289287,1,0,0,0,0,-1
1725640016.4289286,1,0,0,0,0,-1
1725640016.5289288,1,0,0,0,0,-1
1725640016.6289287,1,0,0,0,0,-1
1725640016.7289286,1,0,0,0,0,-1
1725640016.8289287,1,0,0,0,0,-1
1725640016.9289286,1,0,0,0,0,-1
1725640017.0289288,1,0,0,0,0,-1
1725640017.1289287,1,0,0,0,0,-1
1725640017.2289286,1,0,0,0,0,-1
1725640017.3289287,1,0,0,0,0,-1
1725640017.4289286,1,0,0,0,0,-1
1725640017.5289288,1,0,0,0,0,-1
1725640017.6289287,1,0,0,0,0,-1
1725640017.7289286,1,0,0,0,0,-1
1725640017.8289287,1,0,0,0,0,-1
1725640017.9289286,1,0,0,0,0,-1
1725640018.0289288,1,0,0,0,0,-1
1725640018.1289287,1,0,0,0,0,-1
1725640018.2289286,1,0,0,0,0,-1
1725640018.3289287,1,0,0,0,0,-1
1725640018.4289286,1,0,0,0,0,-1
1725640018.5289288,1,0,0,0,0,-1
1725640018.6289287,1,0,0,0,0,-1
1725640018.7289286,1,0,0,0,0,-1
1725640018.8289287,1,0,0,0,0,-1
1725640018.9289286,1,0,0,0,0,-1
1725640019.0289288,1,0,0,0,0,-1
1725640019.1289287,1,0,0,0,0,-1
1725640019.2289286,1,0,0,0,0,-1
1725640019.3289287,1,0,0,0,0,-1
1725640019.4289286,1,0,0,0,0,-1
1725640019.5289288,1,0,0,0,0,-1
1725640019.6289287,1,0,0,0,0,-1
1725640019.7289286,1,0,0,0,0,-1
1725640019.8289287,1,0,0,0,0,-1
1725640019.9289286,1,0,0,0,0,-1
1725640020.0289288,1,0,0,0,0,-1
1725640020.1289287,1,0,0,0,0,-1
1725640020.2289286,1,0,0,0,0,-1
1725640020.3289287,1,0,0,0,0,-1
1725640020.4289286,1,0,0,0,0,-1
1725640020.5289288,1,0,0,0,0,-1
1725640020.6289287,1,0,0,0,0,-1
1725640020.7289286,1,0,0,0,0,-1
1725640020.8289287,1,0,0,0,0,-1
1725640020.9289286,1,0,0,0,0,-1
1725640021.0289288,1,0,0,0,0,-1
1725640021.1289287,1,0,0,0,0,-1
1725640021.2289286,1,0,0,0,0,-1
1725640021.3289287,1,0,0,0,0,-1
1725640021.4289286,1,0,0,0,0,-1
1725640021.5289288,1,0,0,0,0,-1
1725640021.6289287,1,0,0,0,0,-1
1725640021.7289286,1,0,0,0,0,-1
1725640021.8289287,1,0,0,0,0,-1
1725640021.9289286,1,0,0,0,0,-1
1725640022.0289288,1,0,0,0,0,-1
1725640022.1289287,1,0,0,0,0,-1
1725640022.2289286,1,0,0,0,0,-1
1725640022.3289287,1,0,0,0,0,-1
1725640022.4289286,0,0,0,0,0,-1
1725640022.5289288,0,0,0,0,0,-1
1725640022.6289287,1,0,0,0,0,-1
