window,cohort,known_outcome,feature_frames,candidate_frames,candidate_observations,current_v3_exported_xfeat_observations,klt_bag,xfeat_metrics,early5_rescue_episodes,early5_active_frames,early5_candidate_active_frames,early5_candidate_active_observations,early5_first_candidate_frame,early5_last_candidate_frame,faithful30s_rescue_episodes,faithful30s_active_frames,faithful30s_candidate_active_frames,faithful30s_candidate_active_observations,faithful30s_first_candidate_frame,faithful30s_last_candidate_frame
a01_1800_2700,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,450,0,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a01_1800_2700_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a01_1800_2700_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
a02_0_900,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,450,307,5546,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a02_0_900_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a02_0_900_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
a03_0_900,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,450,317,6394,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a03_0_900_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a03_0_900_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
a04_5400_6300,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,450,190,2537,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a04_5400_6300_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a04_5400_6300_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
a07_6300_7200,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,450,240,3239,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a07_6300_7200_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a07_6300_7200_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
a08_2700_3600,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,450,60,716,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a08_2700_3600_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a08_2700_3600_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
a10_10800_11700,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,450,263,3175,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a10_10800_11700_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a10_10800_11700_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
afrl_bus_s180_d045,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,282,216,1423,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_bus_s180_d045_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_bus_s180_d045_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
afrl_cemetery_s135_d045,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,357,227,1815,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_cemetery_s135_d045_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_cemetery_s135_d045_xfeat_v3/frontend_metrics.csv,0,0,0,0,,,0,0,0,0,,
h02_3600_4500,confirmatory_v3_frontend,UNREAD_OR_NOT_USED,450,5,5,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_klt_every2_fsbccv3_h02_3600_4500_klt/features.bag,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_fsbccv3_h02_3600_4500_xfeat_v3/frontend_metrics.csv,1,71,5,5,10,21,0,0,0,0,,
