case_id,dataset,source_camera_count,selected_camera_count,selection,nominal_fps,input_root,base_config,learned_klt_bag,learned_klt_sha256,klt_bag,klt_sha256
a05_3300_3700,aqualoc_archaeology,401,200,source_odd_indices_1_3_...,10,/mnt/data/AQUA-FE_WS/datasets/hfnet_v6_aqualoc_old_positive_coldstart_roster_v1/a05_3300_3700,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_aqualoc_archaeology_coldstart_roster_v1.yaml,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a05_3300_3700_degraded_early_dense_visible_motion_count/features.bag,7047ec08638d043d619f8c18262d26a5171f2fe678845ab148aaf3d598d81d69,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a05_3300_3700_klt/features.bag,f9d75b9f496ca90a6ca529cfcaf1d7087076f4fcb1bfe6c4b057ff0c772bacbc
a07_10800_11200,aqualoc_archaeology,401,200,source_odd_indices_1_3_...,10,/mnt/data/AQUA-FE_WS/datasets/hfnet_v6_aqualoc_old_positive_coldstart_roster_v1/a07_10800_11200,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_aqualoc_archaeology_coldstart_roster_v1.yaml,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a07_10800_11200_degraded_mature_dense_lineage/features.bag,da79318985e46a2e01a1407b0eb0210223b13c8aaaf175da3c267bfc4e0d7292,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a07_10800_11200_klt/features.bag,6d32b0665b6dea800b896dad86c9d1c626953d6cef003cf7eabfe5172a5c0e17
a08_4500_4660,aqualoc_archaeology,161,80,source_odd_indices_1_3_...,10,/mnt/data/AQUA-FE_WS/datasets/hfnet_v6_aqualoc_old_positive_coldstart_roster_v1/a08_4500_4660,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_aqualoc_archaeology_coldstart_roster_v1.yaml,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a08_4500_4660_oldcontract_microburst/features.bag,6113359ba6bfa957b42302666b72f87b58bbc8300bb19d621522eb70604943f1,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a08_4500_4660_klt/features.bag,4a47fb1fdc826aad626617b5e286bf006e4600ca192560f7daec4796482ec5d8
a09_6000_6200,aqualoc_archaeology,201,100,source_odd_indices_1_3_...,10,/mnt/data/AQUA-FE_WS/datasets/hfnet_v6_aqualoc_old_positive_coldstart_roster_v1/a09_6000_6200,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_aqualoc_archaeology_coldstart_roster_v1.yaml,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a09_6000_6200_oldcontract_microburst/features.bag,b92e2a31102413709586f346bb5aee7c702d6c15630eee94488ecc338f33b295,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a09_6000_6200_klt/features.bag,a824a675a89eb785ed7e9b0f29fb20cd4e03c433f557281d67af9cbf662b4d4c
fjord1_s83_d10,ntnu,200,100,source_odd_indices_1_3_...,10,/mnt/data/AQUA-FE_WS/datasets/hfnet_ntnu_historical_positive_windows_v1/fjord1_s83_d10_exact_window_coldstart,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_ntnu_cam0_mono_inertial_v1.yaml,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_fjord1_s83_d10_oldcontract_microburst/features.bag,05feb40f89fa0111a66e18b4194a58e20af33aec0fb3d3ab7a08280f84398be8,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_jul14frozen3way_fjord1_s83_d10_klt/features.bag,924453b53d214560383176340f2480033fb21d584b078b1275d2f8b62f5d1f6c
mclab1_s60_d15,ntnu,300,150,source_odd_indices_1_3_...,10,/mnt/data/AQUA-FE_WS/datasets/hfnet_ntnu_historical_positive_windows_v1/mclab1_s60_d15_exact_window_coldstart,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_ntnu_cam0_mono_inertial_v1.yaml,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_mclab1_s60_d15_mature_lineage_visible_motion_count/features.bag,e2fd02249fc2a4de18462f96ad8f29c77d5c0017b9df0334a434bfd998aaa5ff,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_jul14frozen3way_mclab1_s60_d15_klt/features.bag,0f2b59a0468ef43444feb71db2dd1801d820603c4d4d16b00fdf5d1e2d196108
cirs_s575_d30,cirs,150,150,every1,5,/mnt/data/AQUA-FE_WS/datasets/hfnet_v6_cirs_exact_window_coldstart_v1/cirs_s575_d30,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_cirs_cala_viuda_exact_window_coldstart_v1.yaml,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s575_d30_cirs_mirror_densecap/features.bag,835f8e5004ac68586fb2f65a1cc8e172afc23431d8282cace4615da9182ffd3f,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_klt_every1_jul14frozen3way_cirs_s575_d30_klt/features.bag,402e3695422794a541ab64bf8b4ab3481b1ac07f58156df573abf377ada7249a
cirs_s900_d30,cirs,150,150,every1,5,/mnt/data/AQUA-FE_WS/datasets/hfnet_v6_cirs_exact_window_coldstart_v1/cirs_s900_d30,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_cirs_cala_viuda_exact_window_coldstart_v1.yaml,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s900_d30_cirs_dense_oldcontract/features.bag,e99f95367958bbaee6782818943303ec23b84586c3b8aca0f1c109d3866611bb,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_klt_every1_jul14frozen3way_cirs_s900_d30_klt/features.bag,17fb41f7eebe224bed6ff22eba06cd678ec5e8ff98145b0a703fcbd40deca802
a02_7600_8000,aqualoc_archaeology,401,200,source_odd_indices_1_3_...,10,/mnt/data/AQUA-FE_WS/datasets/hfnet_v6_aqualoc_old_positive_coldstart_roster_v1/a02_7600_8000,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_aqualoc_archaeology_coldstart_roster_v1.yaml,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a02_7600_8000_low_grid_rejected_rich_visible_motion_count/features.bag,b1a8490ad161d81b4e958d5dfc1837353e3a911920e5c8d2633f3e199b798452,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a02_7600_8000_klt/features.bag,6ff710eb7c00a7e3594885b8716c60ee720a8638d60a6c91e33b3d1bd6e2bca0
mclab2_s110_d10,ntnu,200,100,source_odd_indices_1_3_...,10,/mnt/data/AQUA-FE_WS/datasets/hfnet_ntnu_historical_positive_windows_v1/mclab2_s110_d10_exact_window_coldstart,/home/ma/AQUA-FE_WS/configs/published_baselines/hfnet_slam_ntnu_cam0_mono_inertial_v1.yaml,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_mclab2_s110_d10_late_dense_normal/features.bag,767d12577fb2163779e5ade0418ae5f3727de891d58b81bcbdad0016a4ceb6e2,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_jul14frozen3way_mclab2_s110_d10_klt/features.bag,abad28ac4cb42be80da332c928e75b973cf9ef51d9cd448226c7e0df298da5cc
