role,window,arm,repeat,yaml_sha256,camera_sha256,node_sha256,library_sha256,environment_sha256,allowed_difference,status
NEW_LOGGING_ONLY_DIAGNOSTIC,a02_0_900,klt,1,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,4a08fefc73c390377fd4e57fb034363d3c437dae26ec9d38e2a7596896740bac,VINS_INITIAL_DIAGNOSTICS=1 only,PASS
NEW_LOGGING_ONLY_DIAGNOSTIC,a02_0_900,donor_delete_only,1,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,de1cb032ea575d8c75337e981a20f0a0b5b77880e196d6c2eb3763af7a6061b5,VINS_INITIAL_DIAGNOSTICS=1 only,PASS
NEW_LOGGING_ONLY_DIAGNOSTIC,a02_0_900,klt,2,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,b18da512ef04a0cfa7069ca18948a33a16e3a99f7b8a34e81be045c36f6a0a54,VINS_INITIAL_DIAGNOSTICS=1 only,PASS
NEW_LOGGING_ONLY_DIAGNOSTIC,a02_0_900,donor_delete_only,2,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,0f5030ab8838c830344020d151237b92478cfc427f03dd9f2fb4b05964c3360d,VINS_INITIAL_DIAGNOSTICS=1 only,PASS
NEW_LOGGING_ONLY_DIAGNOSTIC,a02_0_900,klt,3,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,3cd17ac75312c2459b3c3abd2d6eb921ffd93d093dbd6d0e3b721ad93306cf2e,VINS_INITIAL_DIAGNOSTICS=1 only,PASS
NEW_LOGGING_ONLY_DIAGNOSTIC,a02_0_900,donor_delete_only,3,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,292dd27212d9855c65e3f11e78f9ff3f5a2e865b1f7530a636946164bc76971d,VINS_INITIAL_DIAGNOSTICS=1 only,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,a02_0_900,klt,1,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,67e3f2080135ff06226d26f81a539f843a796eab9325fd3a18192ec62af59d81,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,a02_0_900,klt,2,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,b1168cde4b39a778d7446781fda5cb81d24d441e79f14d0d2b48cc3c979ba5e5,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,a02_0_900,klt,3,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,aea1e93837ba455613c90affce464e91e18f7bd155701b27c2fbb4d39d450069,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,a08_2700_3600,klt,1,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,99ba48a468c60611dc1b726a5e7752cfbb62b34e0d65f6585afad8ed2329230c,None; exact KLT bag mapped to existing execution contract,PASS
