arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
trace_klt_r1,42,41,0.16191971182451642,0.12393778939235757,0.023852845096898962,0.015052534795980645,0.8824135927089367,0.05915143826640915,0.042461650386760044,0.017119141495868677,0.006429231261841456
trace_donor_delete_only_r1,42,41,1.0826456511530567,0.8577470330222403,0.10261863734370529,0.08839356675690571,0.5113094760010181,0.04509990952246636,0.035774146330313214,0.0194125348904505,0.007807200651716368
trace_klt_r2,42,41,0.10258508138204693,0.07120749728977141,0.020488867332921587,0.009953627224342938,0.9339095333667803,0.06418174209066324,0.047941953372358716,0.01776108020666568,0.007220547601783767
trace_donor_delete_only_r2,42,41,1.11514235083438,0.8581097349354764,0.10573267897536344,0.09070300808342213,0.5039067784898076,0.05023790895774322,0.040305392006227056,0.020538624129543184,0.008289262498612171
trace_klt_r3,42,41,0.1401744609475107,0.10076922976603941,0.022646427064120768,0.013937983114191463,0.8995793841787284,0.06089189178546334,0.0442608398138671,0.01742655502688556,0.006695579217423299
trace_donor_delete_only_r3,42,41,1.104454204763925,0.8621911217693672,0.10453502159232723,0.08975355495744328,0.5063174190971143,0.04668448717314336,0.03646550028225849,0.02005462335969856,0.008268715361915655
old_klt_r1,42,41,0.1421936169303306,0.1017965871426963,0.022696850881355115,0.0139223824207035,0.8978957777649939,0.06063582608904235,0.04405801420588196,0.0173288345382067,0.0066614425800115605
old_klt_r2,42,41,0.14105240870678118,0.10119851874215058,0.022691012529205763,0.014012759737436256,0.8988558486180727,0.06081131355074098,0.044151375435018,0.017410635349040866,0.006672300049052318
old_klt_r3,42,41,0.14131658509253395,0.10134244665012843,0.022702110726377272,0.013913650269764748,0.8986341516692359,0.06077367332004901,0.044136868695069206,0.017402114901302543,0.006665398720451468
old_donor_delete_r1,42,41,1.0715330956379645,0.8529945967019241,0.10186112490388058,0.08763137849670305,0.5138919102680992,0.045317593605092334,0.03526798769546856,0.019437811638608683,0.007986270361995706
old_donor_delete_r2,42,41,1.0933527002043442,0.8418556715489096,0.10417647956435498,0.08930569201101886,0.5088485608024563,0.04895451864546228,0.03912270076437059,0.020777280045333097,0.008825376609954846
old_donor_delete_r3,42,41,1.073157554512406,0.8538086496678098,0.10200847387150001,0.08771118990385285,0.5135129286977522,0.045443729136755595,0.035343979966113104,0.019451372490306137,0.008011821073358762
