arm,repeat,attempt,linear_scale,gravity_norm,gravity_deviation,linear_condition,linear_log_line,linear_ros_clock_s,refined_scale,outcome,decision_log_line,refined_gravity_norm,refined_log_line
klt,1,1,-0.00503,9.784132,0.02586800000000089,negative_linear_scale,26,1542828793.551419289,Unknown,REJECT,53,,
klt,1,2,-0.006048,9.785044,0.02495600000000131,negative_linear_scale,28,1542828793.652031650,Unknown,REJECT,55,,
klt,1,3,-0.081362,9.776859,0.03314100000000053,negative_linear_scale,30,1542828793.903600150,Unknown,REJECT,57,,
klt,1,4,-0.009494,9.7855,0.024499999999999744,negative_linear_scale,32,1542828794.124942692,Unknown,REJECT,59,,
klt,1,5,-0.042618,9.785333,0.024667000000000883,negative_linear_scale,34,1542828794.346297485,Unknown,REJECT,61,,
klt,1,6,-0.024078,9.789227,0.020773000000000152,negative_linear_scale,36,1542828794.436848801,Unknown,REJECT,63,,
klt,1,7,-0.020039,9.79094,0.019059999999999633,negative_linear_scale,38,1542828794.718897904,Unknown,REJECT,66,,
klt,1,8,0.016609,9.793685,0.016315000000000524,linear_gate_pass,40,1542828794.789342280,0.033247,ACCEPT,68,9.81,41
donor_delete_only,1,1,-0.00503,9.784133,0.025866999999999862,negative_linear_scale,26,1542828793.561065045,Unknown,REJECT,45,,
donor_delete_only,1,2,-0.006046,9.785045,0.024955000000000283,negative_linear_scale,28,1542828793.641564833,Unknown,REJECT,47,,
donor_delete_only,1,3,-0.083921,9.776118,0.03388200000000019,negative_linear_scale,30,1542828793.903133140,Unknown,REJECT,49,,
donor_delete_only,1,4,0.008543,9.78882,0.021180000000001087,linear_gate_pass,32,1542828793.973556835,0.03429,ACCEPT,51,9.81,33
klt,2,1,-0.00503,9.784132,0.02586800000000089,negative_linear_scale,26,1542828793.561038771,Unknown,REJECT,53,,
klt,2,2,-0.006048,9.785044,0.02495600000000131,negative_linear_scale,28,1542828793.651614698,Unknown,REJECT,55,,
klt,2,3,-0.081362,9.776858,0.03314199999999978,negative_linear_scale,30,1542828793.913210179,Unknown,REJECT,57,,
klt,2,4,-0.009498,9.7855,0.024499999999999744,negative_linear_scale,32,1542828794.124452449,Unknown,REJECT,59,,
klt,2,5,-0.042618,9.785333,0.024667000000000883,negative_linear_scale,34,1542828794.345810231,Unknown,REJECT,61,,
klt,2,6,-0.024078,9.789227,0.020773000000000152,negative_linear_scale,36,1542828794.436369698,Unknown,REJECT,63,,
klt,2,7,-0.020039,9.79094,0.019059999999999633,negative_linear_scale,38,1542828794.718072267,Unknown,REJECT,66,,
klt,2,8,0.016609,9.793685,0.016315000000000524,linear_gate_pass,40,1542828794.768363965,0.033247,ACCEPT,68,9.81,41
donor_delete_only,2,1,-0.00503,9.784133,0.025866999999999862,negative_linear_scale,26,1542828793.550726418,Unknown,REJECT,45,,
donor_delete_only,2,2,-0.006046,9.785045,0.024955000000000283,negative_linear_scale,28,1542828793.651308178,Unknown,REJECT,47,,
donor_delete_only,2,3,-0.083921,9.776118,0.03388200000000019,negative_linear_scale,30,1542828793.902741431,Unknown,REJECT,49,,
donor_delete_only,2,4,0.008543,9.78882,0.021180000000001087,linear_gate_pass,32,1542828793.963119528,0.03429,ACCEPT,51,9.81,33
klt,3,1,-0.00503,9.784132,0.02586800000000089,negative_linear_scale,26,1542828793.560861397,Unknown,REJECT,53,,
klt,3,2,-0.006048,9.785044,0.02495600000000131,negative_linear_scale,28,1542828793.651435239,Unknown,REJECT,55,,
klt,3,3,-0.081362,9.776858,0.03314199999999978,negative_linear_scale,30,1542828793.913083157,Unknown,REJECT,57,,
klt,3,4,-0.009495,9.7855,0.024499999999999744,negative_linear_scale,32,1542828794.124356160,Unknown,REJECT,59,,
klt,3,5,-0.042618,9.785333,0.024667000000000883,negative_linear_scale,34,1542828794.345700449,Unknown,REJECT,61,,
klt,3,6,-0.024078,9.789227,0.020773000000000152,negative_linear_scale,36,1542828794.436264800,Unknown,REJECT,63,,
klt,3,7,-0.020039,9.79094,0.019059999999999633,negative_linear_scale,38,1542828794.707919253,Unknown,REJECT,66,,
klt,3,8,0.016609,9.793685,0.016315000000000524,linear_gate_pass,40,1542828794.768264913,0.033247,ACCEPT,68,9.81,41
donor_delete_only,3,1,-0.00503,9.784133,0.025866999999999862,negative_linear_scale,26,1542828793.551133572,Unknown,REJECT,45,,
donor_delete_only,3,2,-0.006046,9.785045,0.024955000000000283,negative_linear_scale,28,1542828793.651695390,Unknown,REJECT,47,,
donor_delete_only,3,3,-0.08392,9.776118,0.03388200000000019,negative_linear_scale,30,1542828793.903163704,Unknown,REJECT,49,,
donor_delete_only,3,4,0.008543,9.78882,0.021180000000001087,linear_gate_pass,32,1542828793.973565105,0.03429,ACCEPT,51,9.81,33
