anchor,other,same_frozen_binary,exact_pose_timestamps,received_records_equal,poses,max_direct_position_delta_m,max_direct_orientation_delta_rad,first_position_difference_pose_1based,first_old_AA_tolerance_exceedance_pose_1based,first_iteration_count_difference_pose_1based,first_topology_difference_pose_1based,first_solver_budget_difference_pose_1based,old_AA_tolerance_pass,first_iteration_header_ns,anchor_entries,other_entries,anchor_duration_s,other_duration_s,anchor_budget_s,other_budget_s,anchor_termination,other_termination,prefix_topology_equal,anchor_trace_line,other_trace_line
additive_r1,additive_r2,True,True,True,440,0.35695234709972123,0.0069689576484248394,3,3,3,40,,False,1542885097373145344,9,8,0.036204997,0.03237033,0.032,0.032,1,1,True,6725,6725
additive_r1,additive_r3,True,True,True,440,0.3367725745959726,0.0065831889700178475,3,3,3,40,,False,1542885097373145344,9,8,0.036204997,0.03258348,0.032,0.032,1,1,True,6725,6725
additive_r1,utility_frozen_r1,True,True,True,440,283237.349446095,3.138536836875651,7,7,7,201,206,False,1542885097772759040,7,6,0.046989671,0.041455725,0.04,0.04,1,1,True,11043,11043
additive_r1,quality_r1,True,True,True,440,1.874848281355054,0.06512359398419497,1,1,1,39,,False,1542885097172932864,9,5,0.034502138,0.040124518,0.04,0.04,1,1,True,4575,4575
additive_r1,quality_r2,True,True,True,440,0.010070878809716877,0.009623275769694082,5,5,5,,,False,1542885097574035200,6,5,0.04456226,0.043266959,0.04,0.04,1,1,True,8875,8875
additive_r1,quality_r3,True,True,True,440,0.0034375718174319164,0.012110417243535388,21,21,9,,,False,1542885097974655744,8,9,0.032099367,0.029552755,0.032,0.032,1,1,True,13229,13229
additive_r2,additive_r3,True,True,True,440,0.0201869586614724,0.008066635731071298,6,6,6,,,False,1542885097673784576,5,3,0.037763901,0.032818991,0.032,0.032,1,1,True,9950,9950
additive_r2,utility_frozen_r1,True,True,True,440,283237.1618855563,3.1371549890689603,3,3,3,40,206,False,1542885097373145344,8,9,0.03237033,0.038264364,0.032,0.032,1,1,True,6725,6725
additive_r2,quality_r1,True,True,True,440,1.5181875899901172,0.06029541672528217,1,1,1,39,,False,1542885097172932864,9,5,0.035668086,0.040124518,0.04,0.04,1,1,True,4575,4575
additive_r2,quality_r2,True,True,True,440,0.3670172967313666,0.015927337799178026,3,3,3,40,,False,1542885097373145344,8,9,0.03237033,0.036440718,0.032,0.032,1,1,True,6725,6725
additive_r2,quality_r3,True,True,True,440,0.3603866592980379,0.018416888758735973,3,3,3,40,,False,1542885097373145344,8,9,0.03237033,0.036222228,0.032,0.032,1,1,True,6725,6725
additive_r3,utility_frozen_r1,True,True,True,440,283237.17293148756,3.1371911632298453,3,3,3,40,206,False,1542885097373145344,8,9,0.03258348,0.038264364,0.032,0.032,1,1,True,6725,6725
additive_r3,quality_r1,True,True,True,440,1.5383253218029014,0.06338002876130677,1,1,1,39,,False,1542885097172932864,9,5,0.03412647,0.040124518,0.04,0.04,1,1,True,4575,4575
additive_r3,quality_r2,True,True,True,440,0.34683699571989157,0.011082561146274494,3,3,3,40,,False,1542885097373145344,8,9,0.03258348,0.036440718,0.032,0.032,1,1,True,6725,6725
additive_r3,quality_r3,True,True,True,440,0.3402067208330843,0.013599559526777757,3,3,3,40,,False,1542885097373145344,8,9,0.03258348,0.036222228,0.032,0.032,1,1,True,6725,6725
utility_frozen_r1,quality_r1,True,True,True,440,283236.41909645323,3.137337603468655,1,1,1,39,206,False,1542885097172932864,9,5,0.040123616,0.040124518,0.04,0.04,1,1,True,4575,4575
utility_frozen_r1,quality_r2,True,True,True,440,283237.35503263935,3.1386215541323486,5,5,5,201,206,False,1542885097574035200,6,5,0.043737636,0.043266959,0.04,0.04,1,1,True,8875,8875
utility_frozen_r1,quality_r3,True,True,True,440,283237.3513508338,3.1386000084805405,7,7,7,201,206,False,1542885097772759040,6,7,0.041455725,0.045825217,0.04,0.04,1,1,True,11043,11043
quality_r1,quality_r2,True,True,True,440,1.8848945343705574,0.06720716187859249,1,1,1,39,,False,1542885097172932864,5,9,0.040124518,0.033955098,0.04,0.04,1,1,True,4575,4575
quality_r1,quality_r3,True,True,True,440,1.8782775322619396,0.06778682406519732,1,1,1,39,,False,1542885097172932864,5,9,0.040124518,0.034346665,0.04,0.04,1,1,True,4575,4575
quality_r2,quality_r3,True,True,True,440,0.006635367359837632,0.0025198402575074175,5,5,5,,,False,1542885097574035200,5,6,0.043266959,0.042787067,0.04,0.04,1,1,True,8875,8875
