run_slug,arm,public_id,source_id,first_frame,last_frame,public_observations,termination
a09_6000_6800,L6,10000000,99,4,4,1,source_missing_or_invalid
a09_6000_6800,L6,10000001,125,4,4,1,source_missing_or_invalid
a09_6000_6800,L6,10000002,212,5,9,5,source_missing_or_invalid
a09_6000_6800,L6,10000003,287,6,8,3,source_missing_or_invalid
a09_6000_6800,L6,10000004,344,7,17,11,source_missing_or_invalid
a09_6000_6800,L6,10000005,345,7,7,1,source_missing_or_invalid
a09_6000_6800,L6,10000006,356,7,10,4,source_missing_or_invalid
a09_6000_6800,L6,10000007,414,8,9,2,source_missing_or_invalid
a09_6000_6800,L6,10000008,260,9,9,1,source_missing_or_invalid
a09_6000_6800,L6,10000009,454,9,10,2,source_missing_or_invalid
a09_6000_6800,L6,10000010,298,10,10,1,source_missing_or_invalid
a09_6000_6800,L6,10000011,207,11,14,4,source_missing_or_invalid
a09_6000_6800,L6,10000012,357,11,15,5,source_missing_or_invalid
a09_6000_6800,L6,10000013,550,11,11,1,source_missing_or_invalid
a09_6000_6800,L6,10000014,552,11,11,1,source_missing_or_invalid
a09_6000_6800,L6,10000015,485,14,16,3,source_missing_or_invalid
a09_6000_6800,L6,10000016,684,15,15,1,source_missing_or_invalid
a09_6000_6800,L6,10000017,819,15,15,1,source_missing_or_invalid
a09_6000_6800,L6,10000018,375,17,19,3,source_missing_or_invalid
a09_6000_6800,L6,10000019,485,18,18,1,source_missing_or_invalid
a09_6000_6800,L6,10000020,819,18,20,3,source_missing_or_invalid
a09_6000_6800,L6,10000021,962,18,18,1,source_missing_or_invalid
a09_6000_6800,L6,10000022,77,21,21,1,source_missing_or_invalid
a09_6000_6800,L6,10000023,112,21,25,5,source_missing_or_invalid
a09_6000_6800,L6,10000024,77,23,26,4,source_missing_or_invalid
a09_6000_6800,L6,10000025,1208,23,24,2,source_missing_or_invalid
a09_6000_6800,L6,10000026,1291,23,23,1,source_missing_or_invalid
a09_6000_6800,L6,10000027,1296,23,23,1,source_missing_or_invalid
a09_6000_6800,L6,10000028,1389,25,27,3,source_missing_or_invalid
a09_6000_6800,L6,10000029,1429,25,37,13,source_missing_or_invalid
a09_6000_6800,L6,10000030,1269,27,27,1,source_missing_or_invalid
a09_6000_6800,L6,10000031,1502,27,27,1,source_missing_or_invalid
a09_6000_6800,L6,10000032,1558,27,51,25,source_missing_or_invalid
a09_6000_6800,L6,10000033,494,30,30,1,source_missing_or_invalid
a09_6000_6800,L6,10000034,1769,31,31,1,source_missing_or_invalid
a09_6000_6800,L6,10000035,1747,32,32,1,source_missing_or_invalid
a09_6000_6800,L6,10000036,820,33,40,8,source_missing_or_invalid
a09_6000_6800,L6,10000037,1327,33,38,6,source_missing_or_invalid
a09_6000_6800,L6,10000038,1866,33,33,1,source_missing_or_invalid
a09_6000_6800,L6,10000039,2071,36,36,1,source_missing_or_invalid
a09_6000_6800,L6,10000040,2084,36,38,3,source_missing_or_invalid
a09_6000_6800,L6,10000041,2066,37,37,1,source_missing_or_invalid
a09_6000_6800,L6,10000042,1269,38,40,3,source_missing_or_invalid
a09_6000_6800,L6,10000043,1851,40,40,1,source_missing_or_invalid
a09_6000_6800,L6,10000044,2325,40,40,1,source_missing_or_invalid
a09_6000_6800,L6,10000045,2362,41,43,3,source_missing_or_invalid
a09_6000_6800,L6,10000046,2383,41,49,9,source_missing_or_invalid
a09_6000_6800,L6,10000047,2396,41,46,6,source_missing_or_invalid
a09_6000_6800,L6,10000048,2454,42,90,49,source_missing_or_invalid
a09_6000_6800,L6,10000049,2458,42,46,5,source_missing_or_invalid
a09_6000_6800,L6,10000050,741,44,44,1,source_missing_or_invalid
a09_6000_6800,L6,10000051,2638,45,46,2,source_missing_or_invalid
a09_6000_6800,L6,10000052,2325,47,48,2,source_missing_or_invalid
a09_6000_6800,L6,10000053,2710,47,48,2,source_missing_or_invalid
a09_6000_6800,L6,10000054,2817,48,50,3,source_missing_or_invalid
a09_6000_6800,L6,10000055,17,49,49,1,source_missing_or_invalid
a09_6000_6800,L6,10000056,2518,51,51,1,source_missing_or_invalid
a09_6000_6800,L6,10000057,3056,52,52,1,source_missing_or_invalid
a09_6000_6800,L6,10000058,2962,53,56,4,source_missing_or_invalid
a09_6000_6800,L6,10000059,2858,54,58,5,source_missing_or_invalid
a09_6000_6800,L6,10000060,3272,56,58,3,source_missing_or_invalid
a09_6000_6800,L6,10000061,3280,56,58,3,source_missing_or_invalid
a09_6000_6800,L6,10000062,3361,58,62,5,source_missing_or_invalid
a09_6000_6800,L6,10000063,3421,59,61,3,source_missing_or_invalid
a09_6000_6800,L6,10000064,3430,59,131,73,source_missing_or_invalid
a09_6000_6800,L6,10000065,3451,59,60,2,source_missing_or_invalid
a09_6000_6800,L6,10000066,3322,60,60,1,source_missing_or_invalid
a09_6000_6800,L6,10000067,3337,61,64,4,source_missing_or_invalid
a09_6000_6800,L6,10000068,3567,61,61,1,source_missing_or_invalid
a09_6000_6800,L6,10000069,2518,62,62,1,source_missing_or_invalid
a09_6000_6800,L6,10000070,2962,62,62,1,source_missing_or_invalid
a09_6000_6800,L6,10000071,3585,63,70,8,source_missing_or_invalid
a09_6000_6800,L6,10000072,3684,64,65,2,source_missing_or_invalid
a09_6000_6800,L6,10000073,3164,65,67,3,source_missing_or_invalid
a09_6000_6800,L6,10000074,3635,65,65,1,source_missing_or_invalid
a09_6000_6800,L6,10000075,3798,66,76,11,source_missing_or_invalid
a09_6000_6800,L6,10000076,3900,67,69,3,source_missing_or_invalid
a09_6000_6800,L6,10000077,3650,68,74,7,source_missing_or_invalid
a09_6000_6800,L6,10000078,4089,70,73,4,source_missing_or_invalid
a09_6000_6800,L6,10000079,3546,71,71,1,source_missing_or_invalid
a09_6000_6800,L6,10000080,4093,72,104,33,source_missing_or_invalid
a09_6000_6800,L6,10000081,2962,74,75,2,source_missing_or_invalid
a09_6000_6800,L6,10000082,4148,75,78,4,source_missing_or_invalid
a09_6000_6800,L6,10000083,4206,76,76,1,source_missing_or_invalid
a09_6000_6800,L6,10000084,2962,77,77,1,source_missing_or_invalid
a09_6000_6800,L6,10000085,3633,77,77,1,source_missing_or_invalid
a09_6000_6800,L6,10000086,4263,78,95,18,source_missing_or_invalid
a09_6000_6800,L6,10000087,4273,78,87,10,source_missing_or_invalid
a09_6000_6800,L6,10000088,2962,79,79,1,source_missing_or_invalid
a09_6000_6800,L6,10000089,4366,80,86,7,source_missing_or_invalid
a09_6000_6800,L6,10000090,4373,87,89,3,source_missing_or_invalid
