timestamp,reference_valid,L-all_r1_valid,L-all_r2_valid,L-all_r3_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,common_valid,segment_id
1542828791.736012,1,0,0,0,0,0,0,0,-1
1542828792.736012,1,0,0,0,0,0,0,0,-1
1542828793.736012,1,0,0,0,0,0,0,0,-1
1542828794.736012,1,0,0,0,1,1,1,0,-1
1542828795.736012,1,1,1,0,1,1,1,0,-1
1542828796.736012,1,1,1,0,1,1,1,0,-1
1542828797.736012,1,1,1,1,1,1,1,1,0
1542828798.736012,1,1,1,1,1,1,1,1,0
1542828799.736012,1,1,1,1,1,1,1,1,0
1542828800.736012,1,1,1,1,1,1,1,1,0
1542828801.736012,1,1,1,1,1,1,1,1,0
1542828802.736012,1,1,1,1,1,1,1,1,0
1542828803.736012,1,1,1,1,1,1,1,1,0
1542828804.736012,1,1,1,1,1,1,1,1,0
1542828805.736012,1,1,1,1,1,1,1,1,0
1542828806.736012,1,1,1,1,1,1,1,1,0
1542828807.736012,1,1,1,1,1,1,1,1,0
1542828808.736012,1,1,1,1,1,1,1,1,0
1542828809.736012,1,1,1,1,1,1,1,1,0
1542828810.736012,1,1,1,1,1,1,1,1,0
1542828811.736012,1,1,1,1,1,1,1,1,0
1542828812.736012,1,1,1,1,1,1,1,1,0
1542828813.736012,1,1,1,1,1,1,1,1,0
1542828814.736012,1,1,1,1,1,1,1,1,0
1542828815.736012,1,1,1,1,1,1,1,1,0
1542828816.736012,1,1,1,1,1,1,1,1,0
1542828817.736012,1,1,1,1,1,1,1,1,0
1542828818.736012,1,1,1,1,1,1,1,1,0
1542828819.736012,1,1,1,1,1,1,1,1,0
1542828820.736012,1,1,1,1,1,1,1,1,0
1542828821.736012,1,1,1,1,1,1,1,1,0
1542828822.736012,1,1,1,1,1,1,1,1,0
1542828823.736012,1,1,1,1,1,1,1,1,0
1542828824.736012,1,1,1,1,1,1,1,1,0
1542828825.736012,1,1,1,1,1,1,1,1,0
1542828826.736012,1,1,1,1,1,1,1,1,0
1542828827.736012,1,1,1,1,1,1,1,1,0
1542828828.736012,1,1,1,1,1,1,1,1,0
1542828829.736012,1,1,1,1,1,1,1,1,0
1542828830.736012,1,1,1,1,1,1,1,1,0
1542828831.736012,1,1,1,1,1,1,1,1,0
1542828832.736012,1,1,1,1,1,1,1,1,0
1542828833.736012,1,1,1,1,1,1,1,1,0
1542828834.736012,1,1,1,1,1,1,1,1,0
1542828835.736012,1,1,1,1,1,1,1,1,0
