timestamp,reference_valid,L6_r1_valid,L6_r2_valid,L6_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1542885096.1230855,1,0,0,0,0,0,0,0,-1
1542885097.1230855,1,0,0,0,0,0,0,0,-1
1542885098.1230855,1,1,1,1,1,1,1,1,0
1542885099.1230855,1,1,1,1,1,1,1,1,0
1542885100.1230855,1,1,1,1,1,1,1,1,0
1542885101.1230855,1,1,1,1,1,1,1,1,0
1542885102.1230855,1,1,1,1,1,1,1,1,0
1542885103.1230855,1,1,1,1,1,1,1,1,0
1542885104.1230855,1,1,1,1,1,1,1,1,0
1542885105.1230855,1,1,1,1,1,1,1,1,0
1542885106.1230855,1,1,1,1,1,1,1,1,0
1542885107.1230855,1,1,1,1,1,1,1,1,0
1542885108.1230855,1,1,1,1,1,1,1,1,0
1542885109.1230855,1,1,1,1,1,1,1,1,0
1542885110.1230855,1,1,1,1,1,1,1,1,0
1542885111.1230855,1,1,1,1,1,1,1,1,0
1542885112.1230855,1,1,1,1,1,1,1,1,0
1542885113.1230855,1,1,1,1,1,1,1,1,0
1542885114.1230855,1,1,1,1,1,1,1,1,0
1542885115.1230855,1,1,1,1,1,1,1,1,0
1542885116.1230855,1,1,1,1,1,1,1,1,0
1542885117.1230855,1,1,1,1,1,1,1,1,0
1542885118.1230855,1,1,1,1,1,1,1,1,0
1542885119.1230855,1,1,1,1,1,1,1,1,0
1542885120.1230855,1,1,1,1,1,1,1,1,0
1542885121.1230855,1,1,1,1,1,1,1,1,0
1542885122.1230855,1,1,1,1,1,1,1,1,0
1542885123.1230855,1,1,1,1,1,1,1,1,0
1542885124.1230855,1,1,1,1,1,1,1,1,0
1542885125.1230855,1,1,1,1,1,1,1,1,0
1542885126.1230855,1,1,1,1,1,1,1,1,0
1542885127.1230855,1,1,1,1,1,1,1,1,0
1542885128.1230855,1,1,1,1,1,1,1,1,0
1542885129.1230855,1,1,1,1,1,1,1,1,0
1542885130.1230855,1,1,1,1,1,1,1,1,0
1542885131.1230855,1,1,1,1,1,1,1,1,0
1542885132.1230855,1,1,1,1,1,1,1,1,0
1542885133.1230855,1,1,1,1,1,1,1,1,0
1542885134.1230855,1,1,1,1,1,1,1,1,0
1542885135.1230855,1,1,1,1,1,1,1,1,0
1542885136.1230855,1,1,1,1,1,1,1,1,0
1542885137.1230855,1,1,1,1,1,1,1,1,0
1542885138.1230855,1,1,1,1,1,1,1,1,0
1542885139.1230855,1,1,1,1,1,1,1,1,0
1542885140.1230855,1,1,1,1,1,1,1,1,0
