timestamp,reference_valid,L-all_r1_valid,L-all_r2_valid,L-all_r3_valid,L6_r1_valid,L6_r2_valid,L6_r3_valid,common_valid,segment_id
1542889046.0216258,1,0,0,0,0,0,0,0,-1
1542889047.0216258,1,0,0,0,0,0,0,0,-1
1542889048.0216258,1,1,1,1,1,1,1,1,0
1542889049.0216258,1,1,1,1,1,1,1,1,0
1542889050.0216258,1,1,1,1,1,1,1,1,0
1542889051.0216258,1,1,1,1,1,1,1,1,0
1542889052.0216258,1,1,1,1,1,1,1,1,0
1542889053.0216258,1,1,1,1,1,1,1,1,0
1542889054.0216258,1,1,1,1,1,1,1,1,0
1542889055.0216258,1,1,1,1,1,1,1,1,0
1542889056.0216258,1,1,1,1,1,1,1,1,0
1542889057.0216258,1,1,1,1,1,1,1,1,0
1542889058.0216258,1,1,1,1,1,1,1,1,0
1542889059.0216258,1,1,1,1,1,1,1,1,0
1542889060.0216258,1,1,1,1,1,1,1,1,0
1542889061.0216258,1,1,1,1,1,1,1,1,0
1542889062.0216258,1,1,1,1,1,1,1,1,0
1542889063.0216258,1,1,1,1,1,1,1,1,0
1542889064.0216258,1,1,1,1,1,1,1,1,0
1542889065.0216258,1,1,1,1,1,1,1,1,0
1542889066.0216258,1,1,1,1,1,1,1,1,0
1542889067.0216258,1,1,1,1,1,1,1,1,0
1542889068.0216258,1,1,1,1,1,1,1,1,0
1542889069.0216258,1,1,1,1,1,1,1,1,0
1542889070.0216258,1,1,1,1,1,1,1,1,0
1542889071.0216258,1,1,1,1,1,1,1,1,0
1542889072.0216258,1,1,1,1,1,1,1,1,0
1542889073.0216258,1,1,1,1,1,1,1,1,0
1542889074.0216258,1,1,1,1,1,1,1,1,0
1542889075.0216258,1,1,1,1,1,1,1,1,0
1542889076.0216258,1,1,1,1,1,1,1,1,0
1542889077.0216258,1,1,1,1,1,1,1,1,0
1542889078.0216258,1,1,1,1,1,1,1,1,0
1542889079.0216258,1,1,1,1,1,1,1,1,0
1542889080.0216258,1,1,1,1,1,1,1,1,0
1542889081.0216258,1,1,1,1,1,1,1,1,0
1542889082.0216258,1,1,1,1,1,1,1,1,0
1542889083.0216258,1,1,1,1,1,1,1,1,0
1542889084.0216258,1,1,1,1,1,1,1,1,0
1542889085.0216258,1,1,1,1,1,1,1,1,0
