arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
B_r1,38,37,1242.147426313078,1003.8781753052438,150.84755538971422,92.26793748819955,0.0014739861067614424,1.2705494155516415,1.1429470561986252,0.22450207144908887,0.2336600560107067
B_r2,38,37,1242.1399973605378,1003.8707919859035,150.84681617883027,92.26743506038932,0.0014739943018815464,1.2705505077192074,1.142949411355312,0.22450232899665856,0.2336604221235514
B_r3,38,37,1234.1027439177365,996.2344252700293,150.05518470541546,91.31144493408875,0.0014824361316474004,1.2725907525144904,1.1464077585288392,0.22481591376676313,0.23394854772913484
L6_r1,38,37,1441.4213866593284,1168.8718809356992,175.12333515592184,109.059631617783,0.001275487498344766,1.2600186132900524,1.1273026998807736,0.22366967028833254,0.23189636591245233
L6_r2,38,37,1288.3504809847975,1041.670007848371,156.20932085851726,95.21594451420066,0.0014231719527899739,1.2668661586703394,1.1379841718774162,0.22422997826533989,0.23345158869569324
L6_r3,38,37,1415.0675462698573,1148.729976507595,171.48472852894443,109.05350927773586,0.0013001097767586839,1.2581536153097397,1.1235423870834684,0.22332313307187748,0.23184094451466877
L-all_r1,38,37,1466.4755700960375,1190.7348898410633,177.52832724431212,111.83699450235702,0.0012564258745162134,1.2541946758378237,1.1173911417763498,0.22283497142129208,0.23081882120536681
L-all_r2,38,37,1415.936864890773,1149.4634760819326,171.57487475091418,109.27161536387906,0.001299329592973395,1.258118308276962,1.123381005047472,0.22330937175181165,0.2318697994164487
L-all_r3,38,37,1451.2015676814265,1178.9350851258473,175.7677993593355,110.95008166610914,0.001269165500885291,1.255194711850959,1.1183277521891637,0.2229516461760582,0.23141272820681544
C-all_r1,38,37,1387.1655289611774,1150.4303371426045,193.36713661072127,103.15011872014733,0.0013306253728129346,1.2491475576876683,1.0977721309908668,0.2657624674201649,0.2370082074268234
C-all_r2,38,37,1233.1791812043975,995.6268307638363,149.92141733342953,91.14969216175918,0.0014837220553635098,1.2722749144036476,1.1459055862821745,0.22477880684319054,0.23389958811316008
C-all_r3,38,37,1242.3638323714583,1004.2087275245992,150.84678068066626,92.10090202867129,0.0014739027922869487,1.2702381578013984,1.142365804794854,0.22444984397374843,0.23358423878668694
