timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1494876659.7957101,1,0,0,0,0,0,0,0,-1
1494876660.7957101,1,0,0,0,0,0,0,0,-1
1494876661.7957101,1,0,0,0,0,0,0,0,-1
1494876662.7957101,1,1,1,1,1,1,1,1,0
1494876663.7957101,1,1,1,1,1,1,1,1,0
1494876664.7957101,1,1,1,1,1,1,1,1,0
1494876665.7957101,1,1,1,1,1,1,1,1,0
1494876666.7957101,1,1,1,1,1,1,1,1,0
1494876667.7957101,1,1,1,1,1,1,1,1,0
1494876668.7957101,1,1,1,1,1,1,1,1,0
1494876669.7957101,1,1,1,1,1,1,1,1,0
1494876670.7957101,1,1,1,1,1,1,1,1,0
1494876671.7957101,1,1,1,1,1,1,1,1,0
1494876672.7957101,1,1,1,1,1,1,1,1,0
1494876673.7957101,1,1,1,1,1,1,1,1,0
1494876674.7957101,1,1,1,1,1,1,1,1,0
1494876675.7957101,1,1,1,1,1,1,1,1,0
1494876676.7957101,1,1,1,1,1,1,1,1,0
1494876677.7957101,1,1,1,1,1,1,1,1,0
1494876678.7957101,1,1,1,1,1,1,1,1,0
1494876679.7957101,1,1,1,1,1,1,1,1,0
1494876680.7957101,1,1,1,1,1,1,1,1,0
1494876681.7957101,1,1,1,1,1,1,1,1,0
1494876682.7957101,1,1,1,1,1,1,1,1,0
1494876683.7957101,1,1,1,1,1,1,1,1,0
1494876684.7957101,1,1,1,1,1,1,1,1,0
1494876685.7957101,1,1,1,1,1,1,1,1,0
1494876686.7957101,1,1,1,1,1,1,1,1,0
1494876687.7957101,1,1,1,1,1,1,1,1,0
1494876688.7957101,1,1,1,1,1,1,1,1,0
1494876689.7957101,1,1,1,1,1,1,1,1,0
1494876690.7957101,1,1,1,1,1,1,1,1,0
1494876691.7957101,1,1,1,1,1,1,1,1,0
1494876692.7957101,1,1,1,1,1,1,1,1,0
1494876693.7957101,1,1,1,1,1,1,1,1,0
1494876694.7957101,1,1,1,1,1,1,1,1,0
1494876695.7957101,1,1,1,1,1,1,1,1,0
1494876696.7957101,1,1,1,1,1,1,1,1,0
1494876697.7957101,1,1,1,1,1,1,1,1,0
1494876698.7957101,1,1,1,1,1,1,1,1,0
1494876699.7957101,1,1,1,1,1,1,1,1,0
1494876700.7957101,1,1,1,1,1,1,1,1,0
1494876701.7957101,1,1,1,1,1,1,1,1,0
1494876702.7957101,1,1,1,1,1,1,1,1,0
1494876703.7957101,1,1,1,1,1,1,1,1,0
