arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
B_r1,40,39,0.059698174015834875,0.0381414432861305,0.02494601595068928,0.016574199885667575,0.9410946718437014,0.031037754722021308,0.024312329855917428,0.023076054938230433,0.015030013343807783
B_r2,40,39,0.049787454643317255,0.037638142771846246,0.029669656116176373,0.018582747620272205,0.9543979546794226,0.031038443065813836,0.02710425545592667,0.028376994853193054,0.018969986355990783
B_r3,40,39,0.05889629428410494,0.03893822802557273,0.026323114162347856,0.016616758413915467,0.9432082834106067,0.03259906451819253,0.0251492497950539,0.024562059089328927,0.015125018136653751
L6_r1,40,39,0.06152599508818373,0.033094922388537173,0.02951154986165602,0.014324521373833141,0.9413157306835128,0.03473553711413292,0.022518913357422912,0.027586202178256306,0.01650021905090264
L6_r2,40,39,0.06152599508818373,0.033094922388537173,0.02951154986165602,0.014324521373833141,0.9413157306835128,0.03473553711413292,0.022518913357422912,0.027586202178256306,0.01650021905090264
L6_r3,40,39,0.06152599508818373,0.033094922388537173,0.02951154986165602,0.014324521373833141,0.9413157306835128,0.03473553711413292,0.022518913357422912,0.027586202178256306,0.01650021905090264
L-all_r1,40,39,23.25256641545865,18.50060116085278,3.08564979736779,1.485095876556766,0.030741932464029214,0.3477783843103003,0.27295470563227753,0.08806707996047183,0.07905573027479455
L-all_r2,40,39,0.042618630514737535,0.025976052851604866,0.026222836735105982,0.011012261450169133,0.9590464868102869,0.024603114020158683,0.01615402481862812,0.024834077970904644,0.010320377788628854
L-all_r3,40,39,0.04390871091329776,0.03110849433844036,0.022427081926597318,0.016955696965528715,0.9543931731368095,0.020272512563593453,0.016191589639777862,0.0210493241833409,0.016098925698337197
C-all_r1,40,39,0.04228200559888264,0.03604696721373399,0.026285182630614776,0.017971416525542315,0.9656219923282522,0.030763882671727492,0.025446202692123974,0.02536904844745022,0.018413283357848927
C-all_r2,40,39,0.03637116380027153,0.029507779752726646,0.024484498704232294,0.018410155985386558,0.9739662986136997,0.029129606334450844,0.023030307152716437,0.02400049396421758,0.017960196163357665
C-all_r3,40,39,0.038084470435000045,0.03209426141575282,0.02895153708982841,0.019413694851341052,0.9780652985462566,0.033416422992353416,0.027148820134934554,0.028332010859829806,0.01946368219016887
