timestamp,reference_valid,L-all_r1_valid,L-all_r2_valid,L-all_r3_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,common_valid,segment_id
1535224997.0497332,1,0,0,0,0,0,0,0,-1
1535224998.0497332,1,0,0,0,0,0,0,0,-1
1535224999.0497332,1,1,1,1,1,1,1,1,0
1535225000.0497332,1,1,1,1,1,1,1,1,0
1535225001.0497332,1,1,1,1,1,1,1,1,0
1535225002.0497332,1,1,1,1,1,1,1,1,0
1535225003.0497332,1,1,1,1,1,1,1,1,0
1535225004.0497332,1,1,1,1,1,1,1,1,0
1535225005.0497332,1,1,1,1,1,1,1,1,0
1535225006.0497332,1,1,1,1,1,1,1,1,0
1535225007.0497332,1,1,1,1,1,1,1,1,0
1535225008.0497332,1,1,1,1,1,1,1,1,0
1535225009.0497332,1,1,1,1,1,1,1,1,0
1535225010.0497332,1,1,1,1,1,1,1,1,0
1535225011.0497332,1,1,1,1,1,1,1,1,0
1535225012.0497332,1,1,1,1,1,1,1,1,0
1535225013.0497332,1,1,1,1,1,1,1,1,0
1535225014.0497332,1,1,1,1,1,1,1,1,0
1535225015.0497332,1,1,1,1,1,1,1,1,0
1535225016.0497332,1,1,1,1,1,1,1,1,0
1535225017.0497332,1,1,1,1,1,1,1,1,0
1535225018.0497332,1,1,1,1,1,1,1,1,0
1535225019.0497332,1,1,1,1,1,1,1,1,0
1535225020.0497332,1,1,1,1,1,1,1,1,0
1535225021.0497332,1,1,1,1,1,1,1,1,0
1535225022.0497332,1,1,1,1,1,1,1,1,0
1535225023.0497332,1,1,1,1,1,1,1,1,0
1535225024.0497332,1,1,1,1,1,1,1,1,0
1535225025.0497332,1,1,1,1,1,1,1,1,0
1535225026.0497332,1,1,1,1,1,1,1,1,0
1535225027.0497332,1,1,1,1,1,1,1,1,0
1535225028.0497332,1,1,1,1,1,1,1,1,0
1535225029.0497332,1,1,1,1,1,1,1,1,0
1535225030.0497332,1,1,1,1,1,1,1,1,0
1535225031.0497332,1,1,1,1,1,1,1,1,0
1535225032.0497332,1,1,1,1,1,1,1,1,0
1535225033.0497332,1,1,1,1,1,1,1,1,0
1535225034.0497332,1,1,1,1,1,1,1,1,0
1535225035.0497332,1,1,1,1,1,1,1,1,0
1535225036.0497332,1,1,1,1,1,1,1,1,0
1535225037.0497332,1,1,1,1,1,1,1,1,0
1535225038.0497332,1,1,1,1,1,1,1,1,0
1535225039.0497332,1,1,1,1,1,1,1,1,0
1535225040.0497332,1,1,1,1,1,1,1,1,0
1535225041.0497332,1,1,1,1,1,1,1,1,0
