arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
B_r1,43,42,0.5344467074097239,0.3953317066639149,0.06529030477001668,0.06130725077621679,1.2529695830236045,0.07656416319347195,0.06895856368172745,0.028875675381033267,0.01885788820131127
B_r2,43,42,0.5385852942595348,0.3979783220105221,0.06576428169532751,0.06193187335939432,1.2554110724326513,0.07739530505332977,0.0698185535526469,0.02901476551247927,0.01873894408084266
B_r3,43,42,0.5360829122691392,0.3973080885770911,0.06539446330586443,0.06102160611602432,1.253976805790302,0.07637420486047417,0.0696033576733143,0.028921979795381574,0.019054120540635315
L6_r1,43,42,0.5361085883986694,0.39678671031676205,0.06548275033962056,0.0614042804395333,1.2540009334471167,0.07627083872314241,0.06882339792959573,0.028995171381571722,0.01910433479923035
L6_r2,43,42,0.5388212463822675,0.39840321196758693,0.06577368460764693,0.06157060477936606,1.2556122387656756,0.07670277530712073,0.06962729129038728,0.029074922154097394,0.018911067078095135
L6_r3,43,42,0.5360594061911843,0.39680914433823716,0.06546589523633384,0.06130695364595238,1.253973139215765,0.07624630760560465,0.06882452687647353,0.028966122040392017,0.0190793405441161
L-all_r1,43,42,0.5299067545078128,0.3927069370238082,0.06476299402755246,0.0603977287948507,1.2503501541855206,0.07507004610546245,0.0685732220971791,0.02878619670308343,0.019852485587607833
L-all_r2,43,42,0.5320151652628784,0.393213291834958,0.06505339472245524,0.06071467695674998,1.251562075254451,0.07580378887973581,0.06908254045969442,0.028885629813615043,0.019589869018691124
L-all_r3,43,42,0.5321964587067606,0.3935375335956991,0.06508397220652354,0.06098853834011247,1.251671190568504,0.07580870894700359,0.06913124292257736,0.028918830907263653,0.019263558565367968
C-all_r1,43,42,0.5338408606583988,0.39516709183147547,0.0652031687954237,0.06129518772552722,1.2526692454176092,0.07576247672531439,0.06868364134061511,0.028891954088915702,0.019212720399882602
C-all_r2,43,42,0.5341350883147737,0.3953815387419724,0.06515763394191748,0.0607621925180964,1.2528406418055695,0.0758432985353073,0.06906909085354865,0.02877903423419642,0.019379088246635427
C-all_r3,43,42,0.5318935409415197,0.3940817902128049,0.06493023798247957,0.060825445272085416,1.2515237880746028,0.07537671182668262,0.0684823923871541,0.028739858084966603,0.019555723076221634
