timestamp,reference_valid,B_r1_valid,B_r2_valid,B_r3_valid,L6_r1_valid,L6_r2_valid,L6_r3_valid,L-all_r1_valid,L-all_r2_valid,L-all_r3_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,common_valid,segment_id
1523387546.1229303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
1523387547.1229303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
1523387548.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387549.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387550.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387551.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387552.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387553.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387554.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387555.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387556.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387557.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387558.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387559.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387560.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387561.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387562.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387563.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387564.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387565.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387566.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387567.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387568.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387569.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387570.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387571.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387572.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387573.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387574.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387575.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387576.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387577.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387578.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387579.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387580.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387581.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387582.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387583.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387584.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387585.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387586.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387587.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387588.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387589.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387590.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387591.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387592.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387593.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387594.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387595.1229303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1523387596.1229303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
