arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
B_r1,48,47,1.7665489604414268,0.9882612377120348,0.38486452782657293,0.10589385331125457,0.6484917050792438,1.0469634039294264,0.8438876863008915,0.26356364202397026,0.11707360033335387
B_r2,48,47,1.265686444169794,0.8350251994747198,0.21849094257729493,0.0865904018190253,0.7346655087873318,0.8026088741229506,0.6137746929852657,0.16163428915331182,0.0892079805785433
B_r3,48,47,1.2865762022722165,0.84641759950458,0.23117932373879463,0.08673882372809236,0.7287989673711236,0.7984919444389112,0.6398666629214357,0.16740945853231767,0.09019072181812222
L6_r1,48,47,1.2422879889439087,0.820961139956476,0.20954322951310433,0.08314780599012704,0.7370816584307973,0.7771042279240266,0.6067840929806296,0.15205534197825413,0.0864260516113085
L6_r2,48,47,1.2762806314192672,0.844803110098763,0.21309461723730136,0.08687860923080966,0.7309798968714012,0.7955042082901869,0.6329411935388896,0.1544982551734902,0.08906873944634593
L6_r3,48,47,1.3339478614039384,0.8833566497053353,0.2435109524391188,0.0945133357095041,0.7217618961829945,0.8342097232482654,0.6734264084232182,0.17640274031793723,0.09457898246274268
L-all_r1,48,47,1.2568054239193385,0.8206421438931655,0.21142870706210914,0.0880928640828878,0.7362860736439455,0.7978938957783588,0.6483229041780338,0.15421925183639215,0.09091215740587866
L-all_r2,48,47,1.272348648528557,0.822250627582894,0.2154157107029663,0.08820369415683274,0.7341231087923656,0.8108605364340336,0.6527318337367882,0.15840868045698137,0.09212282589674206
L-all_r3,48,47,1.3085419956047668,0.8317755204267374,0.22177665161368504,0.08948881912098651,0.7265273460995131,0.8224997925284844,0.6591106558288498,0.16252864814555285,0.0929895612452945
C-all_r1,48,47,1.3491586975212388,0.8635190003379043,0.2714748883754037,0.09313669253628484,0.7181821602775157,0.8353735434528453,0.6719107783136151,0.19540758009009393,0.0956891500662925
C-all_r2,48,47,1.2894183175759475,0.8463128194026193,0.22769062410436236,0.08765578612709961,0.7289165703645406,0.8046679961044415,0.6455089009834535,0.1648580058712052,0.09135675627404216
C-all_r3,48,47,1.3135718593195282,0.8596031070819155,0.21676757812495362,0.09053062556647706,0.7249432970812264,0.8200610606837218,0.6455277224331396,0.15832543423699197,0.09353033812604289
