run_slug,comparison,status,support_json,artifact
a09_6000_6800,all_four,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a09_6000_6800/all_four
a09_6000_6800,L-all_vs_L6,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a09_6000_6800/L-all_vs_L6
a09_6000_6800,L6_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a09_6000_6800/L6_vs_B
a09_6000_6800,L-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a09_6000_6800/L-all_vs_B
a09_6000_6800,C-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a09_6000_6800/C-all_vs_B
a09_6000_6800,L-all_vs_C-all,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a09_6000_6800/L-all_vs_C-all
a02_0_900,all_four,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a02_0_900/all_four
a02_0_900,L-all_vs_L6,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a02_0_900/L-all_vs_L6
a02_0_900,L6_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a02_0_900/L6_vs_B
a02_0_900,L-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a02_0_900/L-all_vs_B
a02_0_900,C-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a02_0_900/C-all_vs_B
a02_0_900,L-all_vs_C-all,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a02_0_900/L-all_vs_C-all
afrl_bus_s180_d045,all_four,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_bus_s180_d045/all_four
afrl_bus_s180_d045,L-all_vs_L6,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_bus_s180_d045/L-all_vs_L6
afrl_bus_s180_d045,L6_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_bus_s180_d045/L6_vs_B
afrl_bus_s180_d045,L-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_bus_s180_d045/L-all_vs_B
afrl_bus_s180_d045,C-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_bus_s180_d045/C-all_vs_B
afrl_bus_s180_d045,L-all_vs_C-all,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_bus_s180_d045/L-all_vs_C-all
a08_2700_3600,all_four,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a08_2700_3600/all_four
a08_2700_3600,L-all_vs_L6,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a08_2700_3600/L-all_vs_L6
a08_2700_3600,L6_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a08_2700_3600/L6_vs_B
a08_2700_3600,L-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a08_2700_3600/L-all_vs_B
a08_2700_3600,C-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a08_2700_3600/C-all_vs_B
a08_2700_3600,L-all_vs_C-all,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/a08_2700_3600/L-all_vs_C-all
afrl_cemetery_s135_d045,all_four,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_cemetery_s135_d045/all_four
afrl_cemetery_s135_d045,L-all_vs_L6,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_cemetery_s135_d045/L-all_vs_L6
afrl_cemetery_s135_d045,L6_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_cemetery_s135_d045/L6_vs_B
afrl_cemetery_s135_d045,L-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_cemetery_s135_d045/L-all_vs_B
afrl_cemetery_s135_d045,C-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_cemetery_s135_d045/C-all_vs_B
afrl_cemetery_s135_d045,L-all_vs_C-all,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/afrl_cemetery_s135_d045/L-all_vs_C-all
h07_0_1000,all_four,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/h07_0_1000/all_four
h07_0_1000,L-all_vs_L6,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/h07_0_1000/L-all_vs_L6
h07_0_1000,L6_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/h07_0_1000/L6_vs_B
h07_0_1000,L-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/h07_0_1000/L-all_vs_B
h07_0_1000,C-all_vs_B,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/h07_0_1000/C-all_vs_B
h07_0_1000,L-all_vs_C-all,Not evaluated.,,/home/ma/AQUA-FE_WS_additive_budget_v1/papers/frontend_additive_budget_v1/common_support/h07_0_1000/L-all_vs_C-all
