run_slug,arm,feature_messages,nonfeature_messages,candidate_observations,backbone_serialized_exact,source_coordinates_quality_exact,velocity_continuity_exact,received_per_id_exact_repeats,feature_bag_sha256
a09_6000_6800,B,400,8133,0,True,True,True,3,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff
a09_6000_6800,L6,400,8133,2251,True,True,True,3,6906e7fdc3a4cf349840c3f732550e5169dcc6ff8886d7a58a23e2a2c366e706
a09_6000_6800,L-all,400,8133,42018,True,True,True,3,e0c5de737d82af40a4a565d10d6f1b9921a68ecda3ecab2b9b6e0f4baee66cf8
a09_6000_6800,C-all,400,8133,22392,True,True,True,3,00b20e828bcc0974bea0bcb01712cc265130284d001c4d67d1bee6734e9abbb0
a02_0_900,B,450,9092,0,True,True,True,3,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520
a02_0_900,L6,450,9092,2688,True,True,True,3,e7c860e5cbbe76964dd396020b7bf6ea0b682c7545772cc0bb109e0b1031ea3e
a02_0_900,L-all,450,9092,116129,True,True,True,3,4b61e0c58f83861183b459806920a87820973818345178db2ac1d3de993dc172
a02_0_900,C-all,450,9092,41339,True,True,True,3,12a03ac4111c3d19f04482aeb5311bac2f72558ceeaea09cd40f5a7b88d77fe6
afrl_bus_s180_d045,B,282,5065,0,True,True,True,3,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84
afrl_bus_s180_d045,L6,282,5065,1537,True,True,True,3,0940a076b832127a25b0966608b942cf937e4890d30df9a0eab8ea32a5ac5502
afrl_bus_s180_d045,L-all,282,5065,2963,True,True,True,3,169bfc0a3591b2da99bce3a1871c5cda7ba2d30b673d010fe1f9ab8a43ab697b
afrl_bus_s180_d045,C-all,282,5065,2305,True,True,True,3,fc326689f22785ea5e1d209ad6c75cb8af238f8e0709c82af19d1efcd1d3fc87
a08_2700_3600,B,450,9137,0,True,True,True,3,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9
a08_2700_3600,L6,450,9137,2688,True,True,True,3,85e20ad9c15c6b1621390b5d9356a40410d23826e7773a993ef20a96afeb9a29
a08_2700_3600,L-all,450,9137,130866,True,True,True,3,94e630edbadc8862ea66d54f51f51779b48a40431bb64eac4d29271871589a5d
a08_2700_3600,C-all,450,9137,87401,True,True,True,3,957f0650f28b3081045a7fde31e74ecac554ad791ab79adda4bd97d89e5bb079
afrl_cemetery_s135_d045,B,357,5204,0,True,True,True,0,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e
afrl_cemetery_s135_d045,L6,357,5204,1792,True,True,True,0,18050bcfa8acd7c59b9d04715a7ec03a7f999a9811fb7d17ecaf49fad0948681
afrl_cemetery_s135_d045,L-all,357,5204,10977,True,True,True,0,da767b0d48d6895cfa996127423388935d64c0e59275fba614b82757aa4e0030
afrl_cemetery_s135_d045,C-all,357,5204,6656,True,True,True,0,90ff3f75dbe56f2247d751a187bd8dc97c01ca27855cb986410f9aa80f0f579a
h07_0_1000,B,500,10246,0,True,True,True,3,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358
h07_0_1000,L6,500,10246,2801,True,True,True,2,715b051d8fe99a92e6e0416fa8dda2d31b9716ad593c1751ea060b3c08f5c4a1
h07_0_1000,L-all,500,10246,20346,True,True,True,0,9942977f0f36e8a1c6b9faa02dc71caae36ea35d1cc69bb0f974c1fa8e52c690
h07_0_1000,C-all,500,10246,6422,True,True,True,0,373de3529b2c53226590f21d8809874cfd2facf6fc05d936ada72db8344ae4e8
