run_slug,arm,status
a09_6000_6800,B,Not evaluated.
a09_6000_6800,L6,Not evaluated.
a09_6000_6800,L-all,Not evaluated.
a09_6000_6800,C-all,Not evaluated.
a02_0_900,B,Not evaluated.
a02_0_900,L6,Not evaluated.
a02_0_900,L-all,Not evaluated.
a02_0_900,C-all,Not evaluated.
afrl_bus_s180_d045,B,Not evaluated.
afrl_bus_s180_d045,L6,Not evaluated.
afrl_bus_s180_d045,L-all,Not evaluated.
afrl_bus_s180_d045,C-all,Not evaluated.
a08_2700_3600,B,Not evaluated.
a08_2700_3600,L6,Not evaluated.
a08_2700_3600,L-all,Not evaluated.
a08_2700_3600,C-all,Not evaluated.
afrl_cemetery_s135_d045,B,Not evaluated.
afrl_cemetery_s135_d045,L6,Not evaluated.
afrl_cemetery_s135_d045,L-all,Not evaluated.
afrl_cemetery_s135_d045,C-all,Not evaluated.
h07_0_1000,B,Not evaluated.
h07_0_1000,L6,Not evaluated.
h07_0_1000,L-all,Not evaluated.
h07_0_1000,C-all,Not evaluated.
