run_slug,source,scope,reason,count
a09_6000_6800,xfeat,eligibility_observations,geometry,682
a09_6000_6800,xfeat,eligibility_observations,source_history_missing,4301
a09_6000_6800,xfeat,eligibility_observations,duplicate_KLT_or_prior_candidate,118488
a09_6000_6800,xfeat,eligibility_observations,quality,142
a09_6000_6800,xfeat,geometry_frame_status,no_sidecar,4
a09_6000_6800,xfeat,geometry_frame_status,accepted_feh_residual_stable,396
a09_6000_6800,xfeat,generation_or_tracking_cumulative,backward_fail,2
a09_6000_6800,xfeat,generation_or_tracking_cumulative,border_fail,681
a09_6000_6800,xfeat,generation_or_tracking_cumulative,fb_fail,416
a09_6000_6800,xfeat,generation_or_tracking_cumulative,forward_fail,14
a09_6000_6800,xfeat,generation_or_tracking_cumulative,generator_seed_limit,38812
a09_6000_6800,xfeat,generation_or_tracking_cumulative,ncc_fail,14815
a09_6000_6800,xfeat,generation_or_tracking_cumulative,seed_boundary,2327
a09_6000_6800,xfeat,generation_or_tracking_cumulative,seed_duplicate_private,480384
a09_6000_6800,classical_gftt,eligibility_observations,geometry,16
a09_6000_6800,classical_gftt,eligibility_observations,source_history_missing,5331
a09_6000_6800,classical_gftt,eligibility_observations,duplicate_KLT_or_prior_candidate,113446
a09_6000_6800,classical_gftt,eligibility_observations,quality,21
a09_6000_6800,classical_gftt,geometry_frame_status,no_sidecar,61
a09_6000_6800,classical_gftt,geometry_frame_status,accepted_feh_residual_stable,339
a09_6000_6800,classical_gftt,generation_or_tracking_cumulative,backward_fail,2
a09_6000_6800,classical_gftt,generation_or_tracking_cumulative,border_fail,802
a09_6000_6800,classical_gftt,generation_or_tracking_cumulative,fb_fail,281
a09_6000_6800,classical_gftt,generation_or_tracking_cumulative,forward_fail,14
a09_6000_6800,classical_gftt,generation_or_tracking_cumulative,generator_seed_limit,26469
a09_6000_6800,classical_gftt,generation_or_tracking_cumulative,ncc_fail,15367
a09_6000_6800,classical_gftt,generation_or_tracking_cumulative,seed_boundary,7258
a09_6000_6800,classical_gftt,generation_or_tracking_cumulative,seed_duplicate_private,357776
a09_6000_6800,L6,publication_admit,valid,253
a09_6000_6800,L6,publication_terminate,source_missing_or_invalid,247
a09_6000_6800,L6,publication_continue,valid,1998
a09_6000_6800,L6,publication_reject,L6_quantity,39767
a09_6000_6800,L-all,publication_admit,valid,2555
a09_6000_6800,L-all,publication_terminate,source_missing_or_invalid,2301
a09_6000_6800,L-all,publication_continue,valid,39463
a09_6000_6800,C-all,publication_admit,valid,1474
a09_6000_6800,C-all,publication_terminate,source_missing_or_invalid,1332
a09_6000_6800,C-all,publication_continue,valid,20918
a02_0_900,xfeat,eligibility_observations,geometry,11264
a02_0_900,xfeat,eligibility_observations,source_history_missing,4289
a02_0_900,xfeat,eligibility_observations,duplicate_KLT_or_prior_candidate,163976
a02_0_900,xfeat,geometry_frame_status,no_sidecar,2
a02_0_900,xfeat,geometry_frame_status,accepted_feh_residual_stable,448
a02_0_900,xfeat,generation_or_tracking_cumulative,backward_fail,1
a02_0_900,xfeat,generation_or_tracking_cumulative,border_fail,3587
a02_0_900,xfeat,generation_or_tracking_cumulative,fb_fail,135
a02_0_900,xfeat,generation_or_tracking_cumulative,forward_fail,11
a02_0_900,xfeat,generation_or_tracking_cumulative,generator_seed_limit,2883
a02_0_900,xfeat,generation_or_tracking_cumulative,ncc_fail,293
a02_0_900,xfeat,generation_or_tracking_cumulative,seed_boundary,2976
a02_0_900,xfeat,generation_or_tracking_cumulative,seed_duplicate_private,620853
a02_0_900,classical_gftt,eligibility_observations,geometry,9
a02_0_900,classical_gftt,eligibility_observations,source_history_missing,2379
a02_0_900,classical_gftt,eligibility_observations,duplicate_KLT_or_prior_candidate,159633
a02_0_900,classical_gftt,geometry_frame_status,no_sidecar,5
a02_0_900,classical_gftt,geometry_frame_status,accepted_feh_residual_stable,445
a02_0_900,classical_gftt,generation_or_tracking_cumulative,border_fail,1993
a02_0_900,classical_gftt,generation_or_tracking_cumulative,fb_fail,36
a02_0_900,classical_gftt,generation_or_tracking_cumulative,generator_seed_limit,1747
a02_0_900,classical_gftt,generation_or_tracking_cumulative,ncc_fail,69
a02_0_900,classical_gftt,generation_or_tracking_cumulative,seed_boundary,2748
a02_0_900,classical_gftt,generation_or_tracking_cumulative,seed_duplicate_private,453644
a02_0_900,L6,publication_admit,valid,275
a02_0_900,L6,publication_reject,L6_quantity,113441
a02_0_900,L6,publication_continue,valid,2413
a02_0_900,L6,publication_terminate,source_missing_or_invalid,269
a02_0_900,L-all,publication_admit,valid,11740
a02_0_900,L-all,publication_continue,valid,104389
a02_0_900,L-all,publication_terminate,source_missing_or_invalid,11440
a02_0_900,C-all,publication_admit,valid,1725
a02_0_900,C-all,publication_continue,valid,39614
a02_0_900,C-all,publication_terminate,source_missing_or_invalid,1654
afrl_bus_s180_d045,xfeat,eligibility_observations,geometry,103
afrl_bus_s180_d045,xfeat,eligibility_observations,source_history_missing,4875
afrl_bus_s180_d045,xfeat,eligibility_observations,duplicate_KLT_or_prior_candidate,33073
afrl_bus_s180_d045,xfeat,eligibility_observations,quality,10
afrl_bus_s180_d045,xfeat,geometry_frame_status,no_sidecar,4
afrl_bus_s180_d045,xfeat,geometry_frame_status,accepted_feh_residual_stable,278
afrl_bus_s180_d045,xfeat,generation_or_tracking_cumulative,backward_fail,7
afrl_bus_s180_d045,xfeat,generation_or_tracking_cumulative,border_fail,482
afrl_bus_s180_d045,xfeat,generation_or_tracking_cumulative,fb_fail,2065
afrl_bus_s180_d045,xfeat,generation_or_tracking_cumulative,forward_fail,157
afrl_bus_s180_d045,xfeat,generation_or_tracking_cumulative,generator_seed_limit,54214
afrl_bus_s180_d045,xfeat,generation_or_tracking_cumulative,ncc_fail,13977
afrl_bus_s180_d045,xfeat,generation_or_tracking_cumulative,seed_boundary,5405
afrl_bus_s180_d045,xfeat,generation_or_tracking_cumulative,seed_duplicate_private,305641
afrl_bus_s180_d045,classical_gftt,eligibility_observations,geometry,24
afrl_bus_s180_d045,classical_gftt,eligibility_observations,source_history_missing,8185
afrl_bus_s180_d045,classical_gftt,eligibility_observations,duplicate_KLT_or_prior_candidate,51623
afrl_bus_s180_d045,classical_gftt,eligibility_observations,quality,2
afrl_bus_s180_d045,classical_gftt,geometry_frame_status,no_sidecar,15
afrl_bus_s180_d045,classical_gftt,geometry_frame_status,accepted_feh_residual_stable,264
afrl_bus_s180_d045,classical_gftt,geometry_frame_status,all_sidecars_fail_feh,3
afrl_bus_s180_d045,classical_gftt,generation_or_tracking_cumulative,backward_fail,4
afrl_bus_s180_d045,classical_gftt,generation_or_tracking_cumulative,border_fail,570
afrl_bus_s180_d045,classical_gftt,generation_or_tracking_cumulative,fb_fail,2613
afrl_bus_s180_d045,classical_gftt,generation_or_tracking_cumulative,forward_fail,137
afrl_bus_s180_d045,classical_gftt,generation_or_tracking_cumulative,generator_seed_limit,24080
afrl_bus_s180_d045,classical_gftt,generation_or_tracking_cumulative,ncc_fail,13065
afrl_bus_s180_d045,classical_gftt,generation_or_tracking_cumulative,seed_boundary,8139
afrl_bus_s180_d045,classical_gftt,generation_or_tracking_cumulative,seed_duplicate_private,226973
afrl_bus_s180_d045,L6,publication_admit,valid,398
afrl_bus_s180_d045,L6,publication_terminate,source_missing_or_invalid,392
afrl_bus_s180_d045,L6,publication_continue,valid,1139
afrl_bus_s180_d045,L6,publication_reject,L6_quantity,1426
afrl_bus_s180_d045,L-all,publication_admit,valid,891
afrl_bus_s180_d045,L-all,publication_terminate,source_missing_or_invalid,878
afrl_bus_s180_d045,L-all,publication_continue,valid,2072
afrl_bus_s180_d045,C-all,publication_admit,valid,752
afrl_bus_s180_d045,C-all,publication_terminate,source_missing_or_invalid,750
afrl_bus_s180_d045,C-all,publication_continue,valid,1553
a08_2700_3600,xfeat,eligibility_observations,geometry,4978
a08_2700_3600,xfeat,eligibility_observations,source_history_missing,3865
a08_2700_3600,xfeat,eligibility_observations,duplicate_KLT_or_prior_candidate,210747
a08_2700_3600,xfeat,geometry_frame_status,no_sidecar,2
a08_2700_3600,xfeat,geometry_frame_status,accepted_feh_residual_stable,448
a08_2700_3600,xfeat,generation_or_tracking_cumulative,backward_fail,2
a08_2700_3600,xfeat,generation_or_tracking_cumulative,border_fail,2782
a08_2700_3600,xfeat,generation_or_tracking_cumulative,fb_fail,121
a08_2700_3600,xfeat,generation_or_tracking_cumulative,forward_fail,23
a08_2700_3600,xfeat,generation_or_tracking_cumulative,generator_pool_limit,10672
a08_2700_3600,xfeat,generation_or_tracking_cumulative,generator_seed_limit,3935
a08_2700_3600,xfeat,generation_or_tracking_cumulative,ncc_fail,271
a08_2700_3600,xfeat,generation_or_tracking_cumulative,seed_boundary,1604
a08_2700_3600,xfeat,generation_or_tracking_cumulative,seed_duplicate_private,588072
a08_2700_3600,classical_gftt,eligibility_observations,geometry,386
a08_2700_3600,classical_gftt,eligibility_observations,source_history_missing,2990
a08_2700_3600,classical_gftt,eligibility_observations,duplicate_KLT_or_prior_candidate,191617
a08_2700_3600,classical_gftt,geometry_frame_status,no_sidecar,4
a08_2700_3600,classical_gftt,geometry_frame_status,accepted_feh_residual_stable,446
a08_2700_3600,classical_gftt,generation_or_tracking_cumulative,border_fail,2446
a08_2700_3600,classical_gftt,generation_or_tracking_cumulative,fb_fail,78
a08_2700_3600,classical_gftt,generation_or_tracking_cumulative,forward_fail,10
a08_2700_3600,classical_gftt,generation_or_tracking_cumulative,generator_seed_limit,2390
a08_2700_3600,classical_gftt,generation_or_tracking_cumulative,ncc_fail,111
a08_2700_3600,classical_gftt,generation_or_tracking_cumulative,seed_boundary,6610
a08_2700_3600,classical_gftt,generation_or_tracking_cumulative,seed_duplicate_private,448417
a08_2700_3600,L6,publication_admit,valid,166
a08_2700_3600,L6,publication_reject,L6_quantity,128178
a08_2700_3600,L6,publication_continue,valid,2522
a08_2700_3600,L6,publication_terminate,source_missing_or_invalid,160
a08_2700_3600,L-all,publication_admit,valid,7762
a08_2700_3600,L-all,publication_continue,valid,123104
a08_2700_3600,L-all,publication_terminate,source_missing_or_invalid,7557
a08_2700_3600,C-all,publication_admit,valid,3019
a08_2700_3600,C-all,publication_continue,valid,84382
a08_2700_3600,C-all,publication_terminate,source_missing_or_invalid,2870
afrl_cemetery_s135_d045,xfeat,eligibility_observations,geometry,1704
afrl_cemetery_s135_d045,xfeat,eligibility_observations,source_history_missing,9587
