run_slug,source,source_sha256,eligible_frames,output_intervals_with_pool_limit_increment,backward_fail,border_fail,eligible_observations,fb_fail,forward_fail,generation_calls,generator_seed_limit,matcher_output,ncc_fail,peak_pool,processed_frames,seed_boundary,seed_duplicate_private,seeds_created,generator_pool_limit
a09_6000_6800,xfeat,dfd5969337680354b26b80ece349cfb8bc1960f30ecd171d64c8befc6f306820,396,0,2,681,42018,416,14,400,38812,538203,14815,772,801,2327,480384,16680,
a09_6000_6800,classical_gftt,cfac470f49479d20c058ee2cf46d7d917264f9c6cfb9fe6b066f7d1643b2d3ae,339,0,2,802,22392,281,14,400,26469,408521,15367,557,801,7258,357776,17018,
a02_0_900,xfeat,b8ff7178903b25dc8d29d9314e350a1ecba02629477c605bd5d7ca7a9bfcff25,448,0,1,3587,116129,135,11,450,2883,631433,293,716,901,2976,620853,4721,
a02_0_900,classical_gftt,934a7cc76b18bd047ce6943539eb394706b6b4fe730cdf61731e8f2e289ef888,445,0,,1993,41339,36,,450,1747,460672,69,507,901,2748,453644,2533,
afrl_bus_s180_d045,xfeat,707700c248538036e2e73173f23df23d80cf4031007686a019d22697bba9c8fb,278,0,7,482,2963,2065,157,281,54214,382120,13977,335,564,5405,305641,16860,
afrl_bus_s180_d045,classical_gftt,cf147fe0841dda40115497ccaff5f754a3f1e7c3fe5b221afdd336aac01b179a,264,0,4,570,2305,2613,137,281,24080,275818,13065,397,564,8139,226973,16626,
a08_2700_3600,xfeat,efdeee7c6a904fbb727d1b4ddff63135399fef9b759f968c404888101484b26c,448,385,2,2782,130866,121,23,450,3935,608251,271,800,901,1604,588072,3968,10672
a08_2700_3600,classical_gftt,289f8913d75e161f6be30f3e4c405ae82cbb738426a6a75cd76ae3a87e2f5aeb,446,0,,2446,87401,78,10,450,2390,460610,111,711,901,6610,448417,3193,
afrl_cemetery_s135_d045,xfeat,ab52c9e7e78a2351e18c5228455f389d07318d895564d44531a664a158fb493e,340,0,142,821,10977,2854,1989,356,80970,430795,15374,463,713,2568,325897,21360,
afrl_cemetery_s135_d045,classical_gftt,7802166d610b894f938560366dbdcdc018ff3427058687cc1766ba1dfbffc471,317,0,190,1014,6656,3473,2243,356,26646,351611,12760,468,713,4170,300879,19916,
h07_0_1000,xfeat,5db230a9fb5086da0945e5c971a089c69a8af46628824b9147c543fe60b5b3b4,477,0,95,1817,20346,3113,402,500,16999,662500,18013,511,1001,4549,617100,23852,
h07_0_1000,classical_gftt,5c159ffae8b748c14c21442ef9d28f0d2480d49df7f8be85a3f23f6363ebfb9d,455,0,73,1492,6422,4247,288,500,8676,481466,16687,430,1001,9871,439810,23109,
