window,version,cell_id,repeat,new_replays,source_manifest,source_manifest_sha256,receipt_identity_status,receipt_sha256,replay_directory,log_sha256,vio_sha256,environment_sha256,feature_bag_sha256,canonical_config_sha256,first_feature_timestamp_ns,first_vio_timestamp_ns,first_vio_delay_s,initialization_ros_time_s,initialization_ros_delay_s,initialization_log_line,initialization_count,reboot_log_count,linear_scale_diagnostic_count,VINS_INITIAL_MIN_SCALE_recorded,VINS_INITIAL_MAX_SCALE_recorded,VINS_INITIAL_MAX_GYRO_BIAS_DELTA_recorded,VINS_INITIAL_ROLLBACK_ON_FAILURE_recorded,VINS_INITIAL_DIAGNOSTICS_recorded,parallax_rejection_count,parallax_rejection_log_lines,alignment_rejection_count,alignment_rejection_log_lines,gyro_calibration_count,gyro_calibration_log_lines,low_excitation_warning_count,low_excitation_warning_log_lines,unlogged_rejection_subcause
a02_0_900,v2,klt,1,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,019697cf8459da2258ec1cd093519201aeee327d34e4a260d4bc38f231b75931,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat1,0dd64dce8cd2a45ddc5a47f20dea63a6629fd70c3d01c92e9895d625a901030e,0463c775ac29909595270d9d1be6d72b8e9bd970c847687129e43e01c4ad3a2c,67e3f2080135ff06226d26f81a539f843a796eab9325fd3a18192ec62af59d81,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828794685281536,2.897861216,1542828794.798945878,3.011525558,59,1,0,0,,,,,,5,34;36;38;40;42,7,44;46;48;50;52;54;57,8,25;26;27;28;29;30;31;32,14,33;35;37;39;41;43;45;47;49;51;53;55;56;58,Unknown
a02_0_900,v2,klt,2,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,db37b95a172486d814359ef67340a9b02aa684d7f609e9f0b61f5d76850ab560,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat2,62eb367c1d4f4875820e8a371493722df6d22f737664789eb79536b670b0eae6,77675fe4e2bab290308e7594cd20249d3c16947554b4a1f25e61b50b80a55d32,b1168cde4b39a778d7446781fda5cb81d24d441e79f14d0d2b48cc3c979ba5e5,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828794685281536,2.897861216,1542828794.798514318,3.011093998,59,1,0,0,,,,,,5,34;36;38;40;42,7,44;46;48;50;52;54;57,8,25;26;27;28;29;30;31;32,14,33;35;37;39;41;43;45;47;49;51;53;55;56;58,Unknown
a02_0_900,v2,klt,3,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,7267bc8d322de9e3017ada6c71249a51247b06f076219557e8fd52575c5298e5,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat3,ccf68bfc76a23715d841fc51bf4ba5b91439ea20a3850bc32d459400d3bced17,e16d2ea5a2119b14f80fb098ec57bcd7e50706bdd335a458c3b4f116efa80462,aea1e93837ba455613c90affce464e91e18f7bd155701b27c2fbb4d39d450069,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828794685281536,2.897861216,1542828794.798784549,3.011364229,59,1,0,0,,,,,,5,34;36;38;40;42,7,44;46;48;50;52;54;57,8,25;26;27;28;29;30;31;32,14,33;35;37;39;41;43;45;47;49;51;53;55;56;58,Unknown
a02_0_900,v2,router_xfeat,1,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,a2cba5a2c2b8cedcec7f1bc4d1817227aff71cc68848f22bdbb6d3138520538d,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/router_xfeat/repeat1,b45fe5eef461fcca73589ed978d11689c94606201b9c4af68819e7a9eb822a6b,1db331a00f94b5ac5a710bec32bb7d9625e3489ebc3a1aad4a977d22bc954732,31e9ef47793d40b42601c67aa51823c44c293f7839eda1260add7539144d3d97,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003206014,2.215785694,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,router_xfeat,2,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,183bee0fbccabac1b6cebc324866307266f8333b8deba807a21e3693a432534b,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/router_xfeat/repeat2,7e1216f2740059d5e0f72aafe64965eed374cc2fa91906311409e27b397a0167,b6122db319f85f2c447f45053b053a695e555ac9925e5896ac62c17fb6a192b3,14863306bb9ab86235a4679c1475227b5bdcb35714d3b58256cce9c67b8738e5,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003415194,2.215994874,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,router_xfeat,3,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,0b29f5b78f92642cc7f1f02f0c0405ac21b32f82cb01370373c62c0c9f52552a,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/router_xfeat/repeat3,8531f4cda84456e4c98e2d4a1243066368e3fbd6cf2547a7a818c2b847ae494b,515efd5ae1fe1acabe9a3465ff0706fe18336e1e1e41aa210ffc40a3a0bdf056,57298c917cc2c6fdaee104e87446cd18bd3b62f018bbeea3c6e124e17eb8a0ee,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013589733,2.226169413,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,matched_gftt_for_router_xfeat,1,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,566efe56ef593fd842ec0582507bd9ebae70843d6fd4173b7118dad177b76e6f,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/matched_gftt_for_router_xfeat/repeat1,771f784eaf1f99708f0e6fbdbe32bf03e0da67f46dee5c765f5d1a658b257ede,edc92be74c7d22bd38c28cbca3f7a3624997ccebac713ab56e62b0c052a0626a,204c0fcfa19348aa11df2a19eefd294825019edfe8ccf686884d2af50b17632a,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003571006,2.216150686,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,matched_gftt_for_router_xfeat,2,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,8d0c6f5fa1dd34d90ddaabd4f07bd7d4a672aad2f9d99ad1dd4e03050aad2134,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/matched_gftt_for_router_xfeat/repeat2,49566bed004ef07f2721d998fe8bd611ea4a33470db4b273163393673a66c56d,b8c5122a334e150a202db2ad0eb4e68765bbc4abcb7a38d5d004cbd7d4eab45f,633648914b3dc5e5252a3c3e3e7d963c7ba366a184f9cdf49787f8b4d9c282ff,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013720939,2.226300619,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,matched_gftt_for_router_xfeat,3,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,82c49e1e5eef226760e64c1f9df1d49c15abb7a67b11a388ba4915483c42d893,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/matched_gftt_for_router_xfeat/repeat3,959dcab21c1c1d0a596abe858262a124f1a7d744fdfb8b4f26378c0bcee3bbc7,d3d5ea358f914cce4b800987651727ac6f7adeb4d5c87baa790149181fcf4b30,dfeab2464cf66b4976170779f1e313b31c673794b2a85a742b9ba3511918220c,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003643666,2.216223346,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,router_splg,1,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,95d2c58f1482cb0265f42b7643d08e99e3c24bdaffa6d424489b54c3708b631c,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/router_splg/repeat1,188b9af5c0efaec5738b4de4bc4c21f7a4a9ee5a825753e159164e821ae4741f,13ec0563c44c62bf77cb4c8ef7f10b0fb6b8e3c0645f9258a0442ab9c9cce05a,fbf847767fc8e5e7ed65e9a4311c1b357b12d4ff5bdd65ee9e34eb5ce8951ed5,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003775363,2.216355043,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,router_splg,2,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,8173e2ca98bc4e405c75a44ef5759e117b515a16c35dea04a125cb132e1d4fe5,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/router_splg/repeat2,e1e1d0417087576ae3dd7790bcab51f752a96c3123bacb26cfde68efda67b1e1,8c844dc40920a26768adc7cef9fce832ca7981223ae7d5e029be782deca63983,49a3867a2c01625bdc2e1115b9facd3405300c0e39361d9134220a9113938024,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013645162,2.226224842,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,router_splg,3,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,a6f3e7ebfd90148c1aa8d59ba146c8e722c0a9705d8e179f126ab7d1dc76e9a6,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/router_splg/repeat3,c3aefea7b931070d808b192e9bbfd555a9d0731adae389eb9dfa81d63f05c7ed,5e2c7f38677f2a776c14b40e445834a757cba3328dde4765c30d38c576aafd85,fe09c4190fbacc321a84880ed257eb5373e462690893fad77e1a0abfb3bbb471,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003720976,2.216300656,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,matched_gftt_for_router_splg,1,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,713e0a39ce4ffea1109ac967112af63ebb12ddbceb7eed279e84ca4d8a035109,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/matched_gftt_for_router_splg/repeat1,929f92d7b6b951ebbf6b8a9501e2c53aa10cdcf6a04c504a09ee6f05e47865f0,e2a647c858526957a29eaba4099229c58cbf22fe47f738d1558da64880e56a2e,55c697c0798bcfa5004afcac3c21e33a80acbfcd6056f2c80da15dd329fa874f,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003920130,2.216499810,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
