comparison_id,window_id,run_slug,learned_arm,role,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_ape_rmse_range_m,sim3_rpe_rmse_median_m,sim3_rpe_rmse_range_m,max_evo_abs_diff_m
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,klt,3,38,37,1242.140001754619,1242.123109543–1242.175422834,150.84681657767342,150.841876058–150.849294428,0.0014739942969592388,0.001473958–0.001474022,1.2705402225068914,1.270537020–1.270550508,0.2245001479064606,0.224499138–0.224502329,4.915092439716773e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,learned,3,38,37,0.641289655973182,0.640373879–0.641524377,0.061445065994065275,0.061375811–0.061445843,0.7775991712430103,0.777543992–0.777843131,0.06742121513912458,0.067199366–0.067755680,0.019120557295266627,0.019087624–0.019187261,4.4270473337215677e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,matched,3,38,37,1.6530139548564893,1.651190792–1.653135699,0.16632289884003965,0.166163814–0.166335755,3.8421952137171322,3.829937798–3.842986543,0.1436937381952703,0.143620307–0.144230164,0.04111693349057415,0.041097624–0.041158073,3.7571292001159495e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,learned,3,42,41,0.9792354211183302,0.953974990–0.979635242,0.09162275771465543,0.088995117–0.091629188,0.5363633845566569,0.536261500–0.542855251,0.03354291095619321,0.030280722–0.033655871,0.017808870161161016,0.017074650–0.017833970,4.21118330207193e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,matched,3,42,41,1.1090441420978532,1.107482816–1.110095863,0.10479497429225958,0.104760957–0.104860860,0.5052810996237264,0.505043691–0.505634244,0.052096232290353886,0.051970447–0.052415169,0.019165811014787676,0.019151891–0.019289204,4.4702711338856504e-07
a02_0_900__continuation_splg,aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
a02_0_900__continuation_splg,aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,learned,3,42,41,0.9965793094528645,0.991746529–1.016237294,0.09240329283067247,0.091984993–0.094647039,0.5319848002407901,0.527114501–0.533196145,0.031014931508251478,0.030993066–0.031390475,0.017951061668280716,0.017881123–0.018181169,4.7483965230632474e-07
a02_0_900__continuation_splg,aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,matched,3,42,41,0.9996091835098266,0.998598539–0.999735660,0.0929631204879509,0.092705926–0.093089981,0.5312282841051604,0.531194555–0.531478175,0.02974110637941424,0.029722322–0.031049203,0.017671069632482668,0.017659712–0.017899777,4.6099621686668257e-07
afrl_bus_s180_d045__continuation_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,continuation_xfeat,klt,3,42,41,0.06010874666198525,0.060108747–0.060108747,0.03721830922592327,0.037218309–0.037218309,0.9561064464308695,0.956106446–0.956106446,0.04528840980910515,0.045288410–0.045288410,0.03582772009289516,0.035827720–0.035827720,4.098091051507602e-07
afrl_bus_s180_d045__continuation_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,continuation_xfeat,learned,3,42,41,0.0427942124807622,0.042794212–0.065286700,0.026724813380849685,0.026724813–0.027091902,0.9728680530369359,0.938628928–0.972868053,0.035415924557395596,0.033013062–0.035415925,0.026057271543087488,0.025380228–0.026057272,2.997742785809665e-07
afrl_bus_s180_d045__continuation_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,continuation_xfeat,matched,3,42,41,0.054469376039432756,0.053789132–0.056118139,0.02743620700157271,0.026234504–0.037443320,0.9496086051022842,0.949566564–0.950349129,0.029545312248884414,0.028333027–0.033522583,0.025715865337917556,0.024644152–0.035459399,4.955787657190402e-07
