window_id,run_slug,arm,selected_feature_index,timestamp_ns,admitted_sidecars,admitted_ids_json,first_ids_json,continued_ids_json,omitted_newborns,omitted_ids_json
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,2,1542889046271565680,1,[10000000],[10000000],[],1,[944]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,3,1542889046371444368,1,[10000000],[],[10000000],1,[1160]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,4,1542889046471564144,1,[10000000],[],[10000000],1,[1367]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,5,1542889046571502768,1,[10000000],[],[10000000],1,[1553]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,6,1542889046673041552,1,[10000000],[],[10000000],1,[1738]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,7,1542889046771495440,1,[10000000],[],[10000000],1,[1924]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,8,1542889046871808912,1,[10000000],[],[10000000],1,[2140]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,9,1542889046971588592,1,[10000000],[],[10000000],1,[2360]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,10,1542889047072137840,1,[10000000],[],[10000000],1,[2557]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,11,1542889047171363280,1,[10000000],[],[10000000],1,[2764]
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,12,1542889047271770960,1,[10000000],[],[10000000],1,[2952]
aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,2,1542828791986278080,3,"[10000000, 10000001, 10000002]","[10000000, 10000001, 10000002]",[],3,"[362, 363, 365]"
aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,3,1542828792085880800,3,"[10000000, 10000001, 10000002]",[],"[10000000, 10000001, 10000002]",3,"[371, 372, 373]"
aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,4,1542828792185715008,2,"[10000000, 10000001]",[],"[10000000, 10000001]",2,"[376, 377]"
aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,5,1542828792285738432,1,[10000000],[],[10000000],1,[379]
aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,2,1542828791986278080,5,"[10000015, 10000016, 10000017, 10000018, 10000021]","[10000015, 10000016, 10000017, 10000018, 10000021]",[],5,"[361, 362, 363, 364, 365]"
aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,3,1542828792085880800,3,"[10000015, 10000016, 10000017]",[],"[10000015, 10000016, 10000017]",3,"[371, 372, 373]"
aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,4,1542828792185715008,2,"[10000015, 10000016]",[],"[10000015, 10000016]",2,"[376, 377]"
aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,5,1542828792285738432,1,[10000015],[],[10000015],1,[379]
afrl:bus_outside:0004,afrl_bus_s180_d045,continuation_xfeat,2,1494876660116016699,2,"[10000000, 10000001]","[10000000, 10000001]",[],2,"[487, 500]"
