run_slug,cell_id,repeat,execution,reference_manifest,current_manifest,first_feature_timestamp_ns,initialization_log_count,first_initialization_ros_time_s,initialization_log_delay_s,first_vio_timestamp_ns,first_vio_delay_s,timing_boundary,status,semantic_keys,semantic_differences_json,executable_lookup_json,reference_manifest_sha256,current_manifest_sha256,boundary
a09_6000_6800,klt,1,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat1/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat1/vins_env_manifest.txt,1542889046071847024,1,1542889047.417223254,1.3453762531280518,1542889047271770880,1.199923856,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",cfa13bce7d2d7d475c22f2e527f73d80b7c950dac5b9710c976d3e7247dd7574,cfa13bce7d2d7d475c22f2e527f73d80b7c950dac5b9710c976d3e7247dd7574,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
a09_6000_6800,klt,2,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat2/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat2/vins_env_manifest.txt,1542889046071847024,1,1542889047.419600703,1.3477537631988525,1542889047271770880,1.199923856,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",b3598c7dcc8c31d680c8e978c4fa63734c79f0e7f64ee1c225f31a825c75ff57,b3598c7dcc8c31d680c8e978c4fa63734c79f0e7f64ee1c225f31a825c75ff57,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
a09_6000_6800,klt,3,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat3/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a09_6000_6800/klt/repeat3/vins_env_manifest.txt,1542889046071847024,1,1542889047.427358563,1.3555116653442383,1542889047271770880,1.199923856,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",b078c2c34686931b4acb0c8c6ca620c6d6b74b4a7a7d2054b543b92c149e041f,b078c2c34686931b4acb0c8c6ca620c6d6b74b4a7a7d2054b543b92c149e041f,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
a02_0_900,klt,1,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat1/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat1/vins_env_manifest.txt,1542828791787420320,1,1542828794.798945878,3.0115253925323486,1542828794685281536,2.897861216,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",67e3f2080135ff06226d26f81a539f843a796eab9325fd3a18192ec62af59d81,67e3f2080135ff06226d26f81a539f843a796eab9325fd3a18192ec62af59d81,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
a02_0_900,klt,2,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat2/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat2/vins_env_manifest.txt,1542828791787420320,1,1542828794.798514318,3.011093854904175,1542828794685281536,2.897861216,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",b1168cde4b39a778d7446781fda5cb81d24d441e79f14d0d2b48cc3c979ba5e5,b1168cde4b39a778d7446781fda5cb81d24d441e79f14d0d2b48cc3c979ba5e5,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
a02_0_900,klt,3,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat3/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/klt/repeat3/vins_env_manifest.txt,1542828791787420320,1,1542828794.798784549,3.011363983154297,1542828794685281536,2.897861216,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",aea1e93837ba455613c90affce464e91e18f7bd155701b27c2fbb4d39d450069,aea1e93837ba455613c90affce464e91e18f7bd155701b27c2fbb4d39d450069,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
afrl_bus_s180_d045,klt,1,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat1/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat1/vins_env_manifest.txt,1494876659795710199,1,1494876662.490302028,2.694591760635376,1494876662027668224,2.231958025,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",82d35c20df3749c00ef232ebfb94b9231d0b79d4e1fe7b0b0dd6f4f4e7c17508,82d35c20df3749c00ef232ebfb94b9231d0b79d4e1fe7b0b0dd6f4f4e7c17508,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
afrl_bus_s180_d045,klt,2,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat2/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat2/vins_env_manifest.txt,1494876659795710199,1,1494876662.480126384,2.6844160556793213,1494876662027668224,2.231958025,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",59775afdaaea13f82cc0acfd029953a898564ae31264cc515090d1969f4f310e,59775afdaaea13f82cc0acfd029953a898564ae31264cc515090d1969f4f310e,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
afrl_bus_s180_d045,klt,3,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat3/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_bus_s180_d045/klt/repeat3/vins_env_manifest.txt,1494876659795710199,1,1494876662.480257625,2.684547185897827,1494876662027668224,2.231958025,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",eecb47951f2a451a18353ad95eb87a0978fd4f279256dfee17170925641552e7,eecb47951f2a451a18353ad95eb87a0978fd4f279256dfee17170925641552e7,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
a08_2700_3600,klt,1,REUSED_FROZEN_V2_REPLAY,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat1/vins_env_manifest.txt,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat1/vins_env_manifest.txt,1542885096173673520,1,1542885097.328384726,1.1547112464904785,1542885097172932864,0.999259344,Initialization log uses replay ROS clock; first VIO pose uses sensor timestamp. Neither is a per-ID residual receipt.,PASS,35,{},"{""rosbag"": [""/opt/ros/noetic/bin/rosbag"", ""/opt/ros/noetic/bin/rosbag""], ""roscore"": [""/opt/ros/noetic/bin/roscore"", ""/opt/ros/noetic/bin/roscore""], ""python3"": [""/usr/bin/python3"", ""/usr/bin/python3""]}",99ba48a468c60611dc1b726a5e7752cfbb62b34e0d65f6585afad8ed2329230c,99ba48a468c60611dc1b726a5e7752cfbb62b34e0d65f6585afad8ed2329230c,Recorded settings and present executable lookup; not a claim that transient PATH text or ROS port is byte-identical.
