window_id,run_slug,cell_id,source_arm,backend_role,backend_replays_completed,backend_repeats_pass,arm_window_status,init_repeats,pose_count_median,pose_count_range,trajectory_span_median_s,trajectory_span_range_s,coverage_median,coverage_range,failure_classes,feature_bag,feature_bag_sha256,canonical_config_sha256
aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,continuation_splg,learned_active,3,3/3,PASS,3,430.0,430–430,42.892948627,42.892948627–42.892948627,0.953328421,0.953328421–0.953328421,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/features.bag,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,continuation_xfeat,learned_active,3,3/3,PASS,3,430.0,430–430,42.892948627,42.892948627–42.892948627,0.953328421,0.953328421–0.953328421,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_acv1_a02_0_900_continuation_xfeat/features.bag,8973fddc448f8c56558884b4ce5bb625906f367a4a73f379b473770460fcaad0,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A02:0000,a02_0_900,klt,klt,fresh_klt,3,3/3,PASS,3,421.0,421–421,41.994505882,41.994505882–41.994505882,0.933359848,0.933359848–0.933359848,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_continuation_splg,continuation_splg,matched_classical,3,3/3,PASS,3,430.0,430–430,42.892948627,42.892948627–42.892948627,0.953328421,0.953328421–0.953328421,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/matched_controls/a02_0_900/continuation_splg/features_matched_gftt.bag,fff1c1a829024d7a8c89a6758a08ccedfb0bc76e9051461da5351de1744a098f,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_continuation_xfeat,continuation_xfeat,matched_classical,3,3/3,PASS,3,430.0,430–430,42.892948627,42.892948627–42.892948627,0.953328421,0.953328421–0.953328421,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/matched_controls/a02_0_900/continuation_xfeat/features_matched_gftt.bag,f36806e20ca10a1527b3982c1254ed1f925f8a5398373a74d7826961c63fe428,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,klt,fresh_klt,3,3/3,PASS,3,440.0,440–440,43.893621445,43.893621445–43.893621445,0.975551477,0.975551477–0.975551477,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a08_2700_3600_klt/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,continuation_xfeat,learned_active,3,3/3,PASS,3,388.0,388–388,38.693511248,38.693511248–38.693511248,0.967497266,0.967497266–0.967497266,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_acv1_a09_6000_6800_continuation_xfeat/features.bag,629db0467020a06635db8d2236150dc4fa921446c71326082f78be9df09a5845,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,klt,fresh_klt,3,3/3,PASS,3,388.0,388–388,38.693511248,38.693511248–38.693511248,0.967497266,0.967497266–0.967497266,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a09_6000_6800_klt/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,matched_gftt_for_continuation_xfeat,continuation_xfeat,matched_classical,3,3/3,PASS,3,388.0,388–388,38.693511248,38.693511248–38.693511248,0.967497266,0.967497266–0.967497266,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/matched_controls/a09_6000_6800/continuation_xfeat/features_matched_gftt.bag,4eda88ee2f04c7ce688489919a030c93815b0ed4e9c44a6618dbdc5141dc1d2e,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1
afrl:bus_outside:0004,afrl_bus_s180_d045,continuation_xfeat,continuation_xfeat,learned_active,3,3/3,PASS,3,267.0,267–267,42.405874968,42.405874968–42.405874968,0.944903697,0.944903697–0.944903697,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_acv1_afrl_bus_s180_d045_continuation_xfeat/features.bag,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1
