window_id,run_slug,role,arm,method,cell_status,integrity_pass,structural_pass,feature_messages,frontend_coverage,max_features,action_frames,admitted_sidecars,omitted_newborns,carried_observation_mismatches,learned_lineages,max_lineage_observations,lineages_with_at_least_four_observations,lineage_observations_json,byte_identical_to_klt,feature_bag,feature_bag_sha256,violations_json,lifecycle_events_sha256,lifecycle_frames_sha256
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,klt,klt,COMPLETE,True,True,400,0.9975062344139651,350,0,0,0,0,0,0,0,{},True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_acv1_a09_6000_6800_klt/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,{},41618758bab609c70b002d75224a579f066b7687b28aaef68d82b092d8c8786e,318b4b1f4103da8ea4f290a9c17d1889ec36379687efdd1eb66b574eb3fc3720
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,continuation_xfeat,hybrid_xfeat,COMPLETE,True,True,400,0.9975062344139651,350,11,11,11,0,1,11,1,"{""10000000"": 11}",False,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_acv1_a09_6000_6800_continuation_xfeat/features.bag,629db0467020a06635db8d2236150dc4fa921446c71326082f78be9df09a5845,{},ca37bb44a8d9ec82a7ded6ba83860f53cd79c6ba583bf9fd64ec20afc117a8db,609b6ea45a140b6f997ad7de47d1eb668f031caa51e5fa2fc06eb93d9b21c92c
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,continuation_splg,hybrid_superpoint_lightglue,COMPLETE,True,True,400,0.9975062344139651,350,0,0,0,0,0,0,0,{},True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a09_6000_6800_continuation_splg/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,{},41618758bab609c70b002d75224a579f066b7687b28aaef68d82b092d8c8786e,1b3e6ae2ee5686a42533ad8933813c9d064c96fcb9a7bd709c8c788d1b1dfebe
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,klt,klt,COMPLETE,True,True,450,0.9977827050997783,350,0,0,0,0,0,0,0,{},True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_acv1_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,{},41618758bab609c70b002d75224a579f066b7687b28aaef68d82b092d8c8786e,767a68f4d25c10605f8083bf5a7b2a039f8c26861464f2a032d3941890216800
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,continuation_xfeat,hybrid_xfeat,COMPLETE,True,True,450,0.9977827050997783,350,4,9,9,0,3,4,1,"{""10000000"": 4, ""10000001"": 3, ""10000002"": 2}",False,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_acv1_a02_0_900_continuation_xfeat/features.bag,8973fddc448f8c56558884b4ce5bb625906f367a4a73f379b473770460fcaad0,{},de7b9cde2608d57ccb28466656a1dff9b48b122c5ada37de508b0196af5b405a,b47167750009e1e5516e57f77b7207489d91c53ab75ee987089d5e1a73425785
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,continuation_splg,hybrid_superpoint_lightglue,COMPLETE,True,True,450,0.9977827050997783,350,4,11,11,0,5,4,1,"{""10000015"": 4, ""10000016"": 3, ""10000017"": 2, ""10000018"": 1, ""10000021"": 1}",False,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/features.bag,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,{},5279b7f9198e2e61ea707394f1cf42c212adc78043ba544fd053ddeaad514b00,d4272b0cffb8f6973bdc0fab271562c4af50cf91b83d57bea2de38e5f7a30aea
afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,klt,klt,COMPLETE,True,True,282,1.0,350,0,0,0,0,0,0,0,{},True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/afrl_cave_v31/external_klt_every2_acv1_afrl_bus_s180_d045_klt/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,{},41618758bab609c70b002d75224a579f066b7687b28aaef68d82b092d8c8786e,1c242cc5bfa15ab7b1f55fa76b7e0cf38013e19c7266d2043e468aceb648baa6
afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,continuation_xfeat,hybrid_xfeat,COMPLETE,True,True,282,1.0,350,1,2,2,0,2,1,0,"{""10000000"": 1, ""10000001"": 1}",False,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_acv1_afrl_bus_s180_d045_continuation_xfeat/features.bag,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,{},430bad3be481dbbcf652cd639fe48accf1ed4e23d01cffe153f2846e8fd4e773,72367f3781018cf4565c1fa2d95906d5020a6f5687902f440c00debf8b97230e
afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,continuation_splg,hybrid_superpoint_lightglue,COMPLETE,True,True,282,1.0,350,0,0,0,0,0,0,0,{},True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_acv1_afrl_bus_s180_d045_continuation_splg/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,{},41618758bab609c70b002d75224a579f066b7687b28aaef68d82b092d8c8786e,2996299301f9261f78f999aba421a391e62d1007f7e5c7c007c45c96f97d6cf8
aqualoc_archaeology:A08:0003,a08_2700_3600,stability_control,klt,klt,COMPLETE,True,True,450,0.9977827050997783,350,0,0,0,0,0,0,0,{},True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_acv1_a08_2700_3600_klt/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,{},41618758bab609c70b002d75224a579f066b7687b28aaef68d82b092d8c8786e,767a68f4d25c10605f8083bf5a7b2a039f8c26861464f2a032d3941890216800
