selected_feature_index,raw_id,public_id,event,reason,cumulative_published,source,raw_age,fb,ncc,quality
2,734,10000000,admit,frozen_v2_first_admission,1,xfeat_confirmed,5,0.07986517250537872,0.8635722398757935,0.11309189349412918
3,734,10000000,continue,valid_current_observation,2,xfeat_confirmed,7,0.07413873076438904,0.8461942672729492,0.11875254660844803
4,734,10000000,continue,valid_current_observation,3,xfeat_confirmed,9,0.04543398320674896,0.8277605772018433,0.12251245975494385
5,734,10000000,continue,valid_current_observation,4,xfeat_confirmed,11,0.02558297850191593,0.7675735950469971,0.1086929589509964
6,734,10000000,continue,valid_current_observation,5,xfeat_confirmed,13,0.03789340704679489,0.7803001403808594,0.11888426542282104
7,734,10000000,continue,valid_current_observation,6,xfeat_confirmed,15,0.08884090185165405,0.7819011807441711,0.12630759179592133
8,734,10000000,continue,valid_current_observation,7,xfeat_confirmed,17,0.06642274558544159,0.7699018120765686,0.12547262012958527
9,734,10000000,continue,valid_current_observation,8,xfeat_confirmed,19,0.034364745020866394,0.8101800680160522,0.16056440770626068
10,734,10000000,continue,valid_current_observation,9,xfeat_confirmed,21,0.10288268327713013,0.8137770295143127,0.16115285456180573
11,734,10000000,continue,valid_current_observation,10,xfeat_confirmed,23,0.03071621060371399,0.8198887705802917,0.16529658436775208
12,734,10000000,continue,valid_current_observation,11,xfeat_confirmed,25,0.17991790175437927,0.7614160776138306,0.11999570578336716
13,734,10000000,terminate,current_source_or_basic_quality_invalid,11,xfeat_confirmed,27,0.3539920449256897,0.7068070769309998,0.08278170973062515
