window_id,run_slug,arm,role,frontend_action,admitted_sidecars,omitted_newborns,feature_bag_sha256,backend_execution,mapped_backend_cell,independent_replays,mapped_replays,backend_repeats_pass,arm_window_status,init_repeats,pose_count_median,pose_count_range,coverage_median,coverage_range,accuracy_role
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,frontend_primary,False,0,0,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,388.0,388–388,0.967497266,0.967497266–0.967497266,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,frontend_primary,True,11,11,629db0467020a06635db8d2236150dc4fa921446c71326082f78be9df09a5845,INDEPENDENT_NEW_ADMISSION_CONTINUATION_REPLAY,continuation_xfeat,3,0,3/3,PASS,3,388.0,388–388,0.967497266,0.967497266–0.967497266,EVALUATE_IF_COMMON_SUPPORT
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_splg,frontend_primary,False,0,0,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,388.0,388–388,0.967497266,0.967497266–0.967497266,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A02:0000,a02_0_900,klt,frontend_primary,False,0,0,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,421.0,421–421,0.933359848,0.933359848–0.933359848,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,frontend_primary,True,9,9,8973fddc448f8c56558884b4ce5bb625906f367a4a73f379b473770460fcaad0,INDEPENDENT_NEW_ADMISSION_CONTINUATION_REPLAY,continuation_xfeat,3,0,3/3,PASS,3,430.0,430–430,0.953328421,0.953328421–0.953328421,EVALUATE_IF_COMMON_SUPPORT
aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,frontend_primary,True,11,11,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,INDEPENDENT_NEW_ADMISSION_CONTINUATION_REPLAY,continuation_splg,3,0,3/3,PASS,3,430.0,430–430,0.953328421,0.953328421–0.953328421,EVALUATE_IF_COMMON_SUPPORT
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,frontend_primary,False,0,0,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,267.0,267–267,0.944903697,0.944903697–0.944903697,EXACT_TIE_NO_ACTION
afrl:bus_outside:0004,afrl_bus_s180_d045,continuation_xfeat,frontend_primary,True,2,2,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,INDEPENDENT_NEW_ADMISSION_CONTINUATION_REPLAY,continuation_xfeat,3,0,3/3,PASS,3,267.0,267–267,0.944903697,0.944903697–0.944903697,EVALUATE_IF_COMMON_SUPPORT
afrl:bus_outside:0004,afrl_bus_s180_d045,continuation_splg,frontend_primary,False,0,0,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,267.0,267–267,0.944903697,0.944903697–0.944903697,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,frontend_primary,False,0,0,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,440.0,440–440,0.975551477,0.975551477–0.975551477,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A08:0003,a08_2700_3600,continuation_xfeat,frontend_primary,False,0,0,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,440.0,440–440,0.975551477,0.975551477–0.975551477,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A08:0003,a08_2700_3600,continuation_splg,frontend_primary,False,0,0,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,440.0,440–440,0.975551477,0.975551477–0.975551477,EXACT_TIE_NO_ACTION
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,frontend_primary,False,0,0,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EXACT_TIE_NO_ACTION
afrl:cemetery:0003,afrl_cemetery_s135_d045,continuation_xfeat,frontend_primary,False,0,0,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EXACT_TIE_NO_ACTION
afrl:cemetery:0003,afrl_cemetery_s135_d045,continuation_splg,frontend_primary,False,0,0,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EXACT_TIE_NO_ACTION
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,frontend_primary,False,0,0,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EXACT_TIE_NO_ACTION
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,continuation_xfeat,frontend_primary,False,0,0,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EXACT_TIE_NO_ACTION
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,continuation_splg,frontend_primary,False,0,0,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EXACT_TIE_NO_ACTION
