window_id,arm,status,independent_replays,matched_count,common_span_s,common_coverage,rpe_pairs,metrics_path,return_code,current_feature_bag_sha256,v2_feature_bag_sha256,byte_identical_frontend_to_v2,klt_fixed_se3_ape_rmse_m_median,klt_fixed_se3_ape_rmse_m_range,klt_fixed_se3_rpe_rmse_m_median,klt_fixed_se3_rpe_rmse_m_range,klt_sim3_scale_median,klt_sim3_scale_range,klt_sim3_ape_rmse_m_median,klt_sim3_ape_rmse_m_range,klt_sim3_rpe_rmse_m_median,klt_sim3_rpe_rmse_m_range,current_fixed_se3_ape_rmse_m_median,current_fixed_se3_ape_rmse_m_range,current_fixed_se3_rpe_rmse_m_median,current_fixed_se3_rpe_rmse_m_range,current_sim3_scale_median,current_sim3_scale_range,current_sim3_ape_rmse_m_median,current_sim3_ape_rmse_m_range,current_sim3_rpe_rmse_m_median,current_sim3_rpe_rmse_m_range,v2_fixed_se3_ape_rmse_m_median,v2_fixed_se3_ape_rmse_m_range,v2_fixed_se3_rpe_rmse_m_median,v2_fixed_se3_rpe_rmse_m_range,v2_sim3_scale_median,v2_sim3_scale_range,v2_sim3_ape_rmse_m_median,v2_sim3_ape_rmse_m_range,v2_sim3_rpe_rmse_m_median,v2_sim3_rpe_rmse_m_range
aqualoc_archaeology:A09:historical_6000_6800,continuation_xfeat,PASS,0,38,37.0,0.95,37,v2_common_support/a09_6000_6800__continuation_xfeat/common_support_metrics.csv,0,629db0467020a06635db8d2236150dc4fa921446c71326082f78be9df09a5845,b60fac4979fb2e0103f1c8470f80f88513bd5e50511dbcb3a0ec1fcbd89ef62e,False,1242.140001754619,1242.12311..1242.17542,150.84681657767342,150.841876..150.849294,0.0014739942969592388,0.00147395805..0.00147402182,1.2705402225068914,1.27053702..1.27055051,0.2245001479064606,0.224499138..0.224502329,0.641289655973182,0.640373879..0.641524377,0.061445065994065275,0.0613758113..0.0614458432,0.7775991712430103,0.777543992..0.777843131,0.06742121513912458,0.067199366..0.0677556804,0.019120557295266627,0.0190876242..0.0191872608,0.7324143279267064,0.732157074..0.732440572,0.0735633917026871,0.0735089569..0.0735898488,0.7531806409211953,0.753176026..0.753248761,0.04768177195401677,0.0475415285..0.0477132814,0.01849770659610429,0.0184780216..0.0185119487
aqualoc_archaeology:A09:historical_6000_6800,continuation_splg,EXACT_KLT_MAPPING_NO_ACTION,0,,,,,,,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqualoc_archaeology:A02:0000,continuation_xfeat,PASS,0,42,41.0,0.9333333333333333,41,v2_common_support/a02_0_900__continuation_xfeat/common_support_metrics.csv,0,8973fddc448f8c56558884b4ce5bb625906f367a4a73f379b473770460fcaad0,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,False,0.14131658509253395,0.141052409..0.142193617,0.022696850881355115,0.0226910125..0.0227021107,0.8986341516692359,0.897895778..0.898855849,0.06077367332004901,0.0606358261..0.0608113136,0.017402114901302543,0.0173288345..0.0174106353,0.9792354211183302,0.95397499..0.979635242,0.09162275771465543,0.0889951171..0.0916291881,0.5363633845566569,0.5362615..0.542855251,0.03354291095619321,0.0302807217..0.0336558714,0.017808870161161016,0.0170746496..0.0178339696,1.0917543618166243,1.08981254..1.09177373,0.10429676813334873,0.104181567..0.104385376,0.5092137562908691,0.509209488..0.509659471,0.04734751726443776,0.0473232032..0.0475936961,0.019026847451543705,0.018939791..0.0190678635
aqualoc_archaeology:A02:0000,continuation_splg,PASS,0,42,41.0,0.9333333333333333,41,v2_common_support/a02_0_900__continuation_splg/common_support_metrics.csv,0,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,False,0.14131658509253395,0.141052409..0.142193617,0.022696850881355115,0.0226910125..0.0227021107,0.8986341516692359,0.897895778..0.898855849,0.06077367332004901,0.0606358261..0.0608113136,0.017402114901302543,0.0173288345..0.0174106353,0.9965793094528645,0.991746529..1.01623729,0.09240329283067247,0.0919849932..0.0946470387,0.5319848002407901,0.527114501..0.533196145,0.031014931508251478,0.0309930665..0.0313904748,0.017951061668280716,0.0178811234..0.0181811691,1.1138290031311506,1.10699829..1.12822591,0.104367784033892,0.10416522..0.10469547,0.504200783382783,0.500984506..0.505741497,0.04657208952307236,0.0447452083..0.0472147526,0.01951009639374456,0.0170159133..0.0197075361
afrl:bus_outside:0004,continuation_xfeat,PASS,0,42,41.0,0.9333333333333333,41,v2_common_support/afrl_bus_s180_d045__continuation_xfeat/common_support_metrics.csv,0,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,True,0.06010874666198525,0.0601087467..0.0601087467,0.03721830922592327,0.0372183092..0.0372183092,0.9561064464308695,0.956106446..0.956106446,0.04528840980910515,0.0452884098..0.0452884098,0.03582772009289516,0.0358277201..0.0358277201,0.0427942124807622,0.0427942125..0.0652867002,0.026724813380849685,0.0267248134..0.0270919022,0.9728680530369359,0.938628928..0.972868053,0.035415924557395596,0.0330130621..0.0354159246,0.026057271543087488,0.0253802284..0.0260572715,0.0427942124807622,0.0427942125..0.0487005371,0.026724813380849685,0.0267248134..0.0282053381,0.9728680530369359,0.955954874..0.972868053,0.035415924557395596,0.0282090555..0.0354159246,0.026057271543087488,0.0260572715..0.0267551321
afrl:bus_outside:0004,continuation_splg,EXACT_KLT_MAPPING_NO_ACTION,0,,,,,,,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqualoc_archaeology:A08:0003,continuation_xfeat,EXACT_KLT_MAPPING_NO_ACTION,0,,,,,,,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqualoc_archaeology:A08:0003,continuation_splg,EXACT_KLT_MAPPING_NO_ACTION,0,,,,,,,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afrl:cemetery:0003,continuation_xfeat,EXACT_KLT_MAPPING_NO_ACTION,0,,,,,,,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afrl:cemetery:0003,continuation_splg,EXACT_KLT_MAPPING_NO_ACTION,0,,,,,,,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqualoc_harbor:H07:historical_0_1000,continuation_xfeat,EXACT_KLT_MAPPING_NO_ACTION,0,,,,,,,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqualoc_harbor:H07:historical_0_1000,continuation_splg,EXACT_KLT_MAPPING_NO_ACTION,0,,,,,,,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
