B_feature_coverage_median,B_APE_min,B_APE_median,B_APE_max,B_RPE_min,B_RPE_median,B_RPE_max,B_fitted_scale_min,B_fitted_scale_median,B_fitted_scale_max,B_unusual_repeat_instability,B_first_pose_delay_from_reference_start_s_min,B_first_pose_delay_from_reference_start_s_median,B_first_pose_delay_from_reference_start_s_max,B_trajectory_coverage_min,B_trajectory_coverage_median,B_trajectory_coverage_max,B_trajectory_length_m_min,B_trajectory_length_m_median,B_trajectory_length_m_max,B_received_candidate_min,B_received_candidate_median,B_received_candidate_max,B_residual_candidate_min,B_residual_candidate_median,B_residual_candidate_max,B_received_candidate_unique_ids_min,B_received_candidate_unique_ids_median,B_received_candidate_unique_ids_max,B_eligible_candidate_unique_ids_min,B_eligible_candidate_unique_ids_median,B_eligible_candidate_unique_ids_max,B_max_actual_eligible_min,B_max_actual_eligible_median,B_max_actual_eligible_max,B_reset_count_proxy_min,B_reset_count_proxy_median,B_reset_count_proxy_max,B_failure_detection_count_min,B_failure_detection_count_median,B_failure_detection_count_max,B_initialization_count_min,B_initialization_count_median,B_initialization_count_max,B_initialization_visual_imu_misalignment_count_min,B_initialization_visual_imu_misalignment_count_median,B_initialization_visual_imu_misalignment_count_max,B_wall_s_min,B_wall_s_median,B_wall_s_max,B_lost_tracking_count,window_id,arm,C-all_APE_min,C-all_APE_median,C-all_APE_max,C-all_RPE_min,C-all_RPE_median,C-all_RPE_max,C-all_fitted_scale_min,C-all_fitted_scale_median,C-all_fitted_scale_max,C-all_unusual_repeat_instability,C-all_first_pose_delay_from_reference_start_s_min,C-all_first_pose_delay_from_reference_start_s_median,C-all_first_pose_delay_from_reference_start_s_max,C-all_trajectory_coverage_min,C-all_trajectory_coverage_median,C-all_trajectory_coverage_max,C-all_trajectory_length_m_min,C-all_trajectory_length_m_median,C-all_trajectory_length_m_max,C-all_received_candidate_min,C-all_received_candidate_median,C-all_received_candidate_max,C-all_residual_candidate_min,C-all_residual_candidate_median,C-all_residual_candidate_max,C-all_received_candidate_unique_ids_min,C-all_received_candidate_unique_ids_median,C-all_received_candidate_unique_ids_max,C-all_eligible_candidate_unique_ids_min,C-all_eligible_candidate_unique_ids_median,C-all_eligible_candidate_unique_ids_max,C-all_max_actual_eligible_min,C-all_max_actual_eligible_median,C-all_max_actual_eligible_max,C-all_reset_count_proxy_min,C-all_reset_count_proxy_median,C-all_reset_count_proxy_max,C-all_failure_detection_count_min,C-all_failure_detection_count_median,C-all_failure_detection_count_max,C-all_initialization_count_min,C-all_initialization_count_median,C-all_initialization_count_max,C-all_initialization_visual_imu_misalignment_count_min,C-all_initialization_visual_imu_misalignment_count_median,C-all_initialization_visual_imu_misalignment_count_max,C-all_wall_s_min,C-all_wall_s_median,C-all_wall_s_max,C-all_lost_tracking_count
0.75,0.11475252946221912,0.15503676546374676,0.15503676546374676,0.015996718948421352,0.02065735888120789,0.02065735888120789,0.7467274209615924,0.7467274209615924,0.7997082850799982,True,6.248062001424842,6.248062001424842,6.248062001424842,0.857973386935743,0.857973386935743,0.857973386935743,2.880910553693888,3.0931938421193226,3.0931938421193226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,428.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,64.89863620400138,64.9412073269923,65.04407479999645,Unknown; reset/failure-detection log proxies reported separately,coe1_a01_00000_00900,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coe1_a01_00000_00900,C-all,0.510392945589375,0.5549809329752206,0.6581142010243455,0.06459961783189717,0.07012690482470563,0.08328331497235274,0.4090312524650379,0.4508408802117092,0.47166706947041326,True,7.24869457737077,7.24869457737077,7.24869457737077,0.8352277010493107,0.8352277010493107,0.8352277010493107,4.728445841815379,4.9575666272315875,5.523328852982496,50545.0,50545.0,50545.0,374181.0,374181.0,374376.0,1017.0,1017.0,1017.0,611.0,611.0,611.0,610.0,610.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,7.0,64.92646146399784,64.94202990799386,64.9527550109924,Unknown; reset/failure-detection log proxies reported separately
0.75,0.854466500629859,0.85802845856276,0.861665143310772,0.07863311434196092,0.07895172152447641,0.07921606070521812,2.295421723376901,2.307924827937198,2.3210778374624774,False,1.2501735002733767,1.2501735002733767,1.2501735002733767,0.9715824039817385,0.9715824039817385,0.9715824039817385,2.574116349552583,2.587806616363918,2.6207666337579933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,431.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.87911754699599,64.98560254499898,65.03248588799033,Unknown; reset/failure-detection log proxies reported separately,coe1_a03_00000_00900,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coe1_a03_00000_00900,C-all,2781.316909806001,2854.463479847713,2867.0441884824954,270.9358152546523,277.2866615167125,278.4891607033578,0.0004955193477427575,0.0004976604851431758,0.0005099990551650193,False,1.2501735002733767,1.2501735002733767,1.2501735002733767,0.9715824039817385,0.9715824039817385,0.9715824039817385,10298.76120480512,10427.250537424528,10478.135620743726,46104.0,46104.0,46104.0,45360.0,45540.0,48157.0,2646.0,2646.0,2646.0,1714.0,1716.0,1717.0,427.0,444.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.93352870600938,64.93531966900628,65.02839760399365,Unknown; reset/failure-detection log proxies reported separately
0.8333333333333334,743.1541356268849,743.1541356268849,837.5523761962478,90.42474185780364,90.42474185780364,102.93430868786272,0.0009194845638862632,0.0010357636486825505,0.0010357636486825505,True,4.748618713347241,4.748618713347241,4.748618713347241,0.8920581097480205,0.8920581097480205,0.8920581097480205,2744.389573771701,2744.389573771701,3097.2422931326914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,371.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,64.9327907429979,64.93607592998887,64.98459135899611,Unknown; reset/failure-detection log proxies reported separately,coe1_a04_00000_00900,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coe1_a04_00000_00900,C-all,0.11378774096582227,0.11379938463619918,0.11380400199997948,0.13762984198238962,0.13763328463362753,0.13763493785231626,0.9582738980804749,0.9582814375041945,0.958289343962432,False,7.648393945302814,7.648393945302814,7.648393945302814,0.8261426849186132,0.8261426849186132,0.8261426849186132,6.281896392119135,6.2820528469279155,6.282096981098231,57373.0,57373.0,57373.0,272776.0,272776.0,272776.0,4843.0,4843.0,4843.0,1731.0,1731.0,1731.0,564.0,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,64.8291037529998,64.83110298200336,64.91658298099355,Unknown; reset/failure-detection log proxies reported separately
0.8333333333333334,,,,,,,,,,,-15.64649493759498,-15.64649493759498,-15.64649493759498,1.0,1.0,1.0,1.1241582744749983,1.1283587746777215,1.1294108366998223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,64.8806425560033,64.88945465398137,64.93701944101485,Unknown; reset/failure-detection log proxies reported separately,coe1_a05_00000_00900,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coe1_a05_00000_00900,C-all,,,,,,,,,,,-15.64649493759498,-15.64649493759498,-15.64649493759498,1.0,1.0,1.0,1.1355274792005843,1.1361655132825277,1.1588647705248345,4442.0,4442.0,4442.0,13520.0,13568.0,13568.0,1195.0,1195.0,1195.0,179.0,180.0,180.0,412.0,412.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,64.83391728898278,64.901405659999,65.03488568699686,Unknown; reset/failure-detection log proxies reported separately
0.8333333333333334,2.050386302430371,151.7859555274874,183.49158905443872,0.3421133574436045,19.136619050862098,22.941066292875675,0.020240947377956644,0.02429106506624933,1.3291028914325382,True,4.4498960812343284,4.4498960812343284,4.4498960812343284,0.8988544942180036,0.8988544942180036,0.8988544942180036,8.50427459520261,617.175211678463,740.0358155841773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,402.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22.0,22.0,22.0,64.88871289900271,64.89030247100163,65.02920225300477,Unknown; reset/failure-detection log proxies reported separately,coe1_a06_00000_00900,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coe1_a06_00000_00900,C-all,0.9489183656105699,0.9507264614311441,0.9703758132220122,0.18486292661751774,0.18700599507054602,0.18711185327893406,0.8612414939192458,0.8698235129741972,0.870252654013143,False,6.44947316928301,6.44947316928301,6.44947316928301,0.8534043910630833,0.8534043910630833,0.8534043910630833,16.496304432427284,16.502945075133123,16.75541341040794,6697.0,6697.0,6697.0,14772.0,14772.0,14772.0,1275.0,1275.0,1275.0,250.0,250.0,250.0,486.0,487.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31.0,31.0,31.0,64.78688969399082,64.7893455309968,64.88716861701687,Unknown; reset/failure-detection log proxies reported separately
