window_id,sequence,batch,heldout_scope,broader_history_status,known_overlapping_intervals,boundary_only_possible_inclusive_endpoint,changes_selection,changes_frozen_classification,scientific_boundary
coe1_a01_00000_00900,A01,A,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a01_00900_01800,A01,B,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a03_00000_00900,A03,A,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""A03"", ""start"": 0, ""end"": 900, ""evidence"": ""papers/frontend_same_backend_confirmatory_v3/candidate_windows.csv:6"", ""role"": ""prior_confirmatory_registered_window_and_known_project_use""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a03_00900_01800,A03,B,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],"[{""sequence"": ""A03"", ""start"": 0, ""end"": 900, ""evidence"": ""papers/frontend_same_backend_confirmatory_v3/candidate_windows.csv:6"", ""role"": ""prior_confirmatory_registered_window_and_known_project_use""}]",False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a04_00000_00900,A04,A,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a04_00900_01800,A04,B,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a05_00000_00900,A05,A,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""A05"", ""start"": 0, ""end"": 400, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:229"", ""role"": ""recorded_prior_VINS_exposure""}, {""sequence"": ""A05"", ""start"": 550, ""end"": 900, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:240"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a05_00900_01800,A05,B,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""A05"", ""start"": 1200, ""end"": 1600, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:230"", ""role"": ""recorded_prior_VINS_exposure""}, {""sequence"": ""A05"", ""start"": 1600, ""end"": 2000, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:231"", ""role"": ""recorded_prior_VINS_exposure""}]","[{""sequence"": ""A05"", ""start"": 550, ""end"": 900, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:240"", ""role"": ""recorded_prior_VINS_exposure""}]",False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a06_00000_00900,A06,A,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""A06"", ""start"": 0, ""end"": 400, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:241"", ""role"": ""recorded_prior_VINS_exposure""}, {""sequence"": ""A06"", ""start"": 400, ""end"": 800, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:262"", ""role"": ""recorded_prior_VINS_exposure""}, {""sequence"": ""A06"", ""start"": 800, ""end"": 1200, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:263"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a06_00900_01800,A06,B,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""A06"", ""start"": 1200, ""end"": 1600, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:242"", ""role"": ""recorded_prior_VINS_exposure""}, {""sequence"": ""A06"", ""start"": 1600, ""end"": 2000, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:245"", ""role"": ""recorded_prior_VINS_exposure""}, {""sequence"": ""A06"", ""start"": 800, ""end"": 1200, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:263"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a07_00000_00900,A07,A,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""A07"", ""start"": 400, ""end"": 800, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:269"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a07_00900_01800,A07,B,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a10_00000_00900,A10,A,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""A10"", ""start"": 0, ""end"": 400, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:339"", ""role"": ""recorded_prior_VINS_exposure""}, {""sequence"": ""A10"", ""start"": 400, ""end"": 800, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:348"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_a10_00900_01800,A10,B,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""A10"", ""start"": 1200, ""end"": 1600, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:340"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_h01_00000_00900,H01,A,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_h01_00900_01800,H01,B,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""H01"", ""start"": 1200, ""end"": 1600, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:361"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_h02_00000_00900,H02,A,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""H02"", ""start"": 800, ""end"": 1200, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:373"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_h02_00900_01800,H02,B,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""H02"", ""start"": 1200, ""end"": 1600, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:368"", ""role"": ""recorded_prior_VINS_exposure""}, {""sequence"": ""H02"", ""start"": 800, ""end"": 1200, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:373"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_h03_00000_00900,H03,A,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_h03_00900_01800,H03,B,six_C_all_development_windows,NO_INTERIOR_OVERLAP_IN_TWO_CHECKED_MANIFESTS_NOT_PROOF_OF_GLOBAL_UNSEEN,[],[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
coe1_h04_00000_00900,H04,A,six_C_all_development_windows,CONFIRMED_PRIOR_PROJECT_INTERVAL_OVERLAP,"[{""sequence"": ""H04"", ""start"": 800, ""end"": 1200, ""evidence"": ""papers/ieee_sensors_journal_experiments/history_exclusion_manifest.csv:378"", ""role"": ""recorded_prior_VINS_exposure""}]",[],False,False,prospective fixed-C comparison outside its six development windows; not globally unseen physical data
