window_id,run_slug,arm,repeat,status,wall_s,peak_node_rss_bytes,feature_bag_sha256,binary_sha256,run_dir,receipt_emitted_at,exact_wall_clock_start,initialization_count,failure_detection_count,initialization_visual_imu_misalignment_count,initialization_sfm_solver_timing,reset_count_proxy,lost_tracking_count,initialization_log_first,initialization_finish_first_ros_clock_s,received_KLT,received_KLT_unique_ids,received_candidate,received_candidate_unique_ids,eligible_KLT,eligible_KLT_unique_ids,eligible_candidate,eligible_candidate_unique_ids,residual_KLT,residual_KLT_unique_ids,residual_candidate,residual_candidate_unique_ids,solver_calls,solver_near_time_limit_count,solver_at_or_above_time_limit_count,solver_total_s,solver_mean_s,solver_near_limit_fraction,solver_at_or_above_limit_fraction,solver_budget_histogram_json,solver_iteration_histogram_json,solver_termination_integer_histogram_json,exact_solver_stop_reason,solver_diagnostic_scope,max_solver_s,max_actual_eligible,received_complete,reference_start_sensor_s,poses,trajectory_coverage,trajectory_length_m,first_pose_sensor_s,first_pose_delay_from_reference_start_s,runability,received_per_id_exact,APE,RPE,fitted_scale
coe1_a01_00000_00900,coe1_a01_00000_00900,B,1,COMPLETE,64.89863620400138,104419328,6625d495b4ac1cad4193a19b1a9c5144e8183347e7ea2672c9d570ac4b98d097,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a01_00000_00900/B/repeat1,2026-09-07T18:54:28.572486+00:00,Unknown,1,0,2,Unknown,0,Unknown,"[ INFO] [1788807220.469552194, 1542827798.330780730]: Initialization finish!",1542827798.330780730,157500,1561,0,0,148286,839,0,0,1289235,839,0,0,388,55,44,11.810241603999998,0.03043876702061855,0.14175257731958762,0.1134020618556701,"{""0.032000000"": 47, ""0.040000000"": 341}","{""3"": 215, ""4"": 134, ""5"": 15, ""6"": 16, ""8"": 2, ""9"": 6}","{""0"": 357, ""1"": 31}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.047243433,428,True,1542827791.8495636,388,0.857973386935743,2.880910553693888,1542827798.0976256,6.248062001424842,PASS,True,0.11475252946221912,0.015996718948421352,0.7997082850799982
coe1_a01_00000_00900,coe1_a01_00000_00900,B,2,COMPLETE,65.04407479999645,107274240,6625d495b4ac1cad4193a19b1a9c5144e8183347e7ea2672c9d570ac4b98d097,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a01_00000_00900/B/repeat2,2026-09-07T18:55:34.419235+00:00,Unknown,1,0,2,Unknown,0,Unknown,"[ INFO] [1788807286.172932176, 1542827798.329699611]: Initialization finish!",1542827798.329699611,157500,1561,0,0,148342,839,0,0,1289809,839,0,0,388,61,48,11.989883017999997,0.030901760355670094,0.15721649484536082,0.12371134020618557,"{""0.032000000"": 47, ""0.040000000"": 341}","{""3"": 204, ""4"": 145, ""5"": 15, ""6"": 16, ""7"": 1, ""8"": 1, ""9"": 6}","{""0"": 358, ""1"": 30}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.047124489,428,True,1542827791.8495636,388,0.857973386935743,3.0931938421193226,1542827798.0976256,6.248062001424842,PASS,True,0.15503676546374676,0.02065735888120789,0.7467274209615924
coe1_a01_00000_00900,coe1_a01_00000_00900,B,3,COMPLETE,64.9412073269923,107880448,6625d495b4ac1cad4193a19b1a9c5144e8183347e7ea2672c9d570ac4b98d097,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a01_00000_00900/B/repeat3,2026-09-07T18:56:40.070349+00:00,Unknown,1,0,2,Unknown,0,Unknown,"[ INFO] [1788807351.915361348, 1542827798.329540100]: Initialization finish!",1542827798.329540100,157500,1561,0,0,148342,839,0,0,1289809,839,0,0,388,59,47,11.92497423700001,0.030734469682989714,0.15206185567010308,0.1211340206185567,"{""0.032000000"": 47, ""0.040000000"": 341}","{""3"": 204, ""4"": 145, ""5"": 15, ""6"": 16, ""7"": 1, ""8"": 1, ""9"": 6}","{""0"": 359, ""1"": 29}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.04680001,428,True,1542827791.8495636,388,0.857973386935743,3.0931938421193226,1542827798.0976256,6.248062001424842,PASS,True,0.15503676546374676,0.02065735888120789,0.7467274209615924
coe1_a01_00000_00900,coe1_a01_00000_00900,C-all,1,COMPLETE,64.94202990799386,116310016,b69d4b9054156934587a41137cc893ba0b37e6b1922e9716eb7ad34b63e8068b,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a01_00000_00900/C-all/repeat1,2026-09-07T18:57:45.732731+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1788807418.888206148, 1542827799.696924251]: Initialization finish!",1542827799.696924251,157500,1561,50545,1017,144455,839,55715,611,1254070,839,374181,611,378,326,291,15.653352077999998,0.041410984333333324,0.8624338624338624,0.7698412698412699,"{""0.032000000"": 47, ""0.040000000"": 331}","{""3"": 15, ""4"": 145, ""5"": 154, ""6"": 13, ""7"": 7, ""8"": 7, ""9"": 37}","{""0"": 99, ""1"": 279}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.054863734,610,True,1542827791.8495636,378,0.8352277010493107,4.9575666272315875,1542827799.098258176,7.24869457737077,PASS,True,0.5549809329752206,0.07012690482470563,0.4508408802117092
coe1_a01_00000_00900,coe1_a01_00000_00900,C-all,2,COMPLETE,64.9527550109924,116903936,b69d4b9054156934587a41137cc893ba0b37e6b1922e9716eb7ad34b63e8068b,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a01_00000_00900/C-all/repeat2,2026-09-07T18:58:51.456620+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1788807484.669191720, 1542827799.707634573]: Initialization finish!",1542827799.707634573,157500,1561,50545,1017,144473,839,55754,611,1254169,839,374376,611,378,285,229,15.008855795000004,0.03970596771164022,0.753968253968254,0.6058201058201058,"{""0.032000000"": 47, ""0.040000000"": 331}","{""3"": 28, ""4"": 150, ""5"": 115, ""6"": 7, ""7"": 7, ""8"": 5, ""9"": 66}","{""0"": 140, ""1"": 238}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050984318,610,True,1542827791.8495636,378,0.8352277010493107,5.523328852982496,1542827799.098258176,7.24869457737077,PASS,True,0.6581142010243455,0.08328331497235274,0.4090312524650379
coe1_a01_00000_00900,coe1_a01_00000_00900,C-all,3,COMPLETE,64.92646146399784,116174848,b69d4b9054156934587a41137cc893ba0b37e6b1922e9716eb7ad34b63e8068b,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a01_00000_00900/C-all/repeat3,2026-09-07T18:59:57.122730+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1788807550.300209114, 1542827799.707241405]: Initialization finish!",1542827799.707241405,157500,1561,50545,1017,144472,839,55715,611,1254182,839,374181,611,378,308,278,15.339896186,0.040581735941798945,0.8148148148148148,0.7354497354497355,"{""0.032000000"": 47, ""0.040000000"": 331}","{""3"": 16, ""4"": 115, ""5"": 170, ""6"": 20, ""7"": 8, ""8"": 3, ""9"": 46}","{""0"": 97, ""1"": 281}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050782312,610,True,1542827791.8495636,378,0.8352277010493107,4.728445841815379,1542827799.098258176,7.24869457737077,PASS,True,0.510392945589375,0.06459961783189717,0.47166706947041326
coe1_a03_00000_00900,coe1_a03_00000_00900,B,1,COMPLETE,64.98560254499898,101621760,7e4855bead748425c7c89ca449c6694b2a37dfb19112160347f02e37f4d59630,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a03_00000_00900/B/repeat1,2026-09-07T19:15:57.000763+00:00,Unknown,1,0,0,Unknown,0,Unknown,"[ INFO] [1788808503.871419238, 1542831049.599613098]: Initialization finish!",1542831049.599613098,157500,3364,0,0,173721,2490,0,0,1440564,2490,0,0,438,124,98,13.439101158999994,0.030682879358447476,0.2831050228310502,0.2237442922374429,"{""0.032000000"": 161, ""0.040000000"": 277}","{""3"": 199, ""4"": 75, ""5"": 28, ""6"": 24, ""7"": 10, ""8"": 11, ""9"": 91}","{""0"": 283, ""1"": 155}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.046740837,431,True,1542831048.068009,438,0.9715824039817385,2.587806616363918,1542831049.3181824,1.2501735002733767,PASS,True,0.85802845856276,0.07895172152447641,2.307924827937198
coe1_a03_00000_00900,coe1_a03_00000_00900,B,2,COMPLETE,64.87911754699599,101056512,7e4855bead748425c7c89ca449c6694b2a37dfb19112160347f02e37f4d59630,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a03_00000_00900/B/repeat2,2026-09-07T19:17:02.618079+00:00,Unknown,1,0,0,Unknown,0,Unknown,"[ INFO] [1788808569.595390781, 1542831049.599966291]: Initialization finish!",1542831049.599966291,157500,3364,0,0,173661,2490,0,0,1439551,2490,0,0,438,120,104,13.416152512999986,0.030630485189497684,0.273972602739726,0.2374429223744292,"{""0.032000000"": 161, ""0.040000000"": 277}","{""2"": 1, ""3"": 208, ""4"": 76, ""5"": 24, ""6"": 32, ""7"": 13, ""8"": 19, ""9"": 65}","{""0"": 301, ""1"": 137}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.045553969,431,True,1542831048.068009,438,0.9715824039817385,2.6207666337579933,1542831049.3181824,1.2501735002733767,PASS,True,0.854466500629859,0.07863311434196092,2.295421723376901
coe1_a03_00000_00900,coe1_a03_00000_00900,B,3,COMPLETE,65.03248588799033,102408192,7e4855bead748425c7c89ca449c6694b2a37dfb19112160347f02e37f4d59630,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a03_00000_00900/B/repeat3,2026-09-07T19:18:08.368453+00:00,Unknown,1,0,0,Unknown,0,Unknown,"[ INFO] [1788808635.208724027, 1542831049.630056146]: Initialization finish!",1542831049.630056146,157500,3364,0,0,173726,2490,0,0,1440639,2490,0,0,438,113,92,13.326448825999996,0.030425682251141544,0.2579908675799087,0.2100456621004566,"{""0.032000000"": 161, ""0.040000000"": 277}","{""3"": 215, ""4"": 78, ""5"": 31, ""6"": 28, ""7"": 11, ""8"": 9, ""9"": 66}","{""0"": 307, ""1"": 131}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.047953955,431,True,1542831048.068009,438,0.9715824039817385,2.574116349552583,1542831049.3181824,1.2501735002733767,PASS,True,0.861665143310772,0.07921606070521812,2.3210778374624774
coe1_a03_00000_00900,coe1_a03_00000_00900,C-all,1,COMPLETE,65.02839760399365,90775552,fbf8a0cdea2c2807228a2d4df6230edb28ce76b631f33427714abbf99c19acc5,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_classical_opportunity_expansion_v1/backend/coe1_a03_00000_00900/C-all/repeat1,2026-09-07T19:19:14.108671+00:00,Unknown,1,0,0,Unknown,0,Unknown,"[ INFO] [1788808700.936458700, 1542831049.609787251]: Initialization finish!",1542831049.609787251,157500,3364,46104,2646,40204,2494,11295,1717,183601,2494,48157,1717,438,15,14,4.780451253,0.010914272267123288,0.03424657534246575,0.0319634703196347,"{""0.032000000"": 209, ""0.040000000"": 229}","{""3"": 2, ""4"": 6, ""5"": 9, ""6"": 16, ""7"": 18, ""8"": 16, ""9"": 371}","{""0"": 59, ""1"": 379}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.046006406,427,True,1542831048.068009,438,0.9715824039817385,10298.76120480512,1542831049.3181824,1.2501735002733767,PASS,True,2781.316909806001,270.9358152546523,0.0005099990551650193
