timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1542827791.8495636,1,0,0,0,0,0,0,0,-1
1542827792.8495636,1,0,0,0,0,0,0,0,-1
1542827793.8495636,1,0,0,0,0,0,0,0,-1
1542827794.8495636,1,0,0,0,0,0,0,0,-1
1542827795.8495636,1,0,0,0,0,0,0,0,-1
1542827796.8495636,1,0,0,0,0,0,0,0,-1
1542827797.8495636,1,0,0,0,0,0,0,0,-1
1542827798.8495636,1,0,0,0,1,1,1,0,-1
1542827799.8495636,1,1,1,1,1,1,1,1,0
1542827800.8495636,1,1,1,1,1,1,1,1,0
1542827801.8495636,1,1,1,1,1,1,1,1,0
1542827802.8495636,1,1,1,1,1,1,1,1,0
1542827803.8495636,1,1,1,1,1,1,1,1,0
1542827804.8495636,1,1,1,1,1,1,1,1,0
1542827805.8495636,1,1,1,1,1,1,1,1,0
1542827806.8495636,1,1,1,1,1,1,1,1,0
1542827807.8495636,1,1,1,1,1,1,1,1,0
1542827808.8495636,1,1,1,1,1,1,1,1,0
1542827809.8495636,1,1,1,1,1,1,1,1,0
1542827810.8495636,1,1,1,1,1,1,1,1,0
1542827811.8495636,1,1,1,1,1,1,1,1,0
1542827812.8495636,1,1,1,1,1,1,1,1,0
1542827813.8495636,1,1,1,1,1,1,1,1,0
1542827814.8495636,1,1,1,1,1,1,1,1,0
1542827815.8495636,1,1,1,1,1,1,1,1,0
1542827816.8495636,1,1,1,1,1,1,1,1,0
1542827817.8495636,1,1,1,1,1,1,1,1,0
1542827818.8495636,1,1,1,1,1,1,1,1,0
1542827819.8495636,1,1,1,1,1,1,1,1,0
1542827820.8495636,1,1,1,1,1,1,1,1,0
1542827821.8495636,1,1,1,1,1,1,1,1,0
1542827822.8495636,1,1,1,1,1,1,1,1,0
1542827823.8495636,1,1,1,1,1,1,1,1,0
1542827824.8495636,1,1,1,1,1,1,1,1,0
1542827825.8495636,1,1,1,1,1,1,1,1,0
1542827826.8495636,1,1,1,1,1,1,1,1,0
1542827827.8495636,1,1,1,1,1,1,1,1,0
1542827828.8495636,1,1,1,1,1,1,1,1,0
1542827829.8495636,1,1,1,1,1,1,1,1,0
1542827830.8495636,1,1,1,1,1,1,1,1,0
1542827831.8495636,1,1,1,1,1,1,1,1,0
1542827832.8495636,1,1,1,1,1,1,1,1,0
1542827833.8495636,1,1,1,1,1,1,1,1,0
1542827834.8495636,1,1,1,1,1,1,1,1,0
