timestamp,reference_valid,C-all_r1_valid,C-all_r2_valid,C-all_r3_valid,B_r1_valid,B_r2_valid,B_r3_valid,common_valid,segment_id
1523958586.9025872,1,0,0,0,0,0,0,0,-1
1523958587.9025872,1,0,0,0,0,0,0,0,-1
1523958588.9025872,1,1,1,1,0,0,0,0,-1
1523958589.9025872,1,1,1,1,0,0,0,0,-1
1523958590.9025872,1,1,1,1,1,1,1,1,0
1523958591.9025872,1,1,1,1,1,1,1,1,0
1523958592.9025872,1,1,1,1,1,1,1,1,0
1523958593.9025872,1,1,1,1,1,1,1,1,0
1523958594.9025872,1,1,1,1,1,1,1,1,0
1523958595.9025872,1,1,1,1,1,1,1,1,0
1523958596.9025872,1,1,1,1,1,1,1,1,0
1523958597.9025872,1,1,1,1,1,1,1,1,0
1523958598.9025872,1,1,1,1,1,1,1,1,0
1523958599.9025872,1,1,1,1,1,1,1,1,0
1523958600.9025872,1,1,1,1,1,1,1,1,0
1523958601.9025872,1,1,1,1,1,1,1,1,0
1523958602.9025872,1,1,1,1,1,1,1,1,0
1523958603.9025872,1,1,1,1,1,1,1,1,0
1523958604.9025872,1,1,1,1,1,1,1,1,0
1523958605.9025872,1,1,1,1,1,1,1,1,0
1523958606.9025872,1,1,1,1,1,1,1,1,0
1523958607.9025872,1,1,1,1,1,1,1,1,0
1523958608.9025872,1,1,1,1,1,1,1,1,0
1523958609.9025872,1,1,1,1,1,1,1,1,0
1523958610.9025872,1,1,1,1,1,1,1,1,0
1523958611.9025872,1,1,1,1,1,1,1,1,0
1523958612.9025872,1,1,1,1,1,1,1,1,0
1523958613.9025872,1,1,1,1,1,1,1,1,0
1523958614.9025872,1,1,1,1,1,1,1,1,0
1523958615.9025872,1,1,1,1,1,1,1,1,0
1523958616.9025872,1,1,1,1,1,1,1,1,0
1523958617.9025872,1,1,1,1,1,1,1,1,0
1523958618.9025872,1,1,1,1,1,1,1,1,0
1523958619.9025872,1,1,1,1,1,1,1,1,0
1523958620.9025872,1,1,1,1,1,1,1,1,0
1523958621.9025872,1,1,1,1,1,1,1,1,0
1523958622.9025872,1,1,1,1,1,1,1,1,0
1523958623.9025872,1,1,1,1,1,1,1,1,0
1523958624.9025872,1,1,1,1,1,1,1,1,0
1523958625.9025872,1,1,1,1,1,1,1,1,0
1523958626.9025872,1,1,1,1,1,1,1,1,0
1523958627.9025872,1,1,1,1,1,1,1,1,0
1523958628.9025872,1,1,1,1,1,1,1,1,0
1523958629.9025872,1,1,1,1,1,1,1,1,0
1523958630.9025872,1,1,1,1,1,1,1,1,0
