window_id,status,support_json,artifact
coe1_a01_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.8181818181818182, ""common_span_s"": 35.0, ""grid_count"": 44, ""matched_count"": 36, ""rpe_pairs"": 35, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 43.992191776051186}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_a01_00000_00900/C-all_vs_B
coe1_a03_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.9545454545454546, ""common_span_s"": 41.0, ""grid_count"": 44, ""matched_count"": 42, ""rpe_pairs"": 41, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 43.992936544003896}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_a03_00000_00900/C-all_vs_B
coe1_a04_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.7045454545454546, ""common_span_s"": 35.0, ""grid_count"": 44, ""matched_count"": 31, ""rpe_pairs"": 29, ""rpe_valid"": true, ""segment_count"": 2, ""window_duration_s"": 43.992362111923285}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_a04_00000_00900/C-all_vs_B
coe1_a05_00000_00900,INVALID_COMMON_SUPPORT,,/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_a05_00000_00900/C-all_vs_B
coe1_a06_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.8409090909090909, ""common_span_s"": 36.0, ""grid_count"": 44, ""matched_count"": 37, ""rpe_pairs"": 36, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 43.994995679939166}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_a06_00000_00900/C-all_vs_B
coe1_a07_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.8, ""common_span_s"": 38.0, ""grid_count"": 45, ""matched_count"": 36, ""rpe_pairs"": 34, ""rpe_valid"": true, ""segment_count"": 2, ""window_duration_s"": 44.004591648001224}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_a07_00000_00900/C-all_vs_B
coe1_a10_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.9302325581395349, ""common_span_s"": 39.0, ""grid_count"": 43, ""matched_count"": 40, ""rpe_pairs"": 39, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 42.992610815912485}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_a10_00000_00900/C-all_vs_B
coe1_h01_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.9333333333333333, ""common_span_s"": 41.0, ""grid_count"": 45, ""matched_count"": 42, ""rpe_pairs"": 41, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.767061786027625}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_h01_00000_00900/C-all_vs_B
coe1_h02_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.9111111111111111, ""common_span_s"": 40.0, ""grid_count"": 45, ""matched_count"": 41, ""rpe_pairs"": 40, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.766311194049194}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_h02_00000_00900/C-all_vs_B
coe1_h03_00000_00900,PASS,"{""ape_valid"": true, ""common_coverage"": 0.9555555555555556, ""common_span_s"": 42.0, ""grid_count"": 45, ""matched_count"": 43, ""rpe_pairs"": 42, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.76510411500931}",/home/ma/AQUA-FE_WS_classical_opportunity_expansion_v1/papers/frontend_classical_opportunity_expansion_v1/common_support/coe1_h03_00000_00900/C-all_vs_B
