window_id,batch,preparation_wall_s,fresh_B_export_wall_s,C_source_generation_wall_s,B_merge_audit_wall_s,C_merge_audit_wall_s,C_generation_peak_rss_kib,timing_boundary
coe1_a01_00000_00900,A,106.59621157600486,645.746818308995,571.9663428759959,2.1476104780012975,12.507896477996837,582580,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_a03_00000_00900,A,54.50344439499895,650.0312765100098,533.8084274499997,2.088362963986583,11.954977362998761,595388,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_a04_00000_00900,A,70.04073729099764,648.0268826730025,565.5363411080034,2.0690655239886837,12.609550797991687,570244,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_a05_00000_00900,A,43.86626415300998,648.2619920870056,452.99365201301407,2.1296601809735876,8.962537413986865,468532,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_a06_00000_00900,A,41.69889523202437,650.3215468149865,438.4103477690078,2.1222022630099673,9.160079149995,480624,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_a07_00000_00900,A,60.95797634101473,651.3706356199982,513.5951737930009,2.0872641040186863,10.752004834997933,504388,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_a10_00000_00900,A,78.97860356801539,654.8562205460039,468.22410022999975,2.1074446880083997,9.19743878900772,490312,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_h01_00000_00900,A,28.23896244302159,228.2018812779861,256.4210512260033,2.1232532470021397,10.073525432002498,430400,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_h02_00000_00900,A,35.94256735799718,228.69027002897928,290.4993794080219,2.1264560650161,11.236314587004017,467412,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_h03_00000_00900,A,31.347162218997255,229.63066781201633,273.53533358400455,2.1361271569912788,10.826969938992988,442552,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_h04_00000_00900,A,26.819840329000726,226.88038480500109,199.87205433097552,3.3687619059928693,14.55516954799532,390796,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
coe1_h05_00000_00900,A,33.99495444400236,228.6607524699939,219.60969118701178,3.4229102729877923,14.695312559022568,413296,"separate CPU-stage timings, nonexclusive host; B merge is not B inference cost"
