sequence,batch,frozen_windows,PRACTICAL_GAIN,PRACTICAL_LOSS,SMALL_OR_UNCERTAIN,FAIL,NOT_EVALUABLE,NOT_ACTIVATED,ROBUST_PRACTICAL_GAIN
A01,A,1,0,1,0,0,0,0,0
A03,A,1,0,1,0,0,0,0,0
A04,A,1,1,0,0,0,0,0,1
A05,A,1,0,0,0,0,1,0,0
A06,A,1,0,0,1,0,0,0,0
A07,A,1,1,0,0,0,0,0,1
A10,A,1,0,0,1,0,0,0,0
H01,A,1,0,0,1,0,0,0,0
H02,A,1,1,0,0,0,0,0,1
H03,A,1,0,0,1,0,0,0,0
H04,A,1,0,0,1,0,0,0,0
H05,A,1,0,0,1,0,0,0,0
A01,B,1,0,0,0,0,0,1,0
A03,B,1,0,0,0,0,0,1,0
A04,B,1,0,0,0,0,0,1,0
A05,B,1,0,0,0,0,0,1,0
A06,B,1,0,0,0,0,0,1,0
A07,B,1,0,0,0,0,0,1,0
A10,B,1,0,0,0,0,0,1,0
H01,B,1,0,0,0,0,0,1,0
H02,B,1,0,0,0,0,0,1,0
H03,B,1,0,0,0,0,0,1,0
H04,B,1,0,0,0,0,0,1,0
H05,B,1,0,0,0,0,0,1,0
