sequence,family,archive,archive_size,images,imu,first_ns,last_ns,reference,reference_sha256,archive_integrity,global_project_history
A01,aqualoc_archaeology,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,4341590055,17586,175709,1542827791849563584,1542828670956448608,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,df3026a3692a3017fd864d404b8c8cd5e8a687b2fe114534ed647d0690f27de1,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
A03,aqualoc_archaeology,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_3_raw_data.tar.gz,1521967899,6334,63279,1542831048068008960,1542831364664842720,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_03.txt,dba801368583702ba648cf29b0b1834195e4984b620da13fabf7d9f6ffa931f7,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
A04,aqualoc_archaeology,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_4_raw_data.tar.gz,3283615324,13385,133723,1455212878529775168,1455213547618958208,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_04.txt,7b6242a9046e5894143f39e2d60b98dcddfd33f8ff2a13d3157ba88ceda878d5,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
A05,aqualoc_archaeology,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_5_raw_data.tar.gz,866604152,3983,39796,1455214178565550816,1455214377634113984,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_05.txt,87b97391a724d7aea851b750a43e7af33848925c74ec6e805d96284e43bc27e3,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
A06,aqualoc_archaeology,/mnt/data/AQUA-FE_WS/datasets/aqualoc/samples/archaeo_sequence_06_raw_data.tar.gz,758010849,3385,33833,1542883311780022336,1542883480951782752,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_06.txt,6f99b914d2143ba8a8d46f00d9c6c9ac981405d4491891c080380c0679582fe8,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
A07,aqualoc_archaeology,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_7_raw_data.tar.gz,2792940805,11377,113557,1542883711463465440,1542884280922580544,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_07.txt,883d8b9769bb838470ae22ddcc4aaba878dc88ad919832561f92322e51bebc36,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
A10,aqualoc_archaeology,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_10_raw_data.tar.gz,3761302356,14293,142828,1542888796062978800,1542889510545377872,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_10.txt,29149375d1d052fda4daaca7fa244e0096256b2eda0b7e3131d6204e882a4655,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
H01,aqualoc_harbor,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_sequence_01_raw_data.tar.gz,644433524,4586,45859,1523957607455213652,1523957836799338812,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_groundtruth_files/new_harbor_colmap_traj_sequence_01.txt,583867461ad740bb6f2b6785c05af4b36cc50aa7d3ed5dc94b77dbf74a474361,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
H02,aqualoc_harbor,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_sequence_02_raw_data.tar.gz,1326928696,8142,81414,1523958586902587138,1523958994121566482,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_groundtruth_files/new_harbor_colmap_traj_sequence_02.txt,b7a68f0f29fcde15b9126c21a4ecdf859f0e068f536e627eb69bd2456150b72a,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
H03,aqualoc_harbor,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_sequence_03_raw_data.tar.gz,905738013,5151,51507,1523966832609037029,1523967090213518015,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_groundtruth_files/new_harbor_colmap_traj_sequence_03.txt,9f8e77b09fb88c067c0b312c1e4ee5fe2f27e4c2a7ee9674f971c803bae05cda,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
H04,aqualoc_harbor,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_sequence_04_raw_data.tar.gz,610079354,4125,41241,1523968712805838626,1523968919093655267,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_groundtruth_files/new_harbor_colmap_traj_sequence_04.txt,284253b522549b4b78f5d9e90f2fdf0cae4eeb122298023374758a39fd136f11,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
H05,aqualoc_harbor,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_sequence_05_raw_data.tar.gz,576182786,3458,34576,1523969519409664426,1523969692331479298,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Harbor_sites_sequences/harbor_groundtruth_files/new_harbor_colmap_traj_sequence_05.txt,960dab529942875ed25f9d2b6dbde2adf34f86a12adf7d9b07459cf5fb9ec846,FULL_STREAM_READ,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
