window_id,backward_fail,border_fail,eligible_observations,fb_fail,forward_fail,generation_calls,generator_seed_limit,matcher_output,ncc_fail,peak_pool,processed_frames,seed_boundary,seed_duplicate_private,seeds_created
coe1_a01_00000_00900,1,699,50545,216,2,450,1837,460424,153,580,900,3832,453235,1520
coe1_a03_00000_00900,3,2438,46104,260,34,450,1774,459948,889,565,900,3535,450546,4093
coe1_a04_00000_00900,5,1070,57373,670,6,450,1880,459563,7727,653,900,4825,442791,10067
coe1_a05_00000_00900,24,1305,4442,1572,21,450,43871,454474,23823,403,900,11947,371656,27000
coe1_a06_00000_00900,43,1331,6697,2140,462,450,82088,442355,19561,464,900,11311,325116,23840
coe1_a07_00000_00900,42,1065,30732,4033,54,450,8473,451720,16429,614,900,6664,414525,22058
coe1_a10_00000_00900,9,1749,8287,729,21,450,10187,458449,20591,420,900,12401,412379,23482
coe1_h01_00000_00900,,1134,20127,1420,3,450,7862,454903,17132,498,900,5466,421408,20167
coe1_h02_00000_00900,70,2552,35978,778,215,450,2798,455445,6758,628,900,10982,430752,10913
coe1_h03_00000_00900,95,1337,29659,1074,242,450,5308,452145,8436,523,900,9229,425914,11694
coe1_h04_00000_00900,9,998,5714,3597,35,450,29246,434764,17970,427,900,7816,374930,22772
coe1_h05_00000_00900,8,1675,8610,1394,85,450,4976,453972,12486,429,900,8734,424349,15913
