window_id,run_slug,sequence,family,heldout_type,heldout_scope,ordinal,start_index,end_index_exclusive,window_length_frames,stride_frames,start_stamp_ns,end_stamp_ns,duration_s,reference_poses,structural_status,exclusion_reason,batch,batch_order,selection_reason,raw_archive,reference,every_n,frame_offset,prior_project_exposure
coe1_a01_00000_00900,coe1_a01_00000_00900,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,0,0,900,900,900,1542827791849563584,1542827836792006496,44.942442912,45,ELIGIBLE,,A,1,FIRST_TWO_STRUCTURALLY_ELIGIBLE_IN_FIXED_SEQUENCE_SCOPE,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_00900_01800,coe1_a01_00900_01800,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,1,900,1800,900,900,1542827836841407872,1542827881785855520,44.944447648,45,ELIGIBLE,,B,1,FIRST_TWO_STRUCTURALLY_ELIGIBLE_IN_FIXED_SEQUENCE_SCOPE,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_01800_02700,coe1_a01_01800_02700,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,2,1800,2700,900,900,1542827881836591776,1542827926779270240,44.942678464,45,ELIGIBLE,,,,NOT_SELECTED_FIXED_BUDGET,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_02700_03600,coe1_a01_02700_03600,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,3,2700,3600,900,900,1542827926827018144,1542827971769950592,44.942932448,45,ELIGIBLE,,,,NOT_SELECTED_FIXED_BUDGET,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_03600_04500,coe1_a01_03600_04500,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,4,3600,4500,900,900,1542827971819512128,1542828016763872576,44.944360448,45,ELIGIBLE,,,,NOT_SELECTED_FIXED_BUDGET,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_04500_05400,coe1_a01_04500_05400,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,5,4500,5400,900,900,1542828016812086560,1542828061755397952,44.943311392,45,ELIGIBLE,,,,NOT_SELECTED_FIXED_BUDGET,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_05400_06300,coe1_a01_05400_06300,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,6,5400,6300,900,900,1542828061806222912,1542828106748656736,44.942433824,45,ELIGIBLE,,,,NOT_SELECTED_FIXED_BUDGET,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_06300_07200,coe1_a01_06300_07200,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,7,6300,7200,900,900,1542828106797431040,1542828151741587104,44.944156064,45,ELIGIBLE,,,,NOT_SELECTED_FIXED_BUDGET,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_07200_08100,coe1_a01_07200_08100,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,8,7200,8100,900,900,1542828151791389472,1542828196733086752,44.94169728,45,ELIGIBLE,,,,NOT_SELECTED_FIXED_BUDGET,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
coe1_a01_08100_09000,coe1_a01_08100_09000,A01,aqualoc_archaeology,sequence-held-out,six_C_all_development_windows,9,8100,9000,900,900,1542828196783622496,1542828241726404928,44.942782432,45,ELIGIBLE,,,,NOT_SELECTED_FIXED_BUDGET,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,/mnt/data/AQUA-FE_WS/datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,2,1,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows
