comparison_id,window_id,run_slug,learned_arm,role,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_ape_rmse_range_m,sim3_rpe_rmse_median_m,sim3_rpe_rmse_range_m,max_evo_abs_diff_m
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,klt,3,38,37,1242.140001754619,1242.123109543–1242.175422834,150.84681657767342,150.841876058–150.849294428,0.0014739942969592388,0.001473958–0.001474022,1.2705402225068914,1.270537020–1.270550508,0.2245001479064606,0.224499138–0.224502329,4.915092439716773e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,learned,3,38,37,0.7324143279267064,0.732157074–0.732440572,0.0735633917026871,0.073508957–0.073589849,0.7531806409211953,0.753176026–0.753248761,0.04768177195401677,0.047541529–0.047713281,0.01849770659610429,0.018478022–0.018511949,4.714767284502708e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,matched,3,38,37,1.0823545694282526,1.082292409–1.082421796,0.11694077198954063,0.116940416–0.116941689,0.6734214011371522,0.673407675–0.673434105,0.03849692230515866,0.038487982–0.038507260,0.026327040093396693,0.026321062–0.026334479,4.793092448530933e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,learned,3,42,41,1.0917543618166243,1.089812541–1.091773733,0.10429676813334873,0.104181567–0.104385376,0.5092137562908691,0.509209488–0.509659471,0.04734751726443776,0.047323203–0.047593696,0.019026847451543705,0.018939791–0.019067864,4.82735562239156e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,matched,3,42,41,1.0934642534121657,1.092409899–1.094793889,0.10456246486827372,0.104392674–0.104679562,0.5088221991370865,0.508517962–0.509063581,0.04777750074794204,0.047524174–0.047874103,0.019136551973296667,0.019025360–0.019184258,4.992520579588655e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,learned,3,42,41,1.1138290031311506,1.106998291–1.128225911,0.104367784033892,0.104165220–0.104695470,0.504200783382783,0.500984506–0.505741497,0.04657208952307236,0.044745208–0.047214753,0.01951009639374456,0.017015913–0.019707536,4.703606771433444e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,matched,3,42,41,1.13090145439243,1.091898754–1.131835081,0.10464446580778776,0.103383164–0.104788918,0.5003914348478888,0.500184800–0.509181110,0.04583238959407673,0.045506698–0.048005696,0.01745634507521098,0.017370147–0.019549192,4.658077877583988e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,klt,3,42,41,0.06010874666198525,0.060108747–0.060108747,0.03721830922592327,0.037218309–0.037218309,0.9561064464308695,0.956106446–0.956106446,0.04528840980910515,0.045288410–0.045288410,0.03582772009289516,0.035827720–0.035827720,4.098091051507602e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,learned,3,42,41,0.0427942124807622,0.042794212–0.048700537,0.026724813380849685,0.026724813–0.028205338,0.9728680530369359,0.955954874–0.972868053,0.035415924557395596,0.028209055–0.035415925,0.026057271543087488,0.026057272–0.026755132,4.628560804909032e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,matched,3,42,41,0.04483309422305126,0.042794212–0.057749250,0.02788800086264686,0.026724813–0.031419517,0.9624573409691668,0.946215148–0.972868053,0.030606325138265257,0.029674021–0.035415925,0.026057271543087488,0.026007165–0.030109842,4.831994589726829e-07
