comparison_id,window_id,run_slug,learned_arm,role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,klt,1,38,37,1242.140001754619,150.84681657767342,0.0014739942969592388,1.270550508490756,0.22450232892594446,4.915092439716773e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,klt,2,38,37,1242.1754228335499,150.84929442809477,0.001473958048279864,1.2705402225068914,0.2245001479064606,4.2809477918126504e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,klt,3,38,37,1242.1231095425812,150.84187605814932,0.0014740218151768122,1.2705370202933461,0.2244991384081729,4.5741876419924665e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,learned,1,38,37,0.732440571905845,0.0735633917026871,0.7531760257362387,0.04768177195401677,0.01851194873845847,4.280941550138806e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,learned,2,38,37,0.7324143279267064,0.07358984883807583,0.7531806409211953,0.04754152852327155,0.01849770659610429,4.714767284502708e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,learned,3,38,37,0.7321570744440984,0.07350895692983261,0.7532487610791159,0.047713281392242124,0.018478021558123347,2.8139224212547775e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,matched,1,38,37,1.0824217962127323,0.11694168889554482,0.673407674750405,0.038487982138336485,0.026321061922052934,3.111044551695752e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,matched,2,38,37,1.0823545694282526,0.11694077198954063,0.6734214011371522,0.03849692230515866,0.026327040093396693,4.305717473673809e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,matched,3,38,37,1.0822924094657482,0.11694041620541369,0.6734341049659941,0.038507260288951156,0.026334479309244853,4.793092448530933e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,klt,1,42,41,0.1421936169303306,0.022696850881355115,0.8978957777649939,0.06063582608904235,0.0173288345382067,3.8306966937406983e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,klt,2,42,41,0.14105240870678118,0.022691012529205763,0.8988558486180727,0.06081131355074098,0.017410635349040866,4.087067811686662e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,klt,3,42,41,0.14131658509253395,0.022702110726377272,0.8986341516692359,0.06077367332004901,0.017402114901302543,4.1490746605088447e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,learned,1,42,41,1.0917543618166243,0.10429676813334873,0.5092137562908691,0.04734751726443776,0.01893979098654315,4.82735562239156e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,learned,2,42,41,1.0917737330172885,0.10438537634774182,0.5092094880623367,0.04759369608713838,0.01906786353361997,3.763477418178285e-07
