record_type,run_slug,arm,metrics_sha256,selected_feature_index,frame_index,tracker_source_histogram,pre_gate_sidecar_total,final_mirror_input_sidecars,final_mirror_kept_sidecars,final_mirror_persistence_horizon_blocked,learned_export_benefit_reason,aggregate_evidence,feature_id,published_selected_indices,published_observations,max_observations_from_same_first_publish_to_frame4,same_id_internal_survival,exact_id_termination_cause
frame,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,0,1,gftt:140;klt:210,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,1,3,gftt:120;klt:230;xfeat_confirmed:3,3,0,0,0,online_seed_basic,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,2,5,gftt:94;klt:254;xfeat_confirmed:2,2,1,1,0,online_seed_basic,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,3,7,gftt:101;klt:248;xfeat_confirmed:4,4,1,1,0,online_seed_basic,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,4,9,gftt:102;klt:244;xfeat_confirmed:4,4,1,1,0,online_seed_basic,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,5,11,gftt:92;klt:257;xfeat_confirmed:4,4,0,0,0,online_seed_microburst_no_extend:online_seed_basic,MICROBURST_NO_EXTEND_AGGREGATE,,,,,,
frame,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,6,13,gftt:94;klt:252;xfeat_confirmed:4,4,0,0,0,online_seed_microburst_no_extend:online_seed_basic,MICROBURST_NO_EXTEND_AGGREGATE,,,,,,
frame,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,7,15,gftt:96;klt:251;xfeat_confirmed:3,3,0,0,0,online_seed_microburst_no_extend:online_seed_basic,MICROBURST_NO_EXTEND_AGGREGATE,,,,,,
lineage_next_output,a09_6000_6800,router_xfeat,1a9d10db93db9741435b601fb59f6fe320f04cdf247272dc903f0b60c2d0c10c,5,11,gftt:92;klt:257;xfeat_confirmed:4,4,0,0,0,online_seed_microburst_no_extend:online_seed_basic,MICROBURST_NO_EXTEND_AGGREGATE,10000000,"[2, 3, 4]",3,3,Unknown,Unknown
frame,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,0,1,gftt:4;klt:346,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,1,3,gftt:1;klt:349,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,2,5,gftt:2;klt:345;xfeat_confirmed:3,3,3,3,0,online_seed_ok,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,3,7,klt:344;xfeat_confirmed:15,15,15,3,0,online_seed_ok,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,4,9,klt:343;xfeat_confirmed:15,15,15,2,0,online_seed_ok,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,5,11,klt:342;xfeat_confirmed:15,15,15,0,1,online_seed_ok,FINAL_HORIZON_BLOCKED_AGGREGATE,,,,,,
frame,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,6,13,klt:342;xfeat_confirmed:15,15,2,0,1,online_seed_budget,FINAL_HORIZON_BLOCKED_AGGREGATE,,,,,,
frame,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,7,15,klt:340;xfeat_confirmed:15,15,0,0,0,online_seed_budget,BUDGET_TAG_NO_PREFINAL_CANDIDATES,,,,,,
lineage_next_output,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,5,11,klt:342;xfeat_confirmed:15,15,15,0,1,online_seed_ok,FINAL_HORIZON_BLOCKED_AGGREGATE,10000000,"[2, 3, 4]",3,3,Unknown,Unknown
lineage_next_output,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,4,9,klt:343;xfeat_confirmed:15,15,15,2,0,online_seed_ok,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,10000001,"[2, 3]",2,3,Unknown,Unknown
