run_slug,arm,feature_id,published_observations,published_selected_frames,next_output_frame,next_tracker_learned_count,next_pre_gate_sidecars,next_final_input_sidecars,next_horizon_blocked,internal_same_id_survival,per_id_stop_classification,backend_feature_message_replayed,backend_per_id_received_or_used,nonlinear_residual_eligible
a02_0_900,router_splg,10000000,1,[3],4,35,35,0,0,Unknown,aggregate_budget_exhausted_before_final_router;exact_same_id_reason=Unknown,3/3,Unknown,False
a02_0_900,router_splg,10000004,1,[3],4,35,35,0,0,Unknown,aggregate_budget_exhausted_before_final_router;exact_same_id_reason=Unknown,3/3,Unknown,False
a02_0_900,router_splg,10000007,1,[3],4,35,35,0,0,Unknown,aggregate_budget_exhausted_before_final_router;exact_same_id_reason=Unknown,3/3,Unknown,False
a02_0_900,router_splg,10000015,1,[2],3,36,36,23,0,Unknown,aggregate_budget_or_final_rearbitration;exact_same_id_reason=Unknown,3/3,Unknown,False
a02_0_900,router_splg,10000016,1,[2],3,36,36,23,0,Unknown,aggregate_budget_or_final_rearbitration;exact_same_id_reason=Unknown,3/3,Unknown,False
a02_0_900,router_splg,10000017,1,[2],3,36,36,23,0,Unknown,aggregate_budget_or_final_rearbitration;exact_same_id_reason=Unknown,3/3,Unknown,False
a02_0_900,router_splg,10000018,1,[2],3,36,36,23,0,Unknown,aggregate_budget_or_final_rearbitration;exact_same_id_reason=Unknown,3/3,Unknown,False
a02_0_900,router_splg,10000021,1,[2],3,36,36,23,0,Unknown,aggregate_budget_or_final_rearbitration;exact_same_id_reason=Unknown,3/3,Unknown,False
a02_0_900,router_xfeat,10000000,3,"[2,3,4]",5,15,15,15,1,Unknown,aggregate_startup_horizon_blocks_all_sidecars;exact_same_id_survival=Unknown,3/3,Unknown,False
a02_0_900,router_xfeat,10000001,2,"[2,3]",4,15,15,15,0,Unknown,not_republished_despite_aggregate_sidecars;exact_same_id_gate=Unknown,3/3,Unknown,False
a02_0_900,router_xfeat,10000002,3,"[2,3,4]",5,15,15,15,1,Unknown,aggregate_startup_horizon_blocks_all_sidecars;exact_same_id_survival=Unknown,3/3,Unknown,False
a09_6000_6800,router_xfeat,10000000,3,"[2,3,4]",5,4,4,0,0,Unknown,upstream_microburst_no_extend;exact_same_id_survival=Unknown,3/3,Unknown,False
afrl_bus_s180_d045,router_xfeat,10000000,1,[2],3,0,0,0,0,Unknown,no_learned_track_at_next_output;FB_NCC_boundary_identity_cause=Unknown,3/3,Unknown,False
afrl_bus_s180_d045,router_xfeat,10000001,1,[2],3,0,0,0,0,Unknown,no_learned_track_at_next_output;FB_NCC_boundary_identity_cause=Unknown,3/3,Unknown,False
