role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
klt,1,42,41,0.1421936169303306,0.022696850881355115,0.8978957777649939,0.06063582608904235,0.0173288345382067,3.8306966937406983e-07
klt,2,42,41,0.14105240870678118,0.022691012529205763,0.8988558486180727,0.06081131355074098,0.017410635349040866,4.087067811686662e-07
klt,3,42,41,0.14131658509253395,0.022702110726377272,0.8986341516692359,0.06077367332004901,0.017402114901302543,4.1490746605088447e-07
learned,1,42,41,1.0917543618166243,0.10429676813334873,0.5092137562908691,0.04734751726443776,0.01893979098654315,4.82735562239156e-07
learned,2,42,41,1.0917737330172885,0.10438537634774182,0.5092094880623367,0.04759369608713838,0.01906786353361997,3.763477418178285e-07
learned,3,42,41,1.08981254139805,0.10418156724536683,0.5096594714082558,0.0473232031828688,0.019026847451543705,4.5860194997082715e-07
matched,1,42,41,1.0924098993256364,0.10439267407570935,0.509063580912127,0.04752417408821728,0.019025359589539916,3.5958953991527265e-07
matched,2,42,41,1.0947938886906732,0.10467956188088834,0.5085179624608231,0.04787410296258119,0.019184257657303697,4.3811911165647643e-07
matched,3,42,41,1.0934642534121657,0.10456246486827372,0.5088221991370865,0.04777750074794204,0.019136551973296667,4.992520579588655e-07
donor_delete,1,42,41,1.0715330956379645,0.10186112490388058,0.5138919102680992,0.045317593605092334,0.019437811638608683,4.0639490766353203e-07
donor_delete,2,42,41,1.0933527002043442,0.10417647956435498,0.5088485608024563,0.04895451864546228,0.020777280045333097,4.813545377152506e-07
donor_delete,3,42,41,1.073157554512406,0.10200847387150001,0.5135129286977522,0.045443729136755595,0.019451372490306137,4.7387150001187983e-07
