comparison_id,window_id,run_slug,learned_arm,role,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_ape_rmse_range_m,sim3_rpe_rmse_median_m,sim3_rpe_rmse_range_m,max_evo_abs_diff_m
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,klt,3,38,37,1242.140001754619,1242.123109543–1242.175422834,150.84681657767342,150.841876058–150.849294428,0.0014739942969592388,0.001473958–0.001474022,1.2705402225068914,1.270537020–1.270550508,0.2245001479064606,0.224499138–0.224502329,4.915092439716773e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,learned,3,38,37,1242.1068087380663,1242.087210061–1242.106808738,150.8384074534068,150.836615936–150.838407453,0.0014740434688604433,0.001474043–0.001474067,1.270532817120404,1.270531858–1.270532817,0.2244976111803921,0.224497611–0.224498098,4.534068125394697e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,matched,3,38,37,1242.129092444898,1234.888781915–1242.140218056,150.84313123368685,150.152562315–150.845476103,0.00147401244853727,0.001473997–0.001481474,1.2705459607586629,1.270541115–1.272626233,0.22450090713183196,0.224499757–0.224821106,4.4489820538728964e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,klt,3,38,37,1242.140001754619,1242.123109543–1242.175422834,150.84681657767342,150.841876058–150.849294428,0.0014739942969592388,0.001473958–0.001474022,1.2705402225068914,1.270537020–1.270550508,0.2245001479064606,0.224499138–0.224502329,4.915092439716773e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,learned,3,38,37,1242.09878109709,1242.087210061–1242.123283733,150.83878345620516,150.836615936–150.842160931,0.0014740514650271937,0.001474021–0.001474067,1.270535543593793,1.270531858–1.270538703,0.22449890921115212,0.224498098–0.224499439,4.5640620705000856e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,matched,3,38,37,1242.1572778626307,1242.113640189–1291.259513834,150.8497434399168,150.840163720–156.397469135,0.001473971140315629,0.001419994–0.001474033,1.2705364273095854,1.266822524–1.270555338,0.22449856281208982,0.223847498–0.224503265,4.984346285985541e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,learned,3,42,41,0.13974148923894086,0.138997728–0.140655244,0.022619651625362672,0.022576263–0.022667494,0.8999266961007363,0.899173112–0.900519818,0.06090101390412395,0.060819055–0.060902888,0.017425711791629078,0.017412151–0.017427182,4.939957698145425e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,matched,3,42,41,0.16272818247938217,0.125784361–0.163086722,0.02388277985380845,0.021777230–0.023935881,0.8818291506685956,0.881644761–0.911497901,0.05950381631347591,0.059199963–0.061337190,0.01714666398054392,0.017100276–0.017448211,3.605654357030641e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,learned,3,42,41,0.14067915048473478,0.140617909–0.141107006,0.022666833580321392,0.022665909–0.022694734,0.8991516451430323,0.898811977–0.899204428,0.0608116215623032,0.060809380–0.060824121,0.01741113523001226,0.017409467–0.017413133,4.66622259425592e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,matched,3,42,41,0.1628748904768855,0.140647883–0.163039496,0.023930234086179142,0.022667459–0.023934809,0.8818138793559552,0.881681651–0.899179098,0.059551825923047766,0.059511494–0.060819496,0.017159931967958782,0.017149524–0.017412642,4.964619019567906e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,klt,3,42,41,0.06010874666198525,0.060108747–0.060108747,0.03721830922592327,0.037218309–0.037218309,0.9561064464308695,0.956106446–0.956106446,0.04528840980910515,0.045288410–0.045288410,0.03582772009289516,0.035827720–0.035827720,4.098091051507602e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,learned,3,42,41,0.0630177478742435,0.058742441–0.065451214,0.03515432018218416,0.027864179–0.037286004,0.9495114677382175,0.940611493–0.949680472,0.03698682343474092,0.031821516–0.046784326,0.03314322779273661,0.025482725–0.035666758,4.835642805900431e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,matched,3,42,41,0.059292356836657886,0.055715685–0.077274746,0.028312402917054988,0.027442945–0.030025769,0.9457337919747772,0.923307750–0.950367373,0.032744407442390135,0.029149941–0.032866437,0.02628798322030278,0.025755865–0.026868034,4.3711719865946463e-07
afrl_bus_s180_d045__router_splg,afrl:bus_outside:0004,afrl_bus_s180_d045,router_splg,klt,3,42,41,0.06010874666198525,0.060108747–0.060108747,0.03721830922592327,0.037218309–0.037218309,0.9561064464308695,0.956106446–0.956106446,0.04528840980910515,0.045288410–0.045288410,0.03582772009289516,0.035827720–0.035827720,4.098091051507602e-07
