window_id,run_slug,role,arm,method,selected_feature_index,raw_frame_index,timestamp_ns,raw_candidate_observations,raw_candidate_distinct_ids,candidate_survived_observations,candidate_eligible_observations,promoted_observations,promoted_distinct_ids,promoted_ids_json,promoted_source_codes_json,promoted_sources_json,promoted_raw_processed_frame_age,promoted_output_visible_age_json,promoted_output_visible_full_streak_json,promoted_output_visible_future_frames_json,deleted_track_count,deleted_track_ids_json,deleted_track_source_codes_json,deleted_track_sources_json,deleted_track_raw_age_max,deleted_track_per_id_raw_age,deleted_track_output_visible_age_json,deleted_track_klt_counterfactual_full_streak_json,deleted_track_klt_counterfactual_future_frames_json,donor_cells_json,candidate_cells_json,donor_cell_occupancy_before_json,donor_cell_occupancy_after_json,candidate_cell_occupancy_before_json,candidate_cell_occupancy_after_json,raw_grid_cells_before_reconstructed,raw_grid_cells_after_reconstructed,raw_grid_cell_delta_reconstructed,raw_grid_cells_before_metric,raw_grid_cells_after_metric,donor_cell_min_remaining_metric,output_visible_age2_cells_before,output_visible_age2_cells_after,output_visible_age2_cell_delta,output_visible_age3_cells_before,output_visible_age3_cells_after,output_visible_age3_cell_delta,output_visible_age5_cells_before,output_visible_age5_cells_after,output_visible_age5_cell_delta,feature_count_before,feature_count_after,feature_cap,published_to_feature_bag,actually_visible_to_vins_if_replayed,backend_replayed_in_v2,profile,runner_schema,run_dir,notes
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_xfeat,hybrid_xfeat,32,65,1542889049271066832,0,Not available,0,1,1,1,[10000000],[20],"[""xfeat""]",17.0,[1],[1],[0],1,[7544],[2],"[""gftt""]",1,Not available,[1],[1],[0],"[[3,3]]","[[3,5]]",[45],[44],[6],[7],20,20,0,20,20,44,20,20,0,18,18,0,18,18,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a09_6000_6800_router_xfeat,
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_xfeat,hybrid_xfeat,34,69,1542889049471689104,0,Not available,0,1,1,1,[10000001],[20],"[""xfeat""]",21.0,[1],[1],[0],1,[8091],[2],"[""gftt""]",1,Not available,[1],[1],[0],"[[3,3]]","[[0,1]]",[45],[44],[0],[1],22,23,1,22,23,44,20,20,0,20,20,0,19,19,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a09_6000_6800_router_xfeat,
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_splg,hybrid_superpoint_lightglue,32,65,1542889049271066832,0,Not available,0,1,1,1,[10000000],[10],"[""superpoint_lightglue""]",61.0,[1],[3],[2],1,[7540],[2],"[""gftt""]",1,Not available,[1],[1],[0],"[[1,2]]","[[1,2]]",[15],[15],[15],[15],20,20,0,20,20,15,20,20,0,18,18,0,18,18,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a09_6000_6800_router_splg,
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_splg,hybrid_superpoint_lightglue,33,67,1542889049370961648,0,Not available,0,1,1,1,[10000000],[10],"[""superpoint_lightglue""]",63.0,[2],[3],[1],1,[7804],[2],"[""gftt""]",1,Not available,[1],[1],[0],"[[1,2]]","[[1,2]]",[18],[18],[18],[18],20,20,0,20,20,18,20,20,0,20,20,0,17,17,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a09_6000_6800_router_splg,
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_splg,hybrid_superpoint_lightglue,34,69,1542889049471689104,0,Not available,0,1,1,1,[10000000],[10],"[""superpoint_lightglue""]",65.0,[3],[3],[0],1,[8079],[2],"[""gftt""]",1,Not available,[1],[1],[0],"[[1,2]]","[[1,2]]",[18],[18],[18],[18],22,22,0,22,22,18,20,20,0,20,20,0,19,19,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a09_6000_6800_router_splg,
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_xfeat,hybrid_xfeat,33,67,1542828795085280960,0,Not available,0,13,2,2,"[10000000,10000005]","[20,20]","[""xfeat"",""xfeat""]",65.0,"[1,1]","[1,2]","[0,1]",2,"[446,447]","[2,2]","[""gftt"",""gftt""]",1,Not available,"[1,1]","[132,1]","[131,0]","[[1,4],[3,3]]","[[1,1],[2,1]]","[32,33]","[31,32]","[2,6]","[3,7]",18,18,0,18,18,31,18,18,0,18,18,0,18,18,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat,
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_xfeat,hybrid_xfeat,34,69,1542828795185515296,0,Not available,0,13,3,3,"[10000005,10000008,10000012]","[20,20,20]","[""xfeat"",""xfeat"",""xfeat""]",66.0,"[2,1,1]","[2,1,2]","[0,0,1]",3,"[451,452,453]","[2,2,2]","[""gftt"",""gftt"",""gftt""]",1,Not available,"[1,1,1]","[1,1,55]","[0,0,54]","[[3,3],[3,3],[2,1]]","[[2,1],[0,2],[2,1]]","[32,32,7]","[30,30,8]","[7,0,7]","[8,1,8]",18,19,1,18,19,7,18,18,0,18,18,0,18,18,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat,
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_xfeat,hybrid_xfeat,35,71,1542828795285241600,0,Not available,0,11,2,2,"[10000006,10000012]","[20,20]","[""xfeat"",""xfeat""]",68.0,"[1,2]","[1,2]","[0,0]",2,"[457,458]","[2,2]","[""gftt"",""gftt""]",1,Not available,"[1,1]","[1,135]","[0,134]","[[3,3],[1,4]]","[[2,1],[2,1]]","[32,31]","[31,30]","[8,8]","[10,10]",18,18,0,18,18,30,18,18,0,18,18,0,18,18,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat,
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_splg,hybrid_superpoint_lightglue,33,67,1542828795085280960,0,Not available,0,17,2,2,"[10000001,10000016]","[10,10]","[""superpoint_lightglue"",""superpoint_lightglue""]",65.0,"[1,1]","[2,2]","[1,1]",2,"[446,447]","[2,2]","[""gftt"",""gftt""]",1,Not available,"[1,1]","[132,1]","[131,0]","[[1,4],[3,3]]","[[2,1],[0,2]]","[32,33]","[31,32]","[6,0]","[7,1]",18,19,1,18,19,31,18,18,0,18,18,0,18,18,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg,
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_splg,hybrid_superpoint_lightglue,34,69,1542828795185515296,0,Not available,0,14,3,3,"[10000001,10000014,10000016]","[10,10,10]","[""superpoint_lightglue"",""superpoint_lightglue"",""superpoint_lightglue""]",66.0,"[2,1,2]","[2,1,2]","[0,0,0]",3,"[451,452,453]","[2,2,2]","[""gftt"",""gftt"",""gftt""]",1,Not available,"[1,1,1]","[1,1,55]","[0,0,54]","[[3,3],[3,3],[2,1]]","[[2,1],[2,0],[0,2]]","[32,32,7]","[30,30,7]","[7,0,0]","[7,1,1]",18,20,2,18,20,7,18,19,1,18,18,0,18,18,0,350,350,350,True,True,False,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg,
